,KEGG,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adj Varidnaviria,GC_adjUnclassified,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_counts Varidnaviria,gene_countsUnclassified
96,K01546,,0.51,,,,,4.7203,,,
97,K01551,,0.574,,,,,4.5678,,,
98,K01556,,0.586,,,,,4.1347,,,
99,K01560,,0.603,,,,,2.8359,,,
100,K01569,,0.5767612007111136,0.54,,,,16.0529,1.7599,,
101,K01574,,0.6127762455544543,,,,,5.569599999999999,,,
102,K01575,,0.519,,,,,1.567,,,
103,K01607,,0.603670382116896,,,,,18.442400000000003,,,
104,K01610,,0.5748387340775629,,,,,8.1186,,,
105,K01623,,0.6779999999999999,,,,,3.281,,,
106,K01624,,0.6170136763936325,,,,,6.0679,,,
107,K01638,,0.58,,,,,3.7845,,,
108,K01689,,0.6970000000000001,,,,,5.7866,,,
109,K01695,,0.6051716865334881,,,,,10.787700000000001,,,
110,K01698,,0.63,,,,,2.7162,,,
111,K01712,,0.607,,,,,4.0633,,,
112,K01714,,0.618,,,,,3.9986,,,
113,K01719,,0.6509999999999999,,,,,2.9333,,,
114,K01724,,0.5367389690057058,,,,,5.1916,,,
115,K01733,,0.599,,,,,3.9685,,,
116,K01737,,0.638,,,,,2.6108,,,
117,K01749,,0.677,,,,,3.1618,,,
118,K01755,,0.547,,,,,4.6257,,,
119,K01772,,0.622,,,,,4.6827,,,
120,K01776,,0.586,,,,,4.5897,,,
121,K01778,,0.605,,,,,3.0272,,,
122,K01779,,,,,0.564,,,,,4.3286
123,K01785,,0.5701219267188826,,,,,5.1472999999999995,,,
124,K01803,,0.602,,,,,4.5344,,,
125,K01808,,0.52,,,,,3.8047,,,
126,K01839,,0.5760000000000001,,,,,1.9381,,,
127,K01854,,0.537,,,,,4.6207,,,
128,K01858,,0.5629999999999998,,,,,7.6126,,,
129,K01868,,0.614613882400639,,,,,9.309000000000001,,,
130,K01872,,0.616774609091113,,,,,10.3253,,,
131,K01881,,0.585,,,,,4.4751,,,
132,K01889,,0.6169695031213448,,,,,16.6882,,,
133,K01890,,0.615,,,,,4.7465,,,
134,K01915,,0.635,,,,,2.5921,,,
135,K01918,,0.583,,,,,3.2146,,,
136,K01921,,0.588,,,,,2.7393,,,
137,K01923,,0.583,,,,,2.8914,,,
138,K01933,,0.575,,,,,3.788,,,
139,K01937,,0.6037992464472273,,,,,11.200800000000001,,,
140,K01940,,0.611,,,,,3.3012,,,
141,K01951,,0.5938191752190877,,,,,8.1243,,,
142,K01953,,0.5773869952669132,,,,,28.892599999999998,,,
143,K01971,,0.648759690909313,,,,,8.5359,,,
144,K01972,,0.5870000000000001,,,,,4.5763,,,
145,K01991,,0.581,,,,,3.6328,,,
146,K01992,,0.667,,,,,1.8828,,,
147,K01997,,0.647,,,,,2.255,,,
148,K01998,,0.596,,,,,3.7916,,,
149,K02004,,0.5928444839876972,,,0.5689940871959019,,117.59450000000001,,,8.4853
150,K02015,,0.6266955015365635,,,,,6.6106,,,
151,K02020,,0.614,,,,,3.3988,,,
152,K02029,,0.604,,,,,4.5054,,,
153,K02033,,0.613,,,,,4.3825,,,
154,K02035,,0.569,,,,,3.7079,,,
155,K02042,,0.5670000000000001,,,,,2.8197,,,
156,K02044,,0.53,,,,,4.9873,,,
157,K02066,,0.5901298535653332,,,,,13.9924,,,
158,K02067,,0.565,,,,,5.1088,,,
159,K02113,,,,,0.606,,,,,3.3536
160,K02114,,0.615,,,,,1.9459,,,
161,K02128,,,0.35782260948620515,,,,,14.721799999999998,,
162,K02171,,0.589,,,,,2.553,,,
163,K02194,,0.5670000000000001,,,0.583,,4.7672,,,2.8288
164,K02199,,0.5749999999999998,,,,,6.3076,,,
165,K02238,,0.5824804026954631,,,,,7.2094000000000005,,,
166,K02259,,0.6365341599419713,,,,,6.368,,,
167,K02276,,,0.284,,,,,11.3395,,
168,K02277,,0.563,,,,,3.218,,,
169,K02279,,0.59,,,,,4.2712,,,
170,K02300,,0.569,,,,,4.6135,,,
171,K02313,,0.5699313668715118,,,,,13.947400000000002,,,
172,K02315,,0.556,,,,,4.2009,,,
173,K02316,,0.583,,,,,3.2267,,,
174,K02343,,0.647,,,,,5.6594,,,
175,K02356,,0.638,,,,,3.2645,,,
176,K02358,,0.629,,,,,17.3209,,,
177,K02380,,0.6459999999999999,,,,,2.608,,,
178,K02448,,0.621,,,,,4.2567,,,
179,K02460,,,,,0.615,,,,,2.4811
180,K02478,,0.574,,,,,10.3487,,,
181,K02480,,0.596,,,,,3.4558,,,
182,K02483,,0.605,,,,,3.9246,,,
183,K02492,,0.636128877007801,,,,,8.3317,,,
184,K02503,0.535,0.545,,,,4.959,3.6994,,,
185,K02517,,0.568,,,,,3.7278,,,
186,K02520,,0.617,,,,,4.3368,,,
187,K02527,,0.61,,,,,2.8127,,,
188,K02600,,0.6350551127653686,,,,,15.379999999999999,,,
189,K02601,,0.563,,,,,3.7423,,,
190,K02610,,0.7,,,,,2.4468,,,
191,K02638,,0.514,,,,,2.9605,,,
192,K02651,,,,,0.514,,,,,2.8782
193,K02654,,0.5760000000000001,,,,,4.3954,,,
194,K02662,,0.5760000000000001,,,,,5.656,,,
195,K02664,,0.564,,,,,4.1038,,,
196,K02665,,0.6459999999999999,,,,,3.4899,,,
197,K02825,,0.6585517747948173,,,,,8.5369,,,
198,K02834,,0.6779999999999999,,,,,3.9213,,,
199,K02836,,0.573,,,,,4.8738,,,
200,K02843,,0.601,,,,,3.9644,,,
201,K02863,,0.687,,,,,9.2311,,,
202,K02867,,0.589,,,,,5.8737,,,
203,K02871,,0.616,,,,,4.9978,,,
204,K02874,,0.6366601952413836,,,,,13.779399999999999,,,
205,K02878,,0.6152943611979177,,,,,8.8378,,,
206,K02879,,0.624,,,,,4.5254,,,
207,K02881,,0.6231055790350323,,,,,11.2949,,,
208,K02886,,0.6679999999999999,,,,,8.2486,,,
209,K02887,,0.6063107351669605,,,,,9.9202,,,
210,K02888,,0.5740000000000001,,,,,3.1086,,,
211,K02892,,0.545,,,,,3.3049,,,
212,K02895,,0.6540659372648018,,,,,11.5323,,,
213,K02899,,0.575,,,,,3.1086,,,
214,K02906,,0.5811694279368982,,,,,12.429300000000001,,,
215,K02907,,0.657,,,,,3.2941,,,
216,K02914,,0.639,,,,,2.5388,,,
217,K02919,,0.6029999999999999,,,,,2.012,,,
218,K02931,,0.584,,,,,3.8054,,,
219,K02935,,0.569,,,,,4.5819,,,
220,K02945,,0.635644221865103,,,,,30.588199999999997,,,
221,K02946,,0.585,,,,,7.9965,,,
222,K02952,,0.6223081187685514,,,,,14.3185,,,
223,K02954,,0.591,,,,,3.8054,,,
224,K02956,,0.5225767932220428,,,,,8.6219,,,
225,K02959,,0.51,,,,,2.5919,,,
226,K02965,,0.612,,,,,5.9476,,,
227,K02982,,0.612,,,,,8.4626,,,
228,K02986,,0.6056669280781821,,,,,8.168099999999999,,,
229,K02992,,0.6111867256908308,,,,,11.862400000000001,,,
230,K03040,,0.5857116722104625,,,,,11.758600000000001,,,
231,K03073,,0.534,,,,,4.261,,,
232,K03075,,0.552,,,,,4.5344,,,
233,K03076,,0.5614740676690996,,,,,8.4759,,,
234,K03077,,0.6970000000000001,,,,,4.2606,,,
235,K03088,,0.5722582282259491,,,,,55.254599999999996,,,
236,K03089,,0.596,,,,,13.3583,,,
237,K03092,,0.581,,,,,3.5605,,,
238,K03100,,0.595,,,,,3.4971,,,
239,K03111,,0.5686831621874885,,,,,8.3707,,,
240,K03118,,0.5556024334595459,,,,,7.4649,,,
241,K03147,,0.6424788655649579,,,,,36.9206,,,
242,K03149,,0.6537966374468167,,,,,8.0016,,,
243,K03186,,0.588,,,,,2.6711,,,
244,K03208,,0.597,,,,,3.1723,,,
245,K03210,,,,,0.5379999999999999,,,,,3.9789
246,K03217,,0.5552998403196158,,,,,15.1478,,,
247,K03218,,0.622,,,,,3.2141,,,
248,K03265,,0.5820000000000001,,,,,3.7767,,,
249,K03271,,0.601,,,,,4.3155,,,
250,K03273,,0.583,,,,,3.9644,,,
251,K03282,,0.606,,,,,4.1545,,,
252,K03284,,0.648,,,,,3.4178,,,
253,K03286,,0.5820000000000001,,,,,3.9872,,,
254,K03303,,0.6086480385560696,,,,,7.113700000000001,,,
255,K03320,,0.655,,,,,3.0588,,,
256,K03402,,0.624,,,,,3.4264,,,
257,K03413,,0.588,,,,,6.1227,,,
258,K03438,,0.5922411356611769,,,,,8.1882,,,
259,K03446,,0.561,,,,,4.1493,,,
260,K03455,,0.616,,,,,4.9847,,,
261,K03466,,0.6395361239525943,,,,,13.0708,,,
262,K03470,,0.609,,,,,3.6351,,,
263,K03496,,0.574,,,,,3.4507,,,
264,K03497,,0.6813259477055549,,,,,7.618399999999999,,,
265,K03501,,0.6890000000000001,,,,,3.2292,,,
266,K03517,,0.5,,,,,2.8273,,,
267,K03521,,0.6029446142436959,,,,,16.0121,,,
268,K03522,,0.602,,,,,4.5792,,,
269,K03525,,,,,0.5920000000000001,,,,,4.6667
270,K03526,,0.6205552581131818,,,,,8.9428,,,
271,K03527,,0.589,,,,,2.3835,,,
272,K03531,,0.639461960593299,,,,,14.370999999999999,,,
273,K03536,,0.51,,,,,3.9742,,,
274,K03544,,0.6721000069543311,,,,,32.470600000000005,,,
275,K03545,,0.585,,,,,2.5812,,,
276,K03550,,0.6391594564527328,,,,,5.5496,,,
277,K03551,,0.5870000000000001,,,,,3.477,,,
278,K03553,,0.6280053764137399,,,,,46.893699999999995,,,
279,K03556,,0.54,,,,,3.3412,,,
280,K03559,,0.5571695481435677,,,,,11.913,,,
281,K03561,,0.575,,,,,5.0765,,,
282,K03564,,0.501,,,,,3.8473,,,
283,K03569,,0.6251924052017391,,,,,6.793900000000001,,,
284,K03570,,,,,0.547,,,,,2.7967
285,K03574,,0.595,,,,,3.4606,,,
286,K03590,,0.5717250985781284,,,,,7.2138,,,
287,K03593,,0.593,,,,,4.3411,,,
288,K03594,,0.5424226304785423,,,,,8.044,,,
289,K03595,,0.7070000000000001,,,,,6.5935,,,
290,K03601,,,,,0.631,,,,,4.7126
291,K03611,,0.6990000000000001,,,,,2.1176,,,
292,K03625,,0.5770000000000001,,,,,4.1684,,,
293,K03628,,0.6389332480643931,,,,,47.473800000000004,,,
294,K03629,,0.6177958716975296,,,,,8.7286,,,
295,K03636,,0.5660000000000001,,,,,2.5636,,,
296,K03639,,0.5597202315573402,,,,,7.916600000000001,,,
297,K03641,,0.659,,,,,3.6438,,,
298,K03644,,0.633,,,,,2.2791,,,
299,K03650,,0.555,,,,,4.038,,,
300,K03664,,0.5870000000000001,,,,,5.5405,,,
301,K03666,,0.5539999999999999,,,,,3.6426,,,
302,K03685,,0.639,,,,,2.5646,,,
303,K03702,,0.657,,,,,17.3695,,,
304,K03703,,0.5820000000000001,,,,,4.0772,,,
305,K03704,,0.5682039747473638,,,,,11.7798,,,
306,K03705,,0.593,,,,,2.9115,,,
307,K03744,,0.531,,,,,4.0893,,,
308,K03746,,0.624,,,,,2.3994,,,
309,K03781,,0.6160920780141621,,,,,22.8123,,,
310,K03786,,0.629,,,,,1.949,,,
311,K03787,,0.615,,,,,4.2791,,,
312,K03789,,0.5660000000000001,,,,,3.6003,,,
313,K03790,,0.573,,,,,3.1964,,,
314,K03797,,0.601996978557651,,,,,6.8106,,,
315,K03799,,0.634,,,,,2.4185,,,
316,K03821,,0.5770000000000001,,,,,3.2332,,,
317,K03824,,0.6970000000000001,,,,,5.7866,,,
318,K03832,,0.59,,,,,5.4029,,,
319,K03885,,0.5461664264662593,,,,,8.7813,,,
320,K03886,,0.5670000000000001,,,,,4.79,,,
321,K03892,,0.581,,,,,3.4735,,,
322,K03924,,0.602,,,,,4.8113,,,
323,K03925,,0.6089981662130884,,,,,6.0076,,,
324,K03979,,0.655881638105716,,,,,11.140600000000001,,,
325,K04027,,0.603,,,,,2.7219,,,
326,K04034,,0.586,,,,,3.2084,,,
327,K04063,,0.5720000000000001,,,,,3.5966,,,
328,K04069,,0.561,,,,,4.6744,,,
329,K04075,,0.639,,,,,3.9227,,,
330,K04077,,0.6139946829938386,,,,,150.73910000000004,,,
331,K04078,,0.5836055844210895,,,,,31.497499999999995,,,
332,K04079,,0.5442455853361254,,,,,16.2548,,,
333,K04343,,0.588,,,,,4.1649,,,
334,K04564,,0.5593245872840248,,,,,7.8347999999999995,,,
335,K04651,,,,,0.5379999999999999,,,,,4.8463
336,K04750,,0.536,,,,,3.8903,,,
337,K04757,,0.5789999999999998,,,,,4.4506,,,
338,K04763,,0.6257120470775879,,,,,24.5235,,,
339,K05375,,0.507,,,,,3.87,,,
340,K05555,,0.5834547848546111,,,,,6.946899999999999,,,
341,K05595,,0.5543354303484637,,,,,8.4543,,,
342,K05710,,0.617,,,,,4.1345,,,
343,K05794,,0.519,,,,,2.716,,,
344,K05810,,0.6134323094550963,,,,,8.297899999999998,,,
345,K05826,,0.511,,,,,4.6561,,,
346,K06024,,0.546,,,,,3.8495,,,
347,K06048,,0.545,,,,,2.9946,,,
348,K06138,,,,,0.45999999999999996,,,,,2.4615
349,K06152,,0.598,,,,,2.375,,,
350,K06153,,0.585,,,,,3.0123,,,
351,K06173,,0.593,,,,,3.2998,,,
352,K06180,,0.6,,,,,4.4576,,,
353,K06196,,0.6829999999999999,,,,,5.9548,,,
354,K06204,,0.5739257774374327,,,,,6.6075,,,
355,K06215,,0.674,,,,,8.2334,,,
356,K06217,,0.591,,,,,6.1699,,,
357,K06346,,0.5600305502649342,,,,,7.1904,,,
358,K06384,,0.5770000000000001,,,,,3.3598,,,
359,K06402,,0.585,,,,,4.6221,,,
360,K06867,,0.607,0.49947698721944184,,0.489,,3.3308,45.469300000000004,,6.7385
361,K06872,,0.57,,,,,3.0646,,,
362,K06878,,0.5670000000000001,,,,,3.1681,,,
363,K06886,,0.58,,,,,3.8063,,,
364,K06888,,0.6441732260720461,,,,,5.825699999999999,,,
365,K06893,,0.522,,,,,3.3539,,,
366,K06898,,0.633,,,,,2.2643,,,
367,K06901,,0.5802989251632741,,,,,6.0872,,,
368,K06911,,0.635,,,,,3.7295,,,
369,K06937,,0.5708980029157347,,,,,14.8933,,,
370,K06940,,0.575,,,,,3.0277,,,
371,K06941,,0.6456724740216448,,,,,7.652100000000001,,,
372,K06958,,0.618,,,,,2.0187,,,
373,K06960,,0.5379999999999999,,,,,2.5919,,,
374,K06985,,0.621,,,,,1.716,,,
375,K06996,,0.5820000000000001,,,,,6.0974,,,
376,K06998,,0.616,,,,,8.4797,,,
377,K07005,,0.585,,,,,3.3417,,,
378,K07018,,0.6320083739709823,,,,,9.6084,,,
379,K07020,,0.695,,,,,3.1294,,,
380,K07037,,0.599,,,,,3.7796,,,
381,K07038,,0.6,,,,,3.1643,,,
382,K07042,,0.565,,,,,5.8219,,,
383,K07052,,0.5819157844123123,,,,,7.5782,,,
384,K07054,,0.59,,,,,3.9607,,,
385,K07058,,0.5856001941087542,,,,,6.3233,,,
386,K07062,,0.501,,,,,4.3281,,,
387,K07068,,0.639,,,,,2.7645,,,
388,K07090,,0.602,,,,,3.1328,,,
389,K07106,,0.596,,,,,2.1411,,,
390,K07107,,0.542,,,,,5.7418,,,
391,K07115,,0.626,,,,,3.5661,,,
392,K07126,,0.645,,,,,2.1975,,,
393,K07130,,0.583,,,,,2.0281,,,
394,K07152,,0.5421515824906762,,,,,8.367,,,
395,K07164,,0.603,,,,,4.3916,,,
396,K07166,,0.5770000000000001,,,,,4.4327,,,
397,K07192,,0.61,,,,,3.9506,,,
398,K07240,,0.6779999999999999,,,,,2.2691,,,
399,K07243,,0.5489999999999999,,,,,3.7043,,,
400,K07263,,0.575,,,,,3.2898,,,
401,K07270,,,,,0.612,,,,,2.4968
402,K07315,,0.585092087648841,,,,,8.1525,,,
403,K07323,,0.602,,,,,2.1244,,,
404,K07335,,0.557,,,,,4.5026,,,
405,K07397,,0.5928174871456413,,,,,7.1181,,,
406,K07402,,0.636,,,0.607,,3.298,,,2.2371
407,K07407,,0.5856079411950066,,,,,8.583,,,
408,K07450,,0.5920000000000001,,,,,5.8601,,,
409,K07458,,0.482,,,,,3.8668,,,
410,K07462,,0.647,,,,,3.1111,,,
411,K07478,,0.645,,,,,7.8596,,,
412,K07481,,0.6441438906160228,,,,,7.9460999999999995,,,
413,K07482,,0.5806000783590946,,,,,34.515699999999995,,,
414,K07483,,0.6055410672031659,,,,,40.2571,,,
415,K07484,,0.6115811169860268,,,,,24.9081,,,
416,K07485,,0.550865546764155,,,,,11.4744,,,
417,K07486,,0.594279536360439,,,0.54,,196.3869,,,3.5214
418,K07491,,0.5287223822917548,,,,,15.1115,,,
419,K07492,,0.5913588627903239,,,,,42.32070000000001,,,
420,K07493,,0.5930219357606122,,,,,93.12019999999998,,,
421,K07494,,0.6093732177567291,,,,,109.8745,,,
422,K07495,,0.6381907494927406,,,,,15.2867,,,
423,K07497,,0.5628339322963632,0.644,,,,230.45999999999998,6.2616,,
424,K07498,,0.622,,,,,7.1867,,,
425,K07506,,0.5754365707162094,,,,,12.5929,,,
426,K07507,,,,,0.5660000000000001,,,,,4.2248
427,K07662,,0.605,,,,,3.9246,,,
428,K07683,,0.596,,,,,3.4558,,,
429,K07735,,0.623,,,,,4.0162,,,
430,K07736,,0.502,,,,,3.9687,,,
431,K07793,,0.649,,,,,3.6935,,,
432,K08296,,0.496,,,,,2.9942,,,
433,K08309,,0.5815289637000545,,,,,6.9043,,,
434,K08481,0.502,,,,,4.1124,,,,
435,K08482,,0.5537518792239093,,,,,5.8772,,,
436,K08641,,0.5479999999999999,,,,,3.3712,,,
437,K08970,,0.611,,,,,2.9158,,,
438,K08976,,0.545,,,,,4.2284,,,
439,K08995,,0.484,,,,,2.6269,,,
440,K08999,,0.4809999999999999,,,,,2.3587,,,
441,K09005,,0.52,,,,,2.4787,,,
442,K09013,,0.564,,,,,3.8883,,,
443,K09022,,0.655,,,,,2.9047,,,
444,K09117,,0.57,,,,,2.5846,,,
445,K09118,,0.6,,,,,2.9271,,,
446,K09710,,0.58,,,,,4.0408,,,
447,K09763,,0.573,,,,,3.9695,,,
448,K09767,,0.55,,,,,3.6185,,,
449,K09774,,0.606,,,,,3.4344,,,
450,K09778,,0.609,,,,,3.0989,,,
451,K09780,,0.596,,,,,3.5515,,,
452,K09794,,0.44899999999999995,,,,,3.1002,,,
453,K09803,,0.48399999999999993,,,,,2.4421,,,
454,K09807,,0.61,,,,,4.536,,,
455,K09903,,0.6221545140910971,,,,,10.0235,,,
456,K09915,,0.584,,,,,3.6339,,,
457,K09928,,0.547,,,,,4.0957,,,
458,K09930,,0.5727753366834849,,,,,12.551599999999999,,,
459,K09958,,0.623,,,,,8.4748,,,
460,K09959,,0.6890000000000001,,,,,5.2693,,,
461,K09967,,0.617,,,,,4.0359,,,
462,K09989,,0.591,,,,,7.8866,,,
463,K09990,,0.6779999999999999,,,,,4.75,,,
464,K10439,,0.588,,,,,5.1319,,,
465,K10773,,0.6142867536381563,,,,,6.8999,,,
466,K10806,,0.627,,,,,4.0873,,,
467,K10947,,0.5714400919721924,,,,,25.013399999999997,,,
468,K10979,,0.5413458672186318,,,,,5.7952,,,
469,K11175,,0.6,,,,,3.6953,,,
470,K11477,,0.64,,,,,1.9764,,,
471,K11719,,0.58,,,,,3.351,,,
472,K11749,,0.5699362566965602,,,,,7.5677,,,
473,K11752,,0.61,,,,,2.5989,,,
474,K11991,,0.602,,,,,2.9065,,,
475,K12132,,0.5738940116118684,,,,,7.3478,,,
476,K12262,,0.611,,,,,2.7212,,,
477,K12510,,0.5791906504942153,,,,,6.8704,,,
478,K12574,,0.6302652772752126,,,,,10.2066,,,
479,K13075,,0.623,,,,,4.2518,,,
480,K13292,,0.568,,,,,3.5285,,,
481,K13483,,0.5670871430780332,,,,,7.7608,,,
482,K13628,,0.5489999999999999,,,,,5.1538,,,
483,K13993,,0.5542084795450989,,,,,9.4424,,,
484,K14058,,0.5920000000000001,,,,,4.2957,,,
485,K14083,,0.7440000000000001,,,,,2.741,,,
486,K14189,,0.491,,,,,11.4811,,,
487,K14742,,0.7059999999999998,,,,,3.7146,,,
488,K14986,,0.5444612742376489,,,,,7.9279,,,
489,K14987,,0.556,,,,,3.4696,,,
490,K15034,,0.667,,,,,4.1347,,,
491,K15172,,,0.532,,,,,3.595,,
492,K15256,,0.6779999999999999,,,,,1.9224,,,
493,K15448,,,0.506,,,,,2.7762,,
494,K15580,,0.569,,,,,3.7079,,,
495,K15761,,0.579,,,,,1.6682,,,
496,K15977,,0.606,,,,,2.1946,,,
497,K16079,,0.632,,,,,2.4262,,,
498,K16841,,0.6690000000000002,,,,,3.6297,,,
499,K17103,,0.5710000000000001,,,,,4.4839,,,
500,K17762,,0.565,,,,,3.9825,,,
501,K18013,,0.6850000000000002,,,,,2.9383,,,
502,K18058,,0.556,,,,,3.4114,,,
503,K18672,,0.596,,,,,3.8562,,,
504,K18682,,0.679,,,,,3.2745,,,
505,K18691,,0.7040000000000001,,,,,2.027,,,
506,K18831,,0.51,,,,,2.8264,,,
507,K19092,,,,,0.5770000000000001,,,,,3.3745
508,K19221,,0.637,,,,,5.3349,,,
509,K19267,,0.504,,,,,8.7458,,,
510,K19271,,0.573,,,,,3.9563,,,
511,K20074,,0.614,,,,,2.1627,,,
512,K20523,,0.564,,,,,4.1008,,,
513,K21162,,0.586,,,,,3.552,,,
514,K21302,,0.5539999999999999,,,,,3.3946,,,
515,K21395,,0.649,,,,,7.9922,,,
516,K21470,,0.6377470807094934,,,,,10.369299999999999,,,
517,K21472,,0.627,,,,,3.0335,,,
518,K21700,,0.5820000000000001,,,,,3.7506,,,
519,K21721,,0.564,,,,,5.1234,,,
520,K21741,,0.5768122648625106,,,,,8.593399999999999,,,
521,K21929,,0.5994577466100729,,,,,7.0922,,,
522,K22419,,0.568,,,,,7.5273,,,
523,K22479,,0.575,,,,,1.6714,,,
524,K22622,,0.61,,,,,2.75,,,
525,K22736,,0.6,,,,,2.7123,,,
526,K22737,,0.6641582657859865,,,,,6.6897,,,
527,K23262,,0.5728035714285714,,,,,4.9704,,,
528,K23264,,0.644,,,,,7.813,,,
529,K23874,,0.578,,,,,3.213,,,
530,K24131,,0.6509999999999999,,,,,2.5768,,,
