,KEGG,GC_adj ,GC_adj Bacteria,GC_adjUnclassified,gene_counts ,gene_counts Bacteria,gene_countsUnclassified
93,K05989,,0.59,,,2.0466,
94,K06024,,0.7210000000000001,,,3.445,
95,K06215,,0.6696768539892624,,,23.1035,
96,K06400,,0.6327706952365216,,,74.7116,
97,K06897,,0.561,,,4.2082,
98,K06919,,0.64,,,5.5598,
99,K06985,,0.6509999999999999,,,2.4442,
100,K06996,,0.7104500913349369,,,8.9272,
101,K07052,,0.6365538342006206,,,5.560499999999999,
102,K07107,,0.585,,,5.2719,
103,K07261,,0.6445266787525666,,,6.6633,
104,K07302,,0.657,,,7.6161,
105,K07305,,0.6559999999999999,,,3.4283,
106,K07323,,,0.573,,,2.6573
107,K07481,,0.6196185249217253,,,53.2855,
108,K07482,,0.6035804647730769,,,41.8832,
109,K07483,,0.6028412916911624,,,93.492,
110,K07484,,0.6310796381270709,,,88.0783,
111,K07485,,0.5829712787958105,,,50.5112,
112,K07486,,0.6159067517713276,,,678.5313999999998,
113,K07487,,0.5783502572200552,,,14.858899999999998,
114,K07488,,0.625,,,4.8958,
115,K07491,,0.5342110366718484,,,20.739800000000002,
116,K07492,,0.5865581433483803,,,155.007,
117,K07493,,0.6316567823019046,,,139.4505,
118,K07494,,0.5836874708159684,,,201.0492,
119,K07495,,0.5473355428616187,,,60.418299999999995,
120,K07496,,0.6324482274372738,,,6.242,
121,K07497,,0.6190245669025393,,,298.96930000000003,
122,K07498,,0.6290000000000001,,,8.8043,
123,K07499,,0.6014411042165435,0.5429999999999999,,65.0449,6.0246
124,K07506,,0.562,,,3.723,
125,K07556,,0.6990000000000002,,,4.1044,
126,K07729,,0.69,,,3.0812,
127,K07793,,0.607,,,3.2473,
128,K08310,,0.6639999999999999,,,2.4817,
129,K08481,,,0.579,,,3.3489
130,K08482,,0.5870000000000001,,,2.4361,
131,K09022,,0.616,,,6.2044,
132,K09780,,0.688,,,2.9231,
133,K09919,,0.648,,,1.5967,
134,K09940,,0.705,0.727,,2.6128,3.4375
135,K09990,,0.5479999999999999,,,2.5887,
136,K10914,,0.544,,,12.8154,
137,K12574,,0.698,,,3.3953,
138,K13993,,0.725,,,4.412,
139,K14083,,0.6819999999999999,,,7.9473,
140,K14189,,0.4846046004582984,,,16.6839,
141,K15371,,0.6609999999999999,,,9.0556,
142,K16079,,0.679,,,2.7948,
143,K18446,,0.575,,,3.0336,
144,K18682,,0.684,,,5.3075,
145,K19686,,0.579,,,3.5647,
146,K22479,,0.685,,,2.1538,
147,K22736,,0.698,,,2.7932,
