,KEGG,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_countsUnclassified
91,K01478,,0.639,,,,,6.9701,,,
92,K01497,,0.6579999999999999,,,,,10.4113,,,
93,K01507,,0.69,,,,,2.4408,,,
94,K01512,,0.7070000000000001,,,,,2.4842,,,
95,K01579,,0.37,,,,,2.657,,,
96,K01595,,0.725,,,,,2.4388,,,
97,K01607,,0.5957826540127781,,,,,13.976999999999999,,,
98,K01619,,0.398,,,,,1.8728,,,
99,K01621,,0.5920000000000001,,,,,11.6079,,,
100,K01626,,0.6850000000000002,,,,,14.8215,,,
101,K01638,,0.6291235093414558,,,,,17.3795,,,
102,K01653,,0.593,,,,,4.0048,,,
103,K01662,,0.653,,,,,13.5026,,,
104,K01673,,0.418,,,,,3.1371,,,
105,K01698,,0.6559999999999999,,,,,15.1816,,,
106,K01704,,0.614,,,,,9.1493,,,
107,K01711,,0.6679999999999999,,,,,15.0407,,,
108,K01736,,0.387,,,,,3.5219,,,
109,K01749,,0.5660000000000001,,,,,3.5761,,,
110,K01752,,0.6523680163085144,,,,,6.7148,,,
111,K01755,,0.5786608096731471,,,,,13.0488,,,
112,K01772,,0.5710000000000001,,,,,2.9854,,,
113,K01778,,0.545,,,,,3.2978,,,
114,K01785,,0.38200000000000006,,,,,3.7648,,,
115,K01790,,0.684,,,,,3.1467,,,
116,K01805,,0.458,,,,,2.6044,,,
117,K01807,,0.67,,,,,1.4482,,,
118,K01821,,0.659,,,,,4.9002,,,
119,K01823,,0.4370000000000001,,,,,4.9432,,,
120,K01858,,0.6399851292681122,,,,,46.3939,,,
121,K01866,,0.594,,,,,5.5621,,,
122,K01867,,0.6286214229064475,,,,,28.5789,,,
123,K01868,,0.5981816737829488,,,,,24.2372,,,
124,K01872,,0.516,,,,,3.4531,,,
125,K01875,,0.6389230707594981,,,,,14.1555,,,
126,K01881,,0.652,,,,,5.5582,,,
127,K01889,,0.561,,,,,3.6827,,,
128,K01915,,0.6040306544438003,,,,,27.791600000000003,,,
129,K01918,,0.6759999999999999,,,,,3.6042,,,
130,K01919,,0.662,,,,,2.5061,,,
131,K01926,,0.6409999999999999,,,,,3.9678,,,
132,K01933,,0.684,,,,,6.0423,,,
133,K01937,,0.424,,,,,5.2199,,,
134,K01940,,0.667,,,,,23.5177,,,
135,K01953,,0.6409927595295544,,,,,21.0247,,,
136,K01971,,0.5670000000000001,,,,,3.2494,,,
137,K01992,,0.625,,,,,2.0019,,,
138,K01997,,0.638,,,,,6.5698,,,
139,K02004,,0.6554156069436436,,,,,25.4199,,,
140,K02016,,0.6890000000000002,,,,,4.1896,,,
141,K02039,,0.674,,,,,5.6698,,,
142,K02066,,0.6579999999999999,,,,,9.8934,,,
143,K02113,,0.585,,,,,6.6925,,,
144,K02114,,0.684,,,,,3.9734,,,
145,K02116,,0.6559999999999999,,,,,2.0288,,,
146,K02171,,0.653,,,,,3.7903,,,
147,K02172,,0.6389999999999999,,,,,4.4721,,,
148,K02224,,0.562,,,,,2.6327,,,
149,K02237,,0.631,,,,,3.8175,,,
150,K02238,,0.677,,,,,3.874,,,
151,K02257,,0.6614167182014719,,,,,13.511399999999998,,,
152,K02313,,0.6198856338275924,,,,,9.4488,,,
153,K02314,,0.5379999999999999,,,,,2.6301,,,
154,K02338,,0.6847382138312019,,,0.608,,11.0938,,,10.5264
155,K02348,,0.411,,,,,3.0347,,,
156,K02356,,0.536,,,,,4.2206,,,
157,K02372,,0.632,,,,,1.5825,,,
158,K02394,,0.639,,,,,6.2162,,,
159,K02395,,0.611,,,,,6.2162,,,
160,K02404,,0.627,,,,,3.9901,,,
161,K02407,,,,,0.6569999999999999,,,,,2.0138
162,K02410,,0.664,,,,,3.6852,,,
163,K02413,,0.5770000000000001,,,,,3.1517,,,
164,K02426,,0.6929999999999998,,,,,1.898,,,
165,K02429,,0.397,,,,,2.7518,,,
166,K02437,,0.545,,,,,2.9679,,,
167,K02456,,0.524,,,,,3.9177,,,
168,K02458,,0.636,,,,,1.847,,,
169,K02460,,0.518,,,,,3.4753,,,
170,K02492,,0.6935488759154309,,,,,12.246,,,
171,K02518,,0.6142561310669664,,,,,10.3844,,,
172,K02536,,0.637,,,,,3.663,,,
173,K02600,,0.6327360009781731,,,,,39.2159,,,
174,K02601,,0.662,,,,,5.3886,,,
175,K02650,,0.5866773545237167,,,,,25.2534,,,
176,K02657,,0.638,,,,,6.6362,,,
177,K02662,,0.542,,,,,4.2587,,,
178,K02687,,0.37,,,,,3.567,,,
179,K02838,,0.442,,,,,3.2567,,,
180,K02860,,0.46973582848800477,,,,,6.5417,,,
181,K02863,,0.647,,,,,4.7958,,,
182,K02864,,0.6579999999999999,,,,,7.6255,,,
183,K02867,,0.539,,,,,6.9565,,,
184,K02871,,0.5580323089387244,,,,,5.0232,,,
185,K02874,,0.6340132985684013,,,,,22.2203,,,
186,K02878,,0.654,,,,,17.5375,,,
187,K02879,,0.6629999999999999,,,,,7.5854,,,
188,K02881,,0.396,,,,,3.7656,,,
189,K02884,,0.541,,,,,2.3895,,,
190,K02887,,0.6629999999999999,,,,,5.436,,,
191,K02888,,0.6729999999999999,,,,,4.526,,,
192,K02895,,0.5980789540625321,,,,,15.629000000000001,,,
193,K02897,,0.6390941156447808,,,,,8.166799999999999,,,
194,K02899,,0.6759999999999999,,,,,4.526,,,
195,K02902,,0.49199185815695257,,,,,9.6889,,,
196,K02904,,0.6609999999999999,,,,,17.5375,,,
197,K02906,,0.4873018502696641,,,,,8.9753,,,
198,K02913,,0.339,,,,,5.0588,,,
199,K02926,,0.723,,,,,3.2774,,,
200,K02931,,0.626,,,,,14.6196,,,
201,K02933,,0.6470615981343756,,,,,23.9737,,,
202,K02935,,0.606,,,,,4.4429,,,
203,K02945,,0.6240523906221294,,,,,79.4345,,,
204,K02946,,0.6468166139934753,,,,,46.1328,,,
205,K02948,,0.5764527927965617,,,,,11.6558,,,
206,K02954,,0.6620560886227564,,,,,21.749000000000002,,,
207,K02968,,0.568,,,,,4.2943,,,
208,K02970,,0.344,,,,,3.6507,,,
209,K02982,,0.684,,,,,16.9654,,,
210,K02994,,0.584,,,,,3.2782,,,
211,K03040,,0.635,,,,,21.9447,,,
212,K03076,,0.653,,,,,22.4466,,,
213,K03088,,0.6647327144969718,,,0.721,,19.083599999999997,,,1.323
214,K03092,,0.6591750464440856,,,,,7.6735,,,
215,K03100,,0.579,,,,,3.8259,,,
216,K03101,,0.679,,,,,3.9167,,,
217,K03111,,0.6829999999999999,,,,,4.0505,,,
218,K03116,,0.556,,,,,3.3081,,,
219,K03118,,0.6370343204148472,,,,,5.1273,,,
220,K03147,,0.464,,,,,4.5264,,,
221,K03149,,0.69,,,,,7.1227,,,
222,K03154,,0.38599999999999995,,,,,4.4827,,,
223,K03210,,0.541,,,,,5.0538,,,
224,K03303,,0.6589999999999999,,,,,6.4726,,,
225,K03320,,0.461,,,,,2.5092,,,
226,K03406,,0.6611825575998791,,,,,31.422,,,
227,K03424,,0.617,,,,,4.1673,,,
228,K03427,,0.6790060144473106,,,,,10.1371,,,
229,K03439,,0.638,,,,,3.3384,,,
230,K03455,,0.6579999999999999,,,,,4.1772,,,
231,K03466,,0.6393906195116414,,,,,45.0966,,,
232,K03496,,0.397,,,,,2.3574,,,
233,K03497,,0.6907400154722187,,,,,15.587399999999999,,,
234,K03498,,0.65,,,,,3.3633,,,
235,K03517,,0.6757716523222536,,,,,11.8399,,,
236,K03522,,0.391,,,,,3.7616,,,
237,K03526,,0.6679999999999999,,,,,13.2628,,,
238,K03527,,0.617,,,,,2.3652,,,
239,K03544,,0.617,,,,,22.8765,,,
240,K03545,,0.342,,,,,3.5798,,,
241,K03556,,0.7120000000000001,,,,,4.6631,,,
242,K03559,,0.5195828297064612,,,,,10.994299999999999,,,
243,K03561,,0.4030000000000001,,,,,2.7398,,,
244,K03565,,0.604,,,,,3.4531,,,
245,K03569,,0.695,,,,,11.9827,,,
246,K03615,,0.393,,,,,3.3131,,,
247,K03625,,0.5710000000000001,,,,,2.8986,,,
248,K03628,,0.613,,,,,77.0194,,,
249,K03630,,0.414,,,,,4.3792,,,
250,K03631,,0.58,,,,,5.8017,,,
251,K03634,,0.657,,,,,2.684,,,
252,K03639,,0.687,,,,,8.1935,,,
253,K03647,,0.6559999999999999,,,,,3.0213,,,
254,K03648,,0.62,,,,,3.8733,,,
255,K03653,,0.551,,,,,2.9632,,,
256,K03664,,0.37899999999999995,,,,,4.2545,,,
257,K03666,,0.621,,,,,4.955,,,
258,K03671,,0.5714288093059625,,,,,8.538599999999999,,,
259,K03672,,0.6579999999999999,,,,,4.9181,,,
260,K03687,,0.61,,,,,8.0203,,,
261,K03704,,0.589,,,,,8.0024,,,
262,K03705,,0.691,,,,,4.4764,,,
263,K03741,,0.5579999999999999,,,,,3.637,,,
264,K03744,,0.5553753228625348,,,,,7.4163,,,
265,K03746,,0.561,,,,,2.7956,,,
266,K03753,,0.544,,,,,3.2236,,,
267,K03775,,0.584,,,,,2.8965,,,
268,K03781,,0.5687249648689635,,,,,14.1355,,,
269,K03789,,0.655,,,,,3.8375,,,
270,K03797,,0.601,,,,,3.9524,,,
271,K03808,,0.618,,,,,1.3267,,,
272,K03832,,0.6354160808834851,,,,,7.2227,,,
273,K03886,,0.575,,,,,3.8101,,,
274,K03892,,0.429,,,,,3.7084,,,
275,K03924,,0.6703034006562056,,,,,36.349199999999996,,,
276,K03975,,0.580372824546351,,,,,5.2203,,,
277,K03978,,0.607,,,,,3.7201,,,
278,K04066,,0.604,,,,,4.7993,,,
279,K04077,,0.6417993813454544,,,,,247.16100000000003,,,
280,K04082,,0.602,,,,,7.4342,,,
281,K04083,,0.62,,,,,3.373,,,
282,K04085,,0.4970000000000001,,,,,2.7744,,,
283,K04096,,0.5772313226014595,,,,,7.1631,,,
284,K04487,,0.645,,,,,6.6054,,,
285,K04561,,0.645,,,,,6.3375,,,
286,K04564,,0.53,,,,,3.9878,,,
287,K04757,,0.68,,,,,3.8249,,,
288,K05520,,0.633,,,,,3.9908,,,
289,K05524,,0.613,,,,,10.0938,,,
290,K05772,,0.638,,,,,5.2178,,,
291,K05808,,0.629,,,,,5.5745,,,
292,K05895,,0.6829999999999999,,,,,3.0875,,,
293,K06023,,0.657,,,,,3.4516,,,
294,K06048,,0.6427742113363043,,,,,10.142,,,
295,K06077,,0.662,,,,,2.8014,,,
296,K06079,,0.434,,,,,5.0294,,,
297,K06142,,0.35100000000000003,,,,,5.4281,,,
298,K06152,,0.589,,,,,2.9471,,,
299,K06187,,0.411,,,,,3.403,,,
300,K06195,,0.598,,,,,3.7042,,,
301,K06204,,0.563,,,,,3.7787,,,
302,K06213,,0.635,,,,,1.8,,,
303,K06215,,0.6859999999999999,,,,,18.155,,,
304,K06287,,0.353,,,,,4.1528,,,
305,K06603,,0.624,,,,,4.0368,,,
306,K06878,,0.414,,,,,4.2957,,,
307,K06884,,0.652,,,,,4.5088,,,
308,K06888,,0.628,,,,,3.5574,,,
309,K06891,,0.504,,,,,4.7869,,,
310,K06903,,0.34600000000000003,,,,,2.9247,,,
311,K06909,,0.5031844115773758,,,0.664,,23.4737,,,7.054
312,K06937,,0.5760000000000001,,,,,24.7021,,,
313,K06949,,0.407,,,,,4.0869,,,
314,K06961,,,,0.5329999999999999,,,,,3.564,
315,K06975,,0.46299999999999997,,,,,3.3172,,,
316,K06997,,0.5225030769951862,,,,,8.3753,,,
317,K07001,,0.43,,,,,3.3913,,,
318,K07029,,0.6850000000000002,,,,,2.007,,,
319,K07040,,0.737,,,,,5.6746,,,
320,K07042,,0.6829999999999999,,,,,6.493,,,
321,K07052,,0.631,,,,,2.3275,,,
322,K07054,,0.6610582231984717,,,,,3.4497999999999998,,,
323,K07056,,0.7040000000000001,,,,,3.9762,,,
324,K07058,,0.6045436925647684,,,,,9.0861,,,
325,K07071,,0.574,,,,,3.0638,,,
326,K07082,,0.638,,,,,3.296,,,
327,K07090,,0.5694653459212592,,,,,7.4517999999999995,,,
328,K07112,,0.4014192139737991,,,,,10.8896,,,
329,K07127,,0.5720000000000001,,,,,2.5388,,,
330,K07164,,0.5329999999999999,,,,,4.8442,,,
331,K07171,,0.7290000000000001,,,,,4.6682,,,
332,K07240,,0.63,,,,,2.8679,,,
333,K07274,,0.6779999999999999,,,,,3.5396,,,
334,K07275,,0.5710000000000001,,,,,3.4007,,,
335,K07323,,0.688,,,,,3.2927,,,
336,K07344,,0.62,,,,,3.7562,,,
337,K07402,,0.726,,,,,5.2019,,,
338,K07404,,0.384,,,,,2.9699,,,
339,K07478,,0.4268161292982834,,,,,5.2079,,,
340,K07481,,0.6298215795001042,,,,,21.7127,,,
341,K07482,,0.618783842649166,,,,,12.7621,,,
342,K07483,,0.511394169609014,,,,,19.3868,,,
343,K07484,,0.6018869182723057,,,,,12.8766,,,
344,K07486,,0.6062831692620262,,,,,203.7406,,,
345,K07491,,0.4806061080992715,,,,,17.7368,,,
346,K07492,,0.5993758652730443,,,,,27.403200000000002,,,
347,K07493,,0.5856705654553531,,,,,32.143100000000004,,,
348,K07494,,0.644082189294328,,,,,21.9369,,,
349,K07495,,0.545,,,,,7.6456,,,
350,K07496,,0.65,,,,,2.046,,,
351,K07497,,0.4879879363475957,,,,,163.70970000000003,,,
352,K07498,,0.579,,,,,2.9433,,,
353,K07574,,0.635,,,,,3.4307,,,
354,K07646,,0.573,,,,,2.7898,,,
355,K07729,,0.636,,,,,1.5374,,,
356,K07755,,0.622,,,,,7.129,,,
357,K07793,,0.6490379539845544,,,,,45.0486,,,
358,K07795,,0.598,,,,,14.8051,,,
359,K07814,,0.621,,,,,6.7846,,,
360,K08222,,0.417,,,,,3.1064,,,
361,K08223,,0.393,,,,,4.6467,,,
362,K08311,,0.633,,,,,5.0142,,,
363,K08677,,0.706,,,,,9.6416,,,
364,K08738,,0.619,,,,,3.6174,,,
365,K08995,,0.652,,,0.503,,1.9653,,,4.4461
366,K09013,,0.6317850323544016,,,,,25.969700000000003,,,
367,K09022,,0.5334310820522147,,,,,7.4289000000000005,,,
368,K09118,,0.531,,,,,3.3824,,,
369,K09136,,,,,0.551,,,,,1.7613
370,K09165,,0.5339141139450997,,,,,4.3792,,,
371,K09457,,0.59,,,,,7.6353,,,
372,K09710,,0.388,,,,,6.2146,,,
373,K09747,,0.6249999999999999,,,,,10.6577,,,
374,K09761,,0.675,,,,,4.7643,,,
375,K09764,,0.604,,,,,2.9026,,,
376,K09769,,0.621,,,,,2.4487,,,
377,K09780,,0.471,,,,,2.8259,,,
378,K09794,,0.531,,,,,3.8375,,,
379,K09799,,0.654,,,,,5.0443,,,
380,K09807,,0.6729999999999999,,,,,3.0319,,,
381,K09903,,0.35200000000000004,,,,,3.2567,,,
382,K09919,,0.664,,,,,2.9879,,,
383,K09930,,0.638,,,,,3.2434,,,
384,K09946,,0.34915638284852946,,,,,7.463699999999999,,,
385,K09954,,0.406,,,,,2.7256,,,
386,K09989,,0.628,,,,,17.8807,,,
387,K10533,,0.613,,,,,17.6724,,,
388,K10536,,0.4129999999999999,,,,,3.6205,,,
389,K10773,,0.6629999999999999,,,,,2.8078,,,
390,K10927,,0.611,,,,,4.2474,,,
391,K10947,,0.6150774941566508,,,,,4.7288,,,
392,K10979,,0.5011435033560789,,,,,7.84,,,
393,K11212,,0.657,,,,,2.8505,,,
394,K11477,,0.5999942669257731,,,,,20.456699999999998,,,
395,K11690,,0.6576171661347883,,,,,25.796100000000003,,,
396,K11719,,,,,0.574,,,,,2.8954
397,K11749,,0.584,,,,,3.6326,,,
398,K11753,,0.71,,,,,4.5105,,,
399,K11890,,0.648,,,,,4.3906,,,
400,K11891,,0.644,,,,,5.0909,,,
401,K11897,,0.701,,,,,4.1731,,,
402,K11898,,0.6920000000000001,,,,,4.1731,,,
403,K11904,,0.617,,,,,5.0607,,,
404,K12140,,0.67,,,,,12.1146,,,
405,K12285,,0.606,,,,,5.0817,,,
406,K12574,,0.53,,,,,6.1937,,,
407,K12976,,0.619,,,,,3.6054,,,
408,K13643,,0.669,,,,,6.817,,,
409,K13934,,0.649,,,,,2.763,,,
410,K13992,,0.62,,,,,3.2804,,,
411,K13993,,0.5470906290178419,,,,,14.513300000000001,,,
412,K14058,,0.593,,,,,8.4544,,,
413,K14742,,0.45243052316246063,,,,,5.6462,,,
414,K15532,,0.61,,,,,4.2134,,,
415,K15633,,0.5547691787811572,,,,,9.3995,,,
416,K16137,,0.691,,,,,3.5593,,,
417,K16868,,0.574,,,,,3.9539,,,
418,K17229,,0.687,,,,,5.0793,,,
419,K17290,,0.42500000000000004,,,,,2.5867,,,
420,K17662,,0.628,,,,,4.6538,,,
421,K17733,,0.453,,,,,2.2247,,,
422,K18189,,0.545,,,,,3.993,,,
423,K18578,,0.648,,,,,3.786,,,
424,K18672,,0.655,,,,,7.0651,,,
425,K18843,,0.495,,,,,4.966,,,
426,K18960,,0.583,,,,,4.8927,,,
427,K18979,,0.596,,,,,2.7008,,,
428,K19158,,0.632,,,,,3.6634,,,
429,K19302,,0.6920000000000001,,,,,3.711,,,
430,K19411,,0.7040000000000001,,,,,4.9469,,,
431,K20976,,0.688,,,,,3.7389,,,
432,K21420,,0.6759999999999999,,,,,8.1052,,,
433,K21472,,0.628,,,,,3.3321,,,
434,K21498,,0.677,,,,,2.2787,,,
435,K21571,,0.40615972258986716,,,,,5.907299999999999,,,
436,K21572,,0.4279167167179525,,,,,23.434099999999997,,,
437,K21929,,0.691,,,,,2.5626,,,
438,K22522,,0.4270000000000001,,,,,50.5461,,,
439,K22622,,0.59,,,,,5.6857,,,
440,K23264,,0.382,,,,,2.2809,,,
441,K23541,,0.616,,,,,3.0176,,,
442,K24217,,0.397,,,,,2.9412,,,
