,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_countsUnclassified
114,K02945,,,0.6349877128465143,,,,39.372,
115,K02950,,,0.6509999999999999,,,,22.8899,
116,K02952,,,0.5760000000000001,,,,2.3714,
117,K02986,,,0.583,,,,2.2063,
118,K03060,,,0.6409999999999999,,,,3.2381,
119,K03088,,,0.6984039868063611,,,,27.3934,
120,K03089,,,0.6459999999999999,,,,25.3967,
121,K03092,,,0.602,,,,4.7528,
122,K03116,,,0.708,,,,2.6121,
123,K03118,,,0.569,,,,1.837,
124,K03147,,,0.6338578757821632,,,,50.177,
125,K03149,,,0.745,,,,4.5273,
126,K03186,,,0.664,,,,6.4775,
127,K03210,,,0.6414452524143021,,,,5.1718,
128,K03270,,,0.708,,,,3.9874,
129,K03406,,,0.7003184543109678,,,,15.7667,
130,K03413,,,0.5920000000000001,,,,6.7748,
131,K03426,,,0.6759999999999999,,,,4.6014,
132,K03466,,,0.684,,,,13.505,
133,K03496,,,0.684,,,,4.6698,
134,K03497,,,0.601,,,,3.2056,
135,K03517,,,0.679,,,,4.0358,
136,K03521,,,0.705,,,,3.2446,
137,K03527,,,0.677,,,,1.856,
138,K03544,,,0.665,,,,56.2334,
139,K03545,,,0.524,,,,2.9787,
140,K03559,,,0.5504604431801653,,,,7.7886,
141,K03561,,,0.6143999237174793,,,,10.692499999999999,
142,K03569,,,0.6920000000000001,,,,19.5438,
143,K03574,,,0.677,,,,3.1489,
144,K03593,,,0.6859999999999999,,,,5.1,
145,K03595,,,0.674,,,,2.2185,
146,K03601,,,0.614,,,,4.5707,
147,K03628,,,0.625,,,,11.2146,
148,K03636,,,0.688,,,,3.1027,
149,K03637,,,0.603,,,,2.4506,
150,K03644,,,0.684,,,,3.9828,
151,K03684,,,0.631,,,,5.5316,
152,K03704,,,0.606,,,,3.5852,
153,K03705,,,0.705,,,,2.5647,
154,K03741,,,0.6861965529958799,,,,8.8366,
155,K03781,,,0.655,,,,5.375,
156,K03790,,,0.66,,,,4.1004,
157,K03797,,,0.674,,,,11.1772,
158,K03821,,,0.6129177843963991,,,,9.6695,
159,K03832,,,0.7509999999999999,,,,2.2512,
160,K03925,,,0.596,,,,3.4877,
161,K03973,,,0.638,,,,3.0487,
162,K03975,,,0.7,,,,3.7437,
163,K03979,,,0.696,,,,11.1691,
164,K04047,,,0.622,,,,2.7723,
165,K04063,,,0.69,,,,5.939,
166,K04065,,,,0.632,,,,2.5183
167,K04066,,,0.678659580243744,,,,6.4498999999999995,
168,K04077,,,0.6380210755781301,,,,283.6187,
169,K04078,,,0.6181912778903549,,,,14.8448,
170,K04088,,,0.58,,,,3.7826,
171,K04096,,,0.7051703426186323,,,,5.1377,
172,K04100,,,0.612,,,,8.2977,
173,K04656,,,0.6729999999999999,,,,2.3079,
174,K04749,,,0.643,,,,5.188,
175,K04750,,,0.526,,,,2.1981,
176,K04763,,,0.644,,,,9.4274,
177,K05337,,,0.60826232101291,,,,8.142100000000001,
178,K05594,,,0.693,,,,3.3801,
179,K05794,,,0.546,,,,3.0287,
180,K05845,,,0.698,,,,4.1304,
181,K05913,,,0.652,,,,3.4635,
182,K05989,,,0.544,,,,1.4988,
183,K06041,,,0.585,,,,4.1407,
184,K06133,,,0.753,,,,1.3866,
185,K06180,,,0.71,,,,3.777,
186,K06194,,,0.626,,,,7.2262,
187,K06204,,,0.603,,,,3.8843,
188,K06207,,,0.677,,,,12.8233,
189,K06213,,,0.6507841922856653,,,,6.8108,
190,K06215,,,0.6970000000000001,,,,22.4729,
191,K06217,,,0.546,,,,3.5137,
192,K06218,,,0.621,,,,3.93,
193,K06287,,,0.696,,,,4.1486,
194,K06400,,,0.623,,,,17.3057,
195,K06402,,,0.5539999999999999,,,,2.2308,
196,K06867,,,0.652,,,,6.8851,
197,K06898,,,0.591,,,,3.8547,
198,K06904,,,0.691,,,,5.7549,
199,K06911,,,0.6517969533191089,,,,8.55,
200,K06915,,,0.674,,,,8.5863,
201,K06920,,,0.737,,,,3.0172,
202,K06923,,,0.632,,,,4.6998,
203,K06929,,,0.6726553782833178,,,,16.0121,
204,K06937,,,0.648,,,,5.3647,
205,K06941,,,0.6604347395973615,,,,14.1187,
206,K06975,,,0.6310000000000001,,,,1.9137,
207,K06987,0.561,,,,2.0225,,,
208,K07020,,,0.69,,,,3.3727,
209,K07040,,,0.635,,,,1.3921,
210,K07058,,,0.6619999999999999,,,,3.9074,
211,K07090,,,0.7040000000000001,,,,2.7709,
212,K07096,,,0.6890000000000001,,,,3.9429,
213,K07120,,,0.639,,,,1.9254,
214,K07139,,,0.5589999999999999,,,,1.9565,
215,K07161,,,0.7440000000000001,,,,4.4191,
216,K07164,,,0.691,,,,3.5435,
217,K07240,,,0.659,,,,2.6372,
218,K07304,,,0.71,,,,2.6556,
219,K07315,,,0.6536873377231143,,,,9.8442,
220,K07480,,,0.5498896184075636,,,,23.0658,
221,K07481,,,0.6311866210755501,,,,52.49080000000001,
222,K07482,,,0.5883918143121769,,,,41.854,
223,K07483,,,0.6072630541872321,,,,116.31300000000002,
224,K07484,,,0.639672371364986,,,,32.523700000000005,
225,K07485,,0.591,0.6276456777800473,,,4.5575,33.9394,
226,K07486,,,0.6188848655788823,0.590788491806879,,,554.0161,12.1205
227,K07487,,,0.6246976052448011,,,,24.6139,
228,K07488,,,0.6160874327485691,,,,7.6983999999999995,
229,K07491,,,0.5294005143585083,,,,17.3206,
230,K07492,,,0.5676271143608229,,,,175.5938,
231,K07493,,,0.6082933300734362,,,,115.189,
232,K07494,,,0.5982983452414269,,,,301.0759,
233,K07495,,,0.561,,,,6.7717,
234,K07497,,,0.6172085371938901,,,,331.6588,
235,K07498,,,0.6186162515279062,,,,19.856,
236,K07499,,,0.6071296075774602,,,,34.4435,
237,K07506,,,0.664,,,,2.6725,
238,K07736,,,0.632,,,,12.5126,
239,K07793,,,0.6579999999999999,,,,18.9416,
240,K08223,,,0.664,,,,3.2732,
241,K08296,,,0.669,,,,4.1109,
242,K08305,,,0.68,,,,4.8621,
243,K08363,,,0.726,,,,2.6833,
244,K08972,,,0.633,,,,3.5376,
245,K08983,,,0.678,,,,3.6557,
246,K08989,,,0.63,,,,2.6774,
247,K09004,,,0.568,,,,3.0636,
248,K09013,,,0.637,,,,3.8776,
249,K09022,,,0.617,,,,1.4388,
250,K09748,,,0.638,,,,3.7387,
251,K09795,,,0.612,,,,4.2376,
252,K09883,,,0.682,,,,3.1782,
253,K09903,,,0.628,,,,4.5965,
254,K09919,,,0.653,,,,1.9861,
255,K09951,,,0.701,,,,3.8391,
256,K09958,,,0.608,,,,4.6145,
257,K10026,,,0.679,,,,3.0172,
258,K10773,,,0.6506447327046445,,,,9.755500000000001,
259,K10917,,,0.637,,,,4.306,
260,K10979,,,0.615,,,,6.9805,
261,K11443,,,0.56,,,,4.3965,
262,K11690,,,0.596,,,,7.3955,
263,K11749,,,0.665,,,,4.8858,
264,K11904,,,0.67,,,,4.3326,
265,K12140,,,0.6409999999999999,,,,13.2829,
266,K13640,,,0.653,,,,3.7376,
267,K13993,,,,0.65,,,,3.496
268,K14083,,,0.632,,,,2.6685,
269,K15371,,,0.696,,,,18.9853,
270,K15539,,,,0.6940000000000001,,,,1.4752
271,K15577,,,0.629,,,,11.8552,
272,K16137,,,0.626,,,,3.6883,
273,K16147,,,0.628,,,,11.6488,
274,K17103,,,0.6839999999999999,,,,3.5573,
275,K17725,,,0.628,,,,11.2124,
276,K17762,,,0.645,,,,3.5515,
277,K18682,,,0.6419826035184323,,,,8.7437,
278,K18700,,,0.6779999999999999,,,,2.5604,
279,K19055,,,0.634,,,,2.8614,
280,K19225,,,0.6,,,,3.0044,
281,K19784,,,0.626,,,,6.203,
282,K20467,,,,0.6579999999999999,,,,2.8528
283,K21140,,,0.6540000000000001,,,,3.8388,
284,K21470,,,0.6371017048593626,,,,14.3072,
285,K21688,,,0.618,,,,2.1175,
286,K21908,,,0.66,,,,4.0943,
287,K21929,,,0.69,,,,2.0173,
288,K22719,,,0.622,,,,7.7844,
289,K23424,,,0.71,,,,3.2958,
290,K23886,,,0.528,,,,4.0808,
