,KEGG,GC_adj ,GC_adj Bacteria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts ,gene_counts Bacteria,gene_counts Eukaryota,gene_countsUnclassified
120,K02004,,0.623567510666857,,,,32.0193,,
121,K02034,,0.63,,,,6.8201,,
122,K02050,,0.613,,,,7.1116,,
123,K02066,,0.601,,,,2.9775,,
124,K02078,,0.594351871894705,,,,13.158199999999999,,
125,K02113,,0.5877613199236574,,,,12.7467,,
126,K02114,,0.61,,,,6.3206,,
127,K02116,,0.68,,,,5.8007,,
128,K02195,,0.6677550992845284,,,,21.0639,,
129,K02199,,0.638,,,,4.3255,,
130,K02204,,0.66,,,,4.1769,,
131,K02221,,,,0.599,,,,2.765
132,K02231,,0.617,,,,5.9027,,
133,K02259,,0.6437275439397324,,,,6.9906999999999995,,
134,K02279,,0.667,,,,5.1026,,
135,K02313,,0.693,,,,6.1365,,
136,K02316,,0.7120000000000001,,,,4.8221,,
137,K02343,,0.633,,,,18.1047,,
138,K02356,,0.599,,,,3.0604,,
139,K02387,,0.644,,,,4.3829,,
140,K02388,,0.677,,,,3.8091,,
141,K02394,,0.6672274131279528,,,,30.9915,,
142,K02405,,0.659,,,,7.4451,,
143,K02406,,0.61,,,,3.3787,,
144,K02409,,0.6111389311105663,,,,4.203200000000001,,
145,K02413,,0.617,,,,10.3576,,
146,K02420,,0.614,,,,7.0091,,
147,K02426,,0.6579999999999999,,,,5.2969,,
148,K02437,,0.633,,,,2.954,,
149,K02460,,0.6509999999999999,,,,2.9328,,
150,K02518,0.4809999999999999,0.5670000000000001,,,5.284,5.3553,,
151,K02519,,0.705,,,,18.0111,,
152,K02520,,0.5752122726591876,,,,20.9297,,
153,K02600,,0.657490156894345,,,,57.6224,,
154,K02601,,0.6210000000000001,,,,8.6476,,
155,K02651,,0.5663501221088105,,,,8.8672,,
156,K02662,,0.619642640089418,,,,21.317700000000002,,
157,K02676,,0.581,,,,6.6366,,
158,K02825,,0.6829999999999999,,,,8.6687,,
159,K02838,,0.611,,,,6.4707,,
160,K02863,,0.6876771118267865,,,,10.9039,,
161,K02864,,0.604,,,,7.6221,,
162,K02871,,0.6045593017795985,,,,9.3515,,
163,K02874,,0.6447423685179556,,,,43.3591,,
164,K02881,,0.6533123406277931,,,,16.748800000000003,,
165,K02884,,0.612,,,,11.8684,,
166,K02886,,0.642,,,,7.7451,,
167,K02887,,0.6099999999999999,,,,7.139,,
168,K02890,,0.6374433660513892,,,,16.2487,,
169,K02892,,0.5766967845758674,,,,16.6842,,
170,K02895,,0.653,,,,19.77,,
171,K02897,,0.6903884588228941,,,,5.5903,,
172,K02902,,0.5820000000000001,,,,2.3007,,
173,K02906,,0.6674207293377237,,,,25.134900000000002,,
174,K02907,,0.626,,,,5.0149,,
175,K02914,,0.6744316001698271,,,,9.1493,,
176,K02916,,0.5619693854328007,,,,33.5741,,
177,K02926,,0.659,,,,13.7143,,
178,K02931,,0.599,,,,12.0519,,
179,K02933,,0.626,,,,4.7196,,
180,K02935,,0.624,,,,2.4408,,
181,K02939,,0.547,,,,4.6547,,
182,K02945,,0.6204373307145266,,,,73.4882,,
183,K02946,,0.5816196750230329,,,,26.386400000000002,,
184,K02948,,0.6609999999999999,,,,14.5536,,
185,K02950,,0.634136171056434,,,,53.4362,,
186,K02952,,0.6085598350870802,,,,17.8629,,
187,K02954,,0.6297491260640325,,,,28.1582,,
188,K02959,,0.657,,,,10.0049,,
189,K02963,,0.585,,,,4.6547,,
190,K02965,,0.618,,,,12.1644,,
191,K02967,,0.528,,,,6.5473,,
192,K02982,,0.5770000000000001,,,,7.6573,,
193,K02986,,0.6431455695710266,,,,20.592599999999997,,
194,K02988,,0.6634537491739392,,,,27.2868,,
195,K02996,,0.679,,,,4.5433,,
196,K03040,,0.6027601023830295,,,,45.8692,,
197,K03060,,0.6960000000000001,,,,3.8815,,
198,K03088,,0.6666683151945262,,,,41.449099999999994,,
199,K03100,,0.568,,,,2.82,,
200,K03111,,0.6400477997123658,,,,14.6584,,
201,K03116,,0.654,,,,1.911,,
202,K03117,,0.615,,,,9.9243,,
203,K03147,,0.6327515043763676,,,,58.480000000000004,,
204,K03149,,0.731,,,,6.7671,,
205,K03210,,0.535,,,,2.57,,
206,K03217,,0.609,,,,4.7122,,
207,K03282,,0.5976010271690299,,,,7.984,,
208,K03284,,0.637,,,,2.9638,,
209,K03320,,0.6488991755363905,,,,32.805899999999994,,
210,K03394,,0.607,,,,1.7799,,
211,K03406,,0.6524590051292409,,,,16.950699999999998,,
212,K03424,,0.647,,,,3.7259,,
213,K03466,,0.6434882202091173,,,,29.1553,,
214,K03469,,0.629,,,,8.5675,,
215,K03496,,0.616,,,,6.0467,,
216,K03497,,0.7320000000000001,,,,2.2438,,
217,K03517,,0.633,,,,8.43,,
218,K03518,,0.648,,,,6.824,,
219,K03525,,0.667,,,,5.4595,,
220,K03526,,0.6509999999999999,,,,12.551,,
221,K03531,,0.65,,,,9.5402,,
222,K03536,,0.628,,,,4.289,,
223,K03544,,0.634785720708965,,,,113.90070000000001,,
224,K03545,,0.682,,,,1.484,,
225,K03551,,0.7294266855818224,,,,8.1012,,
226,K03553,,0.6173641586719502,,,,52.921400000000006,,
227,K03556,,0.7016012793187392,,,,27.26,,
228,K03558,,0.5970423853885891,,,,13.4647,,
229,K03559,,,,0.556,,,,2.1573
230,K03564,,0.5479999999999999,,,,2.9518,,
231,K03565,,0.7399999999999999,,,,2.3034,,
232,K03569,,0.5790505380602441,,,,40.5728,,
233,K03584,,0.657,,,,2.2563,,
234,K03589,,0.6609999999999999,,,,6.17,,
235,K03590,,0.635,,,,10.3828,,
236,K03593,,0.616,,,,12.7071,,
237,K03624,,0.638,,,,13.5262,,
238,K03628,,0.6142571774753675,,,,133.21599999999998,,
239,K03629,,0.69,,,,10.7479,,
240,K03630,,0.6779999999999999,,,,12.4521,,
241,K03638,,0.645,,,,5.4315,,
242,K03639,,0.636,,,,12.4029,,
243,K03667,,0.6409999999999999,,,,11.5285,,
244,K03671,,0.649,,,,12.4303,,
245,K03676,,0.5660000000000001,,,,6.0827,,
246,K03687,,0.713,,,,3.0998,,
247,K03704,,0.5693299256585672,,,,7.4207,,
248,K03705,,0.66330340328592,,,,16.298299999999998,,
249,K03718,,0.6890000000000001,,,,2.5175,,
250,K03719,,0.616,,,,13.3231,,
251,K03734,,0.6898157741709151,,,,7.9503,,
252,K03781,,0.6433916578161156,,,,23.6854,,
253,K03783,,0.594,,,,2.7729,,
254,K03787,,0.65,,,,1.4755,,
255,K03797,,0.6329553294198142,,,,26.631,,
256,K03820,,0.65,,,,2.4833,,
257,K03830,,0.642,,,,2.2064,,
258,K03832,,0.6779999999999999,,0.68,,2.0509,,3.1741
259,K03924,,0.619,,,,2.1197,,
260,K03937,,0.688,,,,2.9737,,
261,K03976,,0.693,,,,2.4336,,
262,K04028,,0.535,,,,1.7361,,
263,K04077,,0.6348353373163831,,,,287.8158,,
264,K04078,,0.6416713495781894,,,,25.6752,,
265,K04079,,0.663711237604801,,,,8.418299999999999,,
266,K04096,,0.645,,,,3.6224,,
267,K04485,,0.6920345668931615,,,,21.838900000000002,,
268,K04744,,0.624,,,,9.5012,,
269,K04751,,0.5920000000000001,,,,5.4671,,
270,K04760,,0.634,,,,21.6491,,
271,K04773,,0.7490000000000001,,,,7.9533,,
272,K05606,,0.6559999999999999,,,,3.8646,,
273,K05788,,0.611,,,,7.6159,,
274,K05800,,0.616,,,,13.3231,,
275,K05838,,0.649,,,,12.4303,,
276,K05896,,0.584,,,,3.0242,,
277,K06048,,0.705849888976509,,,,4.9193999999999996,,
278,K06138,,0.652,,,,7.5575,,
279,K06153,,0.6650878553659907,,,,9.3301,,
280,K06187,,0.508,,,,3.9217,,
281,K06213,,0.642,,,,1.4647,,
282,K06215,,0.6897536505004954,,,,44.1225,,
283,K06217,,0.674,,,,21.812,,
284,K06287,,0.6729999999999999,,,,9.0246,,
285,K06381,,0.6509999999999999,,,,3.0326,,
286,K06442,,0.6715100973291012,,,,8.902000000000001,,
287,K06518,,0.648,,,,3.3486,,
288,K06867,,0.578,,,,4.2374,,
289,K06872,,0.617,,,,6.8518,,
290,K06888,,0.7420000000000001,,,,4.1702,,
291,K06911,,0.66,,,,15.6897,,
292,K06915,,0.598,,,,6.837,,
293,K06920,,0.603,,,,5.1343,,
294,K06923,,0.673,,,,3.476,,
295,K06941,,0.675,,,,7.8819,,
296,K06985,,0.682,,,,3.8684,,
297,K06998,,0.726,,,,5.2552,,
298,K06999,,0.682,,,,3.026,,
299,K07006,,0.6287408053011743,,,,14.6125,,
300,K07052,,0.674,,,,9.0435,,
301,K07056,,0.665,,,,2.1713,,
302,K07058,,0.622,,,,4.948,,
303,K07068,,0.7064667063972293,,,,9.2208,,
304,K07082,,0.6932288899258832,,,,12.948799999999999,,
305,K07090,,0.674,,,,4.0021,,
306,K07102,,0.642,,,,4.1601,,
307,K07104,,0.7240000000000001,,,,8.4105,,
308,K07107,,0.625,,,,2.388,,
309,K07112,,0.667,,,,7.3285,,
310,K07120,,0.565,,,,5.8009,,
311,K07122,,,,0.64,,,,3.7824
312,K07156,,0.602,,,,2.8945,,
313,K07161,,0.7002505086129106,,,,9.853200000000001,,
314,K07192,,0.6759999999999999,,,,11.3302,,
315,K07240,,0.674,,,,2.6731,,
316,K07243,,0.664,,,,2.9825,,
317,K07341,,0.657,,,,2.1318,,
318,K07390,,0.5660000000000001,,,,9.2238,,
319,K07402,,0.6342470491532135,,,,12.554499999999999,,
320,K07447,,0.667,,,,5.5393,,
321,K07451,,0.7190000000000001,,,,7.9597,,
322,K07478,,0.7249999999999999,,,,8.6404,,
323,K07481,,0.6301850990136645,,,,14.398,,
324,K07482,,0.591241569258834,,,,32.259,,
325,K07483,,0.6215340499893426,,,,25.873800000000003,,
326,K07484,,0.6115441349023124,,,,19.9857,,
327,K07485,,0.5646948379743068,,,,14.570599999999999,,
328,K07486,,0.626050616468222,,,,118.93440000000001,,
329,K07487,,0.6059245694419312,,,,27.0824,,
330,K07492,,0.6335816571652103,,,,24.0108,,
331,K07493,,0.6419933401881865,,,,12.8127,,
332,K07494,,0.6253401017279735,,,,83.7704,,
333,K07495,,0.5867963054984726,,,,18.5944,,
334,K07497,,0.6274947608755858,,,,107.3818,,
335,K07499,,0.5763122597016841,,,,12.3721,,
336,K07742,,0.662,,,,5.8009,,
337,K07793,,0.601,,,,11.2373,,
338,K07794,,0.682,,,,1.702,,
339,K07795,,0.6561684166089164,,,,12.3168,,
340,K08095,,0.665,,,,3.218,,
341,K08223,,0.6105591567075673,,,,11.6999,,
342,K08309,,0.643,,,,8.247,,
343,K08602,,0.65,,,,13.8548,,
344,K08968,,0.621,,,,2.2444,,
345,K08998,,0.6559999999999999,,,,3.3239,,
346,K09013,,0.6809999999999999,,,,10.677,,
347,K09022,,0.5847122768621862,,,,4.8022,,
348,K09125,,0.6249999999999999,,,,3.5257,,
349,K09137,,0.627,,,,1.7123,,
350,K09705,,0.69,,,,2.4712,,
351,K09761,,0.726,,,,1.4299,,
352,K09762,,0.7170000000000001,,,,5.9611,,
353,K09767,,0.627,,,,5.503,,
354,K09768,,0.698,,,,3.8124,,
355,K09769,,0.6576137382405206,,,,15.721800000000002,,
356,K09772,,0.615,,,,2.765,,
357,K09794,,,,0.644,,,,3.8694
358,K09808,,0.635,,,,12.3141,,
359,K09880,,0.662,,,,1.4975,,
360,K09883,,0.6722610538472054,,,,42.4126,,
361,K09903,,0.591,,,,2.4503,,
362,K09924,,,,0.578,,,,2.009
363,K09984,,0.6709999999999999,,,,6.1933,,
364,K09987,,0.653,,,,9.257,,
365,K09989,,0.585,,,,4.7004,,
366,K10947,,0.555,,,,4.2019,,
367,K10979,,0.596,,,,4.4111,,
368,K11087,,,0.535,,,,1.4402,
369,K11211,,0.687,,,,4.8296,,
370,K11690,,0.6479520417154189,,,,12.485199999999999,,
371,K11719,,,,0.66,,,,4.0849
372,K11749,,0.6116174425614576,,0.519,,10.6076,,2.548
373,K11891,,0.684,,,,2.1951,,
374,K11904,,0.589,,,,1.9075,,
375,K11939,,0.7659999999999999,,,,3.489,,
376,K12510,,0.603636797707591,,,,12.4006,,
377,K12574,,0.6242480498003554,,,,10.9038,,
378,K13292,,0.625,,,,6.5393,,
379,K13570,,0.6937375229306798,,,,6.4976,,
380,K13573,,0.7209999999999999,,,,4.8643,,
381,K13583,,0.6225617448613291,,,,7.4163,,
382,K13775,,0.632,,,,10.5023,,
383,K13985,,0.631,,,,6.462,,
384,K14083,,0.693,,,,8.3829,,
385,K14742,,0.7020920747365972,,,,10.894400000000001,,
386,K14856,,,0.563,,,,1.4075,
387,K15371,,0.6990000000000001,,,,10.0237,,
388,K15532,,0.59,,,,2.9005,,
389,K15633,,0.6219414507049605,,,,17.3587,,
390,K16079,,0.66,,,,6.5915,,
391,K17247,,0.6459999999999999,,,,4.7436,,
392,K17675,,0.669,,,,13.2457,,
393,K18189,,0.629621109006395,,,,26.3223,,
394,K18700,,0.672,,,,2.8204,,
395,K18979,,0.6441840031716141,,,,24.185200000000002,,
396,K19222,,0.645,,,,6.4254,,
397,K19686,,0.627,,,,2.2015,,
398,K19687,,0.6,,,,1.8729,,
399,K20523,,0.607,,,,1.7116,,
400,K21310,,0.57,,,,3.6029,,
401,K21395,,0.5952647007436352,,,,27.875899999999998,,
402,K21470,,0.657,,,,3.3501,,
403,K21495,,0.627,,,,3.7613,,
404,K21600,,0.713,,,,2.9315,,
405,K21908,,0.688,,,,2.7822,,
406,K22342,,0.624,,,,2.8621,,
407,K22452,,0.621,,,,3.2456,,
408,K22479,,0.6182996335756483,,,,12.1898,,
409,K22522,,0.6559999999999999,,,,5.7909,,
410,K23536,,0.685,,,,4.8816,,
