,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adj Varidnaviria,GC_adj unclassified viruses,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_counts Varidnaviria,gene_counts unclassified viruses,gene_countsUnclassified
83,K00333,,,0.5920000000000001,,,,,,,19.7946,,,,
84,K00334,,,0.5912250277631418,,,,,,,52.998,,,,
85,K00337,,,0.5876444569902634,,,,,,,30.3068,,,,
86,K00338,,,0.586594901409653,,,,,,,106.25080000000001,,,,
87,K00339,,,0.5793538231197948,,,,,,,62.4912,,,,
88,K00340,,,0.5548854245771947,,,,,,,136.1826,,,,
89,K00341,,,0.5835313771154612,,,,,,,36.490899999999996,,,,
90,K00342,,,0.5820000000000001,,,,,,,15.0473,,,,
91,K00343,,,0.6129605554333276,,,,,,,21.531299999999998,,,,
92,K00344,0.5539999999999999,,0.5943249408165008,,,,,6.7724,,101.3046,,,,
93,K00351,,,0.5589999999999999,,,,,,,7.0806,,,,
94,K00355,,,0.631,,,,,,,3.7546,,,,
95,K00363,,,0.627,,,,,,,9.6374,,,,
96,K00365,,,0.5621533966625434,,,,,,,28.4998,,,,
97,K00375,,,0.5921942850836401,,,,,,,25.7886,,,,
98,K00382,,,0.622,,,,,,,8.1904,,,,
99,K00384,,,0.5852223042799686,,,,,,,50.2442,,,,
100,K00389,,,0.59043987035383,,,,0.595,,,60.6184,,,,6.4775
101,K00390,,,0.5850345998898376,,,,,,,52.0878,,,,
102,K00392,,,0.595,,,,,,,14.4075,,,,
103,K00406,,,0.5820000000000001,,,,,,,4.2798,,,,
104,K00412,,,0.5812728398070172,,,,,,,11.8597,,,,
105,K00413,,,0.6198491284180222,,,,,,,5.7417,,,,
106,K00425,,,0.5786981708416822,,,,,,,89.42879999999998,,,,
107,K00426,,,0.6062261910519483,,,,0.593,,,56.36550000000001,,,,5.0295
108,K00428,,,0.5835339052395311,,,,,,,36.2185,,,,
109,K00432,,,0.5544790204095918,,,,,,,56.61220000000001,,,,
110,K00433,,,0.5912859850209458,,,,,,,145.2111,,,,
111,K00435,,,0.6088830081934448,,,,,,,18.650100000000002,,,,
112,K00448,,,0.5751812684088007,,,,,,,32.4238,,,,
113,K00449,,,0.5930679862321989,,,,,,,39.7278,,,,
114,K00450,,,0.606,,,,,,,3.3957,,,,
115,K00451,,,0.6260808207373232,,,,,,,66.86930000000001,,,,
116,K00452,,,0.5446040144537801,,,,,,,24.8002,,,,
117,K00453,,,0.5920305571142304,,,,,,,59.1678,,,,
118,K00456,,,0.5412901454187655,,,,,,,39.6174,,,,
119,K00457,,,0.603935612875651,,,,,,,42.2432,,,,
120,K00459,,,0.6428815434160574,,,,,,,140.55519999999999,,,,
121,K00463,,,0.608,,,,,,,6.0071,,,,
122,K00469,,,0.5479999999999999,,,,,,,4.5439,,,,
123,K00476,,,0.573,,,,,,,4.7056,,,,
124,K00481,,,0.604,,,,,,,17.1976,,,,
125,K00483,,,0.655,,,,,,,9.58,,,,
126,K00485,,,0.61,,,,,,,6.791,,,,
127,K00486,,,0.5745495969227686,,,,,,,22.8084,,,,
128,K00499,,,0.5770667518154367,,,,,,,24.7943,,,,
129,K00500,,,0.5963616793505885,,,,,,,14.206199999999999,,,,
130,K00507,,,0.598370991654473,,,,,,,187.04500000000004,,,,
131,K00518,,,0.61,,,,,,,4.0633,,,,
132,K00525,,,0.6141769152198663,,,,,,,93.3051,,,,
133,K00526,,,0.624,,,,,,,4.2073,,,,
134,K00529,,,0.584,,,,,,,5.7914,,,,
135,K00537,,,0.611,,,,,,,3.8667,,,,
136,K00540,,,0.5970730739007385,,,,,,,26.5074,,,,
137,K00544,,,0.6148142423306516,,,,,,,32.4997,,,,
138,K00548,,,0.5925995996476668,,,,,,,151.8529,,,,
139,K00549,,0.6124748117159217,0.6095780914529056,,,,,,11.840499999999999,180.43660000000006,,,,
140,K00554,,,0.6287963012269776,,,,,,,72.0248,,,,
141,K00558,,,0.585,,,,,,,7.5469,,,,
142,K00560,,,0.6249695327856195,,,,,,,10.8993,,,,
143,K00561,,,0.628,,,,,,,8.3678,,,,
144,K00564,,,0.746,,,,,,,5.5974,,,,
145,K00566,,,0.6211156372031212,,,,,,,28.500700000000002,,,,
146,K00567,,,0.6115638232543739,,,,,,,46.8997,,,,
147,K00571,,,0.6509999999999999,,,,,,,9.0252,,,,
148,K00573,,,0.647158739032246,,,,,,,72.7831,,,,
149,K00574,,,0.642946360684505,,,,,,,49.753,,,,
150,K00575,,,0.5605359637658734,,,,,,,69.6055,,,,
151,K00588,,,0.6005304752176293,,,,,,,67.3504,,,,
152,K00598,,,0.6362833897447732,,,,,,,6.9806,,,,
153,K00600,,,0.625999433248547,,,,,,,139.5587,,,,
154,K00602,,,0.6241293890104688,,,,,,,144.20690000000002,,,,
155,K00603,,,0.606,,,,,,,18.2655,,,,
156,K00604,,,0.6103071352121435,,,,,,,29.3181,,,,
157,K00605,,,0.5807779940290185,,,,,,,49.651700000000005,,,,
158,K00606,,,0.6341088090555623,,,,,,,96.73859999999999,,,,
159,K00609,,0.66,0.6517190226238058,,,,,,8.139,45.9691,,,,
160,K00611,,0.594,0.6040245659990133,,,,,,5.4747,11.4998,,,,
161,K00612,,,0.5875680761777102,,,,,,,78.2183,,,,
162,K00615,,,0.6115943439539712,,,,,,,85.04019999999998,,,,
163,K00616,,,0.5930866878409294,,,,,,,94.4417,,,,
164,K00619,,,0.584,,,,,,,6.8609,,,,
165,K00620,,,0.6240855307502471,,,,,,,58.864900000000006,,,,
166,K00625,,,0.594,,,,,,,10.6786,,,,
167,K00626,,,0.6303073641821547,,,,,,,213.74730000000002,,,,
168,K00632,,,0.6334882417420574,,,,,,,34.013000000000005,,,,
169,K00635,,,0.6346568936636333,,,,,,,76.5762,,,,
170,K00639,,,0.5863000115232251,,,,,,,27.3156,,,,
171,K00640,,,0.6168631508018503,,,,,,,34.62480000000001,,,,
172,K00641,,,0.6027869789598694,,,,,,,92.56120000000001,,,,
173,K00645,,,0.6607619662618913,,,,,,,14.829699999999999,,,,
174,K00648,,,0.6108646106305057,,,,,,,38.7793,,,,
175,K00652,,,0.5863000115232251,,,,,,,27.3156,,,,
176,K00655,,,0.6188967535958316,,,,,,,102.5417,,,,
177,K00657,,,0.6235546556342113,,,,,,,18.3276,,,,
178,K00661,,,0.5720000000000001,,,,,,,5.6831,,,,
179,K00663,,,0.7040000000000001,,,,,,,6.2303,,,,
180,K00666,,,0.589,,,,,,,18.7114,,,,
181,K00673,,,0.6409999999999999,,,,,,,3.3609,,,,
182,K00674,,,0.6413894591075322,,,,,,,36.026399999999995,,,,
183,K00677,,,0.6014655428700616,,,,,,,60.9597,,,,
184,K00681,,,0.6060414085298851,,,,,,,24.172900000000002,,,,
185,K00683,,,0.5872492819882528,,,,,,,40.6881,,,,
186,K00684,,,0.6329576185168122,,,,,,,8.5612,,,,
187,K00688,0.556,,0.5979042781028389,,,,,8.4538,,291.41670000000005,,,,
188,K00694,,,0.628,,,,,,,7.2654,,,,
189,K00700,,,0.5813885190381094,,,,,,,125.9708,,,,
190,K00702,,,0.616,,,,,,,17.4266,,,,
191,K00703,,,0.586841890155882,,,,,,,80.9415,,,,
192,K00705,,,0.6022086068698096,,,,,,,13.0725,,,,
193,K00720,,,0.5912718163493178,,,,,,,138.167,,,,
194,K00721,,,0.6436769895744435,,,,,,,10.048300000000001,,,,
195,K00728,,,0.7190000000000002,,,,,,,6.6233,,,,
196,K00729,,,0.6114353753939248,,,,,,,28.8094,,,,
197,K00748,,,0.6228004108801518,,,,,,,70.70219999999999,,,,
198,K00754,,,0.578,,,,,,,18.2974,,,,
199,K00759,,,0.5921847816062433,,,,,,,61.892300000000006,,,,
200,K00760,,,0.5870917550235986,,,,,,,73.5056,,,,
201,K00762,,,0.6556064290503443,,,,,,,52.0105,,,,
202,K00763,,,0.6367222408020874,,,,,,,55.880100000000006,,,,
203,K00764,,,0.6128736012781265,,,,,,,154.2509,,,,
204,K00765,,,0.602423527544832,,,,,,,41.4831,,,,
205,K00766,,,0.6495167362235552,,,,,,,73.23049999999999,,,,
206,K00767,,,0.6679999999999999,,,,,,,3.6982,,,,
207,K00768,,,0.690136508650734,,,,,,,21.235599999999998,,,,
208,K00772,,,0.5970395699650494,,,,,,,25.415,,,,
209,K00773,,,0.6229598580346366,,,,,,,49.4871,,,,
210,K00782,,,0.6339437895842106,,,,,,,16.2038,,,,
211,K00783,0.628,,0.6171217091260365,,,,,15.8921,,31.9431,,,,
212,K00784,,,0.6091873127165585,,,,,,,67.977,,,,
213,K00788,,,0.6244848423265559,,,,,,,47.0546,,,,
214,K00789,,0.62,0.6224007558836939,,,,,,1.4014,236.86470000000006,,,,
215,K00790,,,0.6367014887878004,,,,,,,130.88639999999998,,,,
216,K00791,,,0.6353698274339112,,,,,,,28.918799999999997,,,,
217,K00793,,0.579,0.6175057731423188,,,,,,15.9006,80.8766,,,,
218,K00794,,0.612,0.6200516537503975,,,,,,6.4867,61.7737,,,,
219,K00796,,,0.6230154952453318,,,,,,,32.4437,,,,
220,K00797,,,0.6172972068093671,,,,,,,14.3584,,,,
221,K00798,,,0.6151216438438072,,,,,,,51.885999999999996,,,,
222,K00799,,,0.5987686444218937,,,,0.605274592507333,,,167.32850000000002,,,,14.0424
223,K00800,,,0.6400746814258648,,,,,,,73.84400000000001,,,,
224,K00803,,,0.605,,,,,,,6.0256,,,,
225,K00808,,,0.648,,,,,,,5.5831,,,,
226,K00809,,,0.5790481268341553,,,,,,,44.1075,,,,
227,K00817,,,0.5967309037379478,,,,,,,62.9591,,,,
228,K00820,,,0.6110865897691011,,,,,,,210.46349999999995,,,,
229,K00821,,,0.574,,,,,,,4.9809,,,,
230,K00823,,,0.613737116552018,,,,,,,42.845600000000005,,,,
231,K00826,,,0.6128240281390781,,,,,,,28.5133,,,,
232,K00827,,,0.5489999999999999,,,,,,,16.7496,,,,
233,K00830,,,0.593,,,,,,,20.4662,,,,
234,K00831,,,0.5896309483334098,,,,,,,44.0149,,,,
235,K00845,,,0.611845757921849,,,,,,,55.23,,,,
236,K00848,,,0.585884010619842,,,,,,,12.128599999999999,,,,
237,K00849,,,0.6167243805827347,,,,,,,24.0747,,,,
238,K00851,,,0.5874694577071045,0.5804374513830897,,,,,,77.3483,8.3171,,,
239,K00852,,,0.5982676257212646,,,,,,,37.260600000000004,,,,
240,K00853,,,0.5950521002663439,,,,,,,23.8743,,,,
241,K00854,,,0.6267904682415674,,,,,,,22.4415,,,,
242,K00857,,,0.6087621829639521,,,,,,,75.8249,,,,
243,K00858,,,0.6311945090334248,,,,,,,97.63499999999999,,,,
244,K00859,,,0.6250772575981105,,,,,,,67.36430000000001,,,,
245,K00864,,,0.5893926742162076,,,,,,,29.609099999999998,,,,
246,K00865,,,0.7521867857905186,,,,,,,7.1751000000000005,,,,
247,K00872,,,0.61874971907766,,,,,,,30.351,,,,
248,K00873,,0.639,0.613514705650684,,,,,,4.0785,103.29420000000002,,,,
249,K00874,,,0.596,,,,,,,6.4537,,,,
250,K00876,,,0.5956343782756821,,,,,,,22.471,,,,
251,K00883,,,0.525,,,,,,,6.9543,,,,
252,K00886,,,0.5825439174471656,,,,,,,33.7608,,,,
253,K00891,,,0.6246921111533374,,,,,,,37.5034,,,,
254,K00903,,,0.605,,,,,,,5.0066,,,,
255,K00912,,,0.6230191846630624,,,,,,,74.7122,,,,
256,K00919,,,0.6220600220108097,,,,,,,63.8211,,,,
257,K00925,,,0.6112143018769707,,,,,,,104.98729999999999,,,,
258,K00926,,,0.7150126923505896,,,,,,,8.542300000000001,,,,
259,K00927,,,0.6080355281808378,,,,,,,110.77759999999999,,,,
260,K00928,,,0.6062871248207009,,,,,,,20.518,,,,
261,K00930,,,0.6302548200852292,,,,,,,13.1671,,,,
262,K00936,,,0.6840881607562223,,,,,,,13.0122,,,,
263,K00937,,,0.5961950607812829,,,,,,,72.5228,,,,
264,K00939,,,0.6316355991474193,,,,,,,58.2538,,,,
265,K00940,,,0.5832982883629819,,,,,,,73.7025,,,,
266,K00941,,,0.6102988336443536,,,,,,,27.792,,,,
267,K00942,,,0.5936283150133609,,,,,,,55.6892,,,,
268,K00943,,,0.6136916411802323,,,,,,,116.74449999999997,,,,
269,K00945,,,0.6257532048472791,,,,0.652,,,82.15780000000001,,,,10.129
270,K00946,,,0.6392158250362245,,,,,,,61.065900000000006,,,,
271,K00948,,,0.60899317802192,,,,,,,187.34890000000001,,,,
272,K00950,,,0.5952157914377889,,,,,,,43.9392,,,,
273,K00954,,,0.5715194684840129,,,,,,,89.4034,,,,
274,K00956,,,0.5870912358547298,,,,,,,26.206400000000002,,,,
275,K00957,,,0.5836189171494172,,,,,,,53.2255,,,,
276,K00958,,,0.5866399257528007,,,,,,,31.713099999999997,,,,
277,K00962,,,0.6089973410888585,,,,,,,79.80160000000001,,,,
278,K00963,,,0.5995636853208509,,,,,,,41.69279999999999,,,,
279,K00965,,,0.586,,,,,,,18.4863,,,,
280,K00969,,,0.6148356789151095,,,,,,,45.492900000000006,,,,
281,K00970,,,0.611,,,,,,,21.1802,,,,
282,K00971,,,0.6148235223205571,,,,,,,77.3124,,,,
283,K00973,,,0.5549566341463404,,,,,,,17.8364,,,,
284,K00974,,,0.611,,,,,,,21.1802,,,,
285,K00975,,,0.5777940853403295,,,,,,,50.1779,,,,
286,K00978,,,0.5488603105475595,,,,,,,34.591499999999996,,,,
287,K00979,,,0.606816797620989,,,,,,,34.0479,,,,
288,K00981,,,0.6237813563126452,,,,,,,61.64500000000001,,,,
289,K00982,,0.654,0.687887284224104,,,,,,7.4287,13.591800000000001,,,,
290,K00986,,,0.5650699459141091,,,,0.4679999999999999,,,1275.1343000000002,,,,40.2814
291,K00989,,,0.6333824990584378,,,,,,,62.141200000000005,,,,
292,K00990,,,0.6108907211207963,,,,,,,141.3223,,,,
293,K00992,,,0.5840266538013961,,,,,,,13.4347,,,,
294,K00995,,,0.596,,,,,,,5.3408,,,,
295,K00997,,,0.6236072998910841,,,,,,,68.1281,,,,
296,K01000,,,0.5890025543178846,,,,,,,47.2427,,,,
297,K01004,,,0.61,,,,,,,9.4915,,,,
298,K01005,,,0.6659349909716918,,,,0.632,,,10.052499999999998,,,,4.8249
299,K01006,,,0.60291246768752,,,,,,,58.676300000000005,,,,
300,K01008,,,0.5986422194676608,,,,,,,43.2328,,,,
301,K01011,,,0.6048514595093435,,,,,,,37.2238,,,,
302,K01012,,,0.6394548890480485,,,,,,,17.5716,,,,
303,K01023,,,0.578859292854529,,,,,,,22.899700000000003,,,,
304,K01028,,,0.579,,,,,,,5.4227,,,,
305,K01029,,,0.6034978316543068,,,,,,,33.7232,,,,
306,K01035,,,0.5870000000000001,,,,,,,18.5564,,,,
307,K01039,,,0.6386032248288024,,,,,,,26.9427,,,,
308,K01040,,,0.6315891188963366,,,,,,,21.5216,,,,
309,K01042,,,0.6217522993605735,,,,,,,35.4989,,,,
310,K01046,,,0.662,,,,,,,10.1766,,,,
311,K01047,,,,,,,0.517,,,,,,,3.3458
312,K01051,,,0.5915869750689986,,,,,,,35.123000000000005,,,,
313,K01053,,,0.6241998222125861,,,,,,,13.8597,,,,
314,K01054,,,0.688,,,,,,,7.2437,,,,
315,K01055,,,0.5961233089449917,,,,,,,62.2794,,,,
316,K01056,,,0.6139678582976855,,,,,,,108.2959,,,,
317,K01057,,,0.6158985441361527,,,,,,,79.53710000000001,,,,
318,K01060,,,0.755,,,,,,,4.7006,,,,
319,K01061,,,0.6045066909719792,,,,,,,365.4928,,,,
320,K01066,,,0.624,0.618,,,,,,4.5107,27.726,,,
321,K01068,,,0.635,,,,,,,19.8261,,,,
322,K01069,,,0.6100109149074269,,,,,,,79.08790000000002,,,,
323,K01070,,,0.6429999999999999,,,,,,,3.8285,,,,
324,K01075,,,0.5703537733312894,,,,,,,22.2326,,,,
325,K01079,,,0.6885882711297826,,,,,,,24.2651,,,,
326,K01082,,,0.6464971757103977,,,,,,,10.7567,,,,
327,K01087,,,0.674,,,,0.608,,,5.1967,,,,18.6293
328,K01091,,,0.5916247233855425,,,,,,,56.12820000000001,,,,
329,K01092,,,0.6130766496391489,,,,,,,44.498000000000005,,,,
330,K01095,,,0.5924263719092947,,,,,,,71.65350000000001,,,,
331,K01104,,,0.6539138128813249,,,,,,,21.969199999999997,,,,
332,K01114,,,0.584844817706502,0.602,,,,,,124.75919999999999,6.7508,,,
333,K01118,,,0.556480109170283,,,,,,,102.77579999999999,,,,
334,K01126,,0.6280000000000001,0.5953475522727768,,,,,,9.6269,22.1742,,,,
335,K01129,,,0.6015738681477549,,,,,,,81.9653,,,,
336,K01139,,,0.611,,,,,,,6.9912,,,,
337,K01142,,,0.595787329328832,,,,,,,20.6789,,,,
338,K01151,,,0.6024802972261684,,,,,,,44.452999999999996,,,,
339,K01153,,,0.506,,,,,,,10.2112,,,,
340,K01154,,,0.524,,,,,,,5.6484,,,,
341,K01159,,,0.6466719718891647,,,,0.6631505423152982,,,57.689600000000006,,,,12.7359
342,K01178,,,0.6459999999999999,,,,,,,4.5436,,,,
343,K01179,,,0.6210567066146595,,,,,,,23.5324,,,,
344,K01181,,,0.5974396453538562,0.58,,,,,,26.4042,3.9469,,,
345,K01183,,,0.5877141180302761,,,,,,,25.5891,,,,
346,K01185,,,0.625,,,,,,,5.7887,,,,
347,K01187,,,0.5810000000000001,,,,,,,16.0065,,,,
348,K01190,,,0.563,,,,,,,4.7279,,,,
349,K01192,,,0.569,,,,,,,19.3852,,,,
350,K01193,,,0.5760000000000001,,,,,,,6.3283,,,,
351,K01194,,,0.5756999451722696,,,,,,,32.9209,,,,
352,K01195,,,0.565,,,,,,,6.4709,,,,
353,K01198,,,0.7140000000000001,,,,,,,5.1046,,,,
354,K01201,,,0.5710000000000001,,,,,,,6.0508,,,,
355,K01206,,,0.5842220333055596,,,,0.599,,,127.24209999999998,,,,1.4913
356,K01207,,,0.606,,,,,,,19.2833,,,,
357,K01209,,,0.5861704258788145,,,,,,,111.31970000000001,,,,
358,K01218,,,0.6,,,,0.581,,,2.0783,,,,2.7573
359,K01222,,,0.5710000000000001,,,,,,,6.0939,,,,
360,K01235,,,0.62,,,,,,,6.9246,,,,
361,K01236,,,0.5826425523957897,,,,,,,44.2963,,,,
362,K01239,,,0.6034038299098426,,,,,,,156.32620000000003,,,,
363,K01243,,,,,,,0.546,,,,,,,7.659
364,K01246,,,0.6114299199470502,,,,,,,50.50429999999999,,,,
365,K01247,,,0.6248027269940661,,,,,,,48.8905,,,,
366,K01251,,,0.6113263714210823,,,,,,,191.174,,,,
367,K01255,,,0.602,,,,,,,18.7122,,,,
368,K01256,,0.591,,,,,,,16.6164,,,,,
369,K01258,,,0.6220392282002741,,,,,,,24.8174,,,,
370,K01259,,,0.5993084932723909,,,,,,,37.7311,,,,
371,K01262,,,0.6117485536161985,,,,,,,24.8816,,,,
372,K01265,,,0.6225381591968691,,,,,,,97.52279999999999,,,,
373,K01266,,,0.6177335860258499,0.606,,,,,,88.76729999999999,3.1063,,,
374,K01271,,,0.6124030238087154,,,,,,,56.0701,,,,
375,K01273,,,0.5973533623739004,,,,0.5671332247774913,,,110.685,,,,7.6771
376,K01278,,,,0.569,,,,,,,16.4518,,,
377,K01283,,,0.5813039175833531,,,,,,,22.8294,,,,
378,K01286,,,0.5602163594549958,,,,,,,32.4199,,,,
379,K01295,,,0.6467819450458661,,,,,,,36.4127,,,,
380,K01297,,,0.6263046626349267,,,,,,,66.8817,,,,
381,K01301,,,0.5964764574167664,,,,,,,57.4557,,,,
382,K01302,,,0.605933882672079,,,,,,,41.608900000000006,,,,
383,K01303,,,0.5850695631737092,,,,,,,55.8726,,,,
384,K01304,,,0.679,,,,,,,11.7285,,,,
385,K01322,,,0.5852936270504724,,,,,,,48.962,,,,
386,K01354,,,0.6247348017120261,,,,,,,10.7369,,,,
387,K01356,,,0.5927879403542264,,,,,,,43.40389999999999,,,,
388,K01358,,,0.5814960415025394,,,,,,,144.97510000000003,,,,
389,K01409,,,0.6551442110102327,,,,,,,82.1836,,,,
390,K01419,,,0.6202920175931202,,,,,,,59.72779999999999,,,,
391,K01423,,,0.6047405066262179,,,,,,,39.901700000000005,,,,
392,K01424,,,0.5591080766898889,,,,,,,29.9818,,,,
393,K01425,,,0.5644823061405466,,,,,,,46.1443,,,,
394,K01426,,,0.6213118526184274,,,,,,,141.8005,,,,
395,K01428,,,0.56,,,,,,,6.2875,,,,
396,K01431,,,0.544,,,,,,,17.3292,,,,
397,K01432,,,0.598,,,,,,,20.1683,,,,
398,K01433,,,0.5828333628193465,,,,,,,49.5518,,,,
399,K01434,,,0.6059921782671495,,,,,,,13.013300000000001,,,,
400,K01443,,,0.6334352776627165,,,,,,,60.0404,,,,
401,K01444,,,0.595,,,,,,,17.4575,,,,
402,K01447,,,0.655,,,,,,,3.8797,,,,
403,K01448,,,0.6065007148170589,,,,0.6372021076560255,,,120.09989999999999,,,,20.989
404,K01455,,,0.6490574767258231,,,,,,,4.8248,,,,
405,K01458,,,0.636,,,,,,,2.6525,,,,
406,K01462,,,0.5850311994679653,,,,,,,152.1394,,,,
407,K01463,,,0.5977157331513971,,,,,,,28.5362,,,,
408,K01464,,,0.5830867097106074,,,,,,,30.3264,,,,
409,K01465,,,0.6327011330210488,,,,,,,15.8984,,,,
410,K01466,,,0.628,,,,,,,18.7586,,,,
411,K01468,,,0.6217187571593304,,,,,,,22.2008,,,,
412,K01470,,,0.5925280344283511,,,,,,,57.0917,,,,
413,K01473,,,0.64,,,,,,,9.0586,,,,
414,K01474,,,0.639,,,,,,,7.505,,,,
415,K01476,,,0.6260388610994111,,,,,,,44.266999999999996,,,,
416,K01477,,,0.5950000000000001,,,,,,,18.7586,,,,
417,K01478,,,0.6926481783616316,,,,,,,14.211300000000001,,,,
418,K01480,,,0.5908932539996311,,,,,,,24.124000000000002,,,,
419,K01482,,,0.546,,,,,,,6.7065,,,,
420,K01483,,,0.5620000000000002,,,,,,,4.5485,,,,
421,K01485,,,0.603,,,,,,,3.2337,,,,
422,K01486,,,0.608,,,,,,,4.9663,,,,
423,K01488,,,0.5933737019534197,,,,,,,23.997899999999998,,,,
