,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Baculoviridae,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Baculoviridae,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_countsUnclassified
64,K00334,,,0.6336870049613673,,,,,,,44.3051,,,,
65,K00338,,,0.66265908085526,,,,,,,124.55619999999999,,,,
66,K00339,,,0.6258120775712207,,,,0.669,,,22.794,,,,4.4416
67,K00340,,,0.5931255659696951,,,,,,,78.02449999999999,,,,
68,K00341,,,0.545,,,,,,,8.499,,,,
69,K00344,,,0.5991955662289213,,,,,,,90.9559,,,,
70,K00363,,,0.652010483489827,,,,,,,6.0495,,,,
71,K00365,,,0.595,,,,,,,9.4096,,,,
72,K00374,,,0.645,,,,,,,3.9196,,,,
73,K00376,,,0.61,,,,,,,5.8621,,,,
74,K00384,,,0.6679999999999999,,,,,,,10.2689,,,,
75,K00386,,,0.5920000000000001,,,,,,,8.9483,,,,
76,K00389,,,0.6559412016913867,,,,,,,33.3015,,,,
77,K00390,,,0.6658365647236869,,,,,,,86.21619999999999,,,,
78,K00395,,,0.7065891895117525,,,,,,,7.6644000000000005,,,,
79,K00406,,,0.6105774851101038,,,,,,,20.3944,,,,
80,K00407,,,0.6042437608793007,,,,,,,14.4363,,,,
81,K00411,,,0.640862181053051,,,,,,,46.891600000000004,,,,
82,K00412,,,0.6073373285547381,,,0.3091898082185065,,,,39.3174,,,28.953100000000003,
83,K00413,,,0.6272032835117651,,,,,,,36.5098,,,,
84,K00425,,,0.6334649523997418,,,,,,,334.2024,,,,
85,K00426,,,0.6406325702509259,,,,0.526,,,186.92960000000002,,,,1.8678
86,K00428,,,0.6005871879135376,,,,,,,49.61310000000001,,,,
87,K00432,,,0.5839969200236002,,,,,,,64.9132,,,,
88,K00433,,,0.6258060912417178,,,,,,,68.569,,,,
89,K00446,,,0.6586650696220271,,,,,,,49.376200000000004,,,,
90,K00448,,,0.6423363703547577,,,,,,,18.6796,,,,
91,K00449,,,0.6504292246784367,,,,,,,64.8066,,,,
92,K00450,,,0.6910802323762246,,,,,,,19.898799999999998,,,,
93,K00451,,,0.6492329020813696,,,,,,,156.89609999999996,,,,
94,K00453,,,0.6119474460798286,,,,,,,70.50630000000001,,,,
95,K00456,,,0.5368444555931793,,,,,,,15.4662,,,,
96,K00457,,,0.6264864950167425,,,,,,,130.8293,,,,
97,K00459,,,0.6874281474437267,,,,,,,158.81650000000005,,,,
98,K00469,,,0.504,,,,,,,2.8872,,,,
99,K00496,,,0.6603547932251127,,,,,,,23.1042,,,,
100,K00507,,,0.6247269923399704,,,,,,,160.1993,,,,
101,K00518,,,0.6442633289777412,,,,,,,43.125600000000006,,,,
102,K00525,,,0.6278114043416431,,,,,,,71.8526,,,,
103,K00526,,,0.5900000000000001,,,,,,,15.2883,,,,
104,K00528,,,0.5954671707404157,,,,,,,18.2277,,,,
105,K00537,,,0.615413577800219,,,,,,,29.002299999999998,,,,
106,K00540,,,0.6359658510876387,,,,0.624,,,103.8465,,,,10.3346
107,K00544,,,0.578,,,,,,,2.0626,,,,
108,K00545,,,0.6759999999999999,,,,,,,3.038,,,,
109,K00548,,,0.6656826596951245,,,,,,,48.789500000000004,,,,
110,K00549,,,0.6494372164921974,,,0.675,0.6763352481781424,,,410.94849999999997,,,3.747,6.614
111,K00554,,,0.6901940683732865,,,,,,,66.12819999999999,,,,
112,K00558,,,0.7110000000000001,,,,,,,6.6896,,,,
113,K00560,,,0.598129989316916,,,,,,,59.814400000000006,,,,
114,K00563,,,0.745,,,,,,,5.0311,,,,
115,K00566,,,0.622,,,,,,,4.295,,,,
116,K00567,,,0.7026189660300635,,,,,,,21.372500000000002,,,,
117,K00569,,,0.593,,,,,,,3.3411,,,,
118,K00570,,,0.6354260760485028,,,,,,,71.4452,,,,
119,K00573,,,0.6561617657026348,,,,,,,154.26260000000002,,,,
120,K00574,,,0.6230220709798676,,,,,,,198.60590000000002,,,,
121,K00588,,,0.6606580177855248,,,,,,,31.771,,,,
122,K00596,,,0.6779999999999999,,,,,,,6.1983,,,,
123,K00598,,,0.6701130846377568,,,,,,,20.0671,,,,
124,K00600,,,0.651075200288244,,,,,,,204.024,,,,
125,K00602,,,0.6575985155931103,,,,,,,163.6512,,,,
126,K00605,,,0.672,,,,,,,13.6471,,,,
127,K00606,,,0.6552325113117137,,,,,,,101.74300000000001,,,,
128,K00609,,,0.6830273471253507,,,,,,,39.2029,,,,
129,K00611,,,0.639,,,,,,,34.3916,,,,
130,K00612,,,0.5918406788885416,,,,,,,16.7896,,,,
131,K00613,,,0.6134686875942276,,,,,,,10.738,,,,
132,K00615,,,0.6555050679905136,,,,,,,70.0656,,,,
133,K00616,,,0.5334806388841218,,,,,,,10.7925,,,,
134,K00619,,,0.6824996016682061,,,,,,,13.7349,,,,
135,K00620,,,0.6511077874203803,,,,,,,33.605199999999996,,,,
136,K00626,,,0.6544189172424417,,,,,,,186.00029999999998,,,,
137,K00631,,,0.701,,,,,,,9.9954,,,,
138,K00635,,,0.6764324326872554,,,,,,,276.10230000000007,,,,
139,K00640,,,0.6338855930783681,,,,,,,77.8469,,,,
140,K00641,,,0.6474441028924924,,,,,,,199.90200000000002,,,,
141,K00648,,,0.6832829312034017,,,,,,,23.8004,,,,
142,K00651,,,0.623,,,,,,,9.7314,,,,
143,K00655,,,0.6514357356317454,,,,,,,90.4889,,,,
144,K00657,,,0.6513395544513694,,,,,,,22.7289,,,,
145,K00661,,,0.6614281082026225,,,,,,,26.8156,,,,
146,K00662,,,0.563,,,,,,,5.4953,,,,
147,K00663,,,0.6335458468439308,,,,,,,22.5106,,,,
148,K00673,,,0.637,,,,,,,5.9037,,,,
149,K00674,,,0.6635085624842259,,,,,,,64.8818,,,,
150,K00677,,,0.6135258542861342,,,,,,,43.7207,,,,
151,K00682,,,0.6316197289939742,,,,,,,9.8513,,,,
152,K00683,,,0.5709588225073586,,,,,,,11.414,,,,
153,K00684,,,0.6566281895440186,,,,,,,36.1958,,,,
154,K00688,,,0.641965797646183,,,,,,,199.3296,,,,
155,K00694,,,0.5556975982328894,,,,,,,6.0451999999999995,,,,
156,K00700,,,0.640000575461362,,,,,,,95.97269999999999,,,,
157,K00703,,,0.6048021828100711,,,,,,,85.46509999999999,,,,
158,K00705,,,0.6241518896621275,,,,,,,6.8077000000000005,,,,
159,K00720,,,0.5898400284190073,,,,,,,31.7803,,,,
160,K00721,,,0.611,,,,,,,2.0058,,,,
161,K00728,,,0.6304688880200154,,,,,,,14.535300000000001,,,,
162,K00729,,,0.6036338280008845,,,,,,,6.979,,,,
163,K00748,,,0.6262311387183406,,,,,,,25.918,,,,
164,K00759,,,0.6223808640237168,,,,,,,39.9044,,,,
165,K00760,,,0.6252993226102619,,,,,,,54.2627,,,,
166,K00762,,,0.6662468457697143,,,,,,,33.3107,,,,
167,K00763,,0.74,0.7203522394555703,,,,,,4.9688,49.3621,,,,
168,K00764,,,0.6609599236882433,,,,,,,191.8114,,,,
169,K00765,,,0.6749566644079761,,,,,,,26.0475,,,,
170,K00766,,,0.6792050236318602,,,,,,,75.01579999999998,,,,
171,K00767,,,0.647,,,,,,,9.5966,,,,
172,K00768,,,0.6910552346657872,,,,0.732,,,55.4004,,,,2.6054
173,K00769,,,0.651356031622822,,,,,,,14.697700000000001,,,,
174,K00772,,,0.657,,,,,,,16.9769,,,,
175,K00773,,,0.6294803000270053,,,,,,,25.576700000000002,,,,
176,K00782,,,0.713,,,,,,,3.3364,,,,
177,K00783,,,0.6381183750262096,,,,,,,65.2907,,,,
178,K00784,,,0.6684883553172993,,,,,,,50.717600000000004,,,,
179,K00788,,,0.7148346137706738,,,,,,,12.3656,,,,
180,K00789,,,0.6491743406425221,,,,,,,378.0645999999999,,,,
181,K00790,,,0.6569676444832987,,,,,,,115.7159,,,,
182,K00791,,,0.6816053716094932,,,,,,,34.972500000000004,,,,
183,K00793,,,0.6590951788992069,,,,,,,93.44539999999999,,,,
184,K00794,,,0.6726182766965415,,,,,,,78.71249999999999,,,,
185,K00796,,,0.715172873745566,,,,,,,26.547200000000004,,,,
186,K00797,,,0.6244241622470508,,,,0.664,,,25.5883,,,,3.2198
187,K00798,,,0.6770461907890226,,,,,,,69.0762,,,,
188,K00799,,,0.6258107648984812,,,,,,,378.78889999999996,,,,
189,K00800,,,0.7130774333512458,,,,,,,45.833099999999995,,,,
190,K00801,,,0.6409999999999999,,,,,,,3.3987,,,,
191,K00803,,,0.612,,,,,,,10.2238,,,,
192,K00820,,,0.6375123006354154,,,,,,,156.71349999999998,,,,
193,K00821,,,0.622,,,,,,,12.3653,,,,
194,K00824,,,0.642,,,,,,,10.975,,,,
195,K00826,,,0.6538657798841835,,,,,,,57.7775,,,,
196,K00830,,,0.556,,,,,,,7.1418,,,,
197,K00831,,,0.6198971469547421,,,,,,,26.450599999999998,,,,
198,K00847,,,0.628,,,,,,,6.3147,,,,
199,K00848,,,0.7340000000000001,,,,,,,7.5121,,,,
200,K00851,,,0.645143653324792,,,,,,,55.3659,,,,
201,K00855,,,0.5827696606436303,,,,,,,15.254000000000001,,,,
202,K00857,,,0.5624994904409832,,,,,,,19.9206,,,,
203,K00858,,,0.6579690830350148,,,,0.637,,,148.0255,,,,2.4557
204,K00859,,,0.6482275802576992,,,,,,,76.99990000000001,,,,
205,K00865,,,0.7236402873692844,,,,,,,52.23100000000001,,,,
206,K00867,,,0.6179610261605903,,,,,,,37.6294,,,,
207,K00868,,,0.639,,,,,,,3.8427,,,,
208,K00872,,,0.7148458511024446,,,,,,,7.7463999999999995,,,,
209,K00873,,,0.6568785463209069,,,,,,,264.5405999999999,,,,
210,K00876,,,0.625,,,,,,,4.8986,,,,
211,K00883,,,0.6114557703797243,,,,,,,20.514899999999997,,,,
212,K00886,,,0.6744397219305897,,,,,,,31.4992,,,,
213,K00891,,,0.6863123676349576,,,,,,,26.200899999999997,,,,
214,K00899,,,0.591068189642989,,,,,,,16.288800000000002,,,,
215,K00912,,,0.6426662133669323,,,,,,,45.885500000000015,,,,
216,K00919,,,0.632252645977445,,,,,,,34.0736,,,,
217,K00925,,,0.6670665150331702,,,,,,,73.9768,,,,
218,K00926,,,0.6965392312711441,,,,,,,14.2893,,,,
219,K00927,,,0.6598972849173018,,,,,,,137.3277,,,,
220,K00930,,,0.6522851398957922,,,,,,,24.6483,,,,
221,K00931,,,0.5670000000000001,,,,,,,5.3246,,,,
222,K00936,,,0.6185406313141685,,,,,,,104.06049999999999,,,,
223,K00937,,,0.6578702242277008,,,,,,,63.74909999999999,,,,
224,K00939,,,0.66243510244795,,,,,,,31.210300000000004,,,,
225,K00940,,,0.6171970548283399,,,,,,,30.164,,,,
226,K00942,,,0.6268371240926167,,,,,,,32.7176,,,,
227,K00943,,,0.7026062387377711,,,,,,,39.1455,,,,
228,K00945,,,0.641026851870432,,,,0.7659999999999999,,,100.21870000000001,,,,3.6818
229,K00946,,,0.6735881101276534,,,,,,,28.846,,,,
230,K00948,,,0.6435932995088756,,,,,,,325.7050999999999,,,,
231,K00950,,,0.668090983121109,,,,,,,46.8283,,,,
232,K00954,,,0.6218335502524994,,,,,,,89.7234,,,,
233,K00957,,,0.6547162245739779,,,,,,,140.3179,,,,
234,K00958,,,0.660059151392223,,,,,,,16.5495,,,,
235,K00962,,,0.601,,,,,,,11.0974,,,,
236,K00963,,,0.6442932519285386,,,0.516,,,,39.647200000000005,,,2.5897,
237,K00969,,,0.6357963700604193,,,,0.6579999999999999,,,51.7629,,,,2.2949
238,K00971,,,0.6203015872919712,,,,,,,66.43610000000001,,,,
239,K00973,,,0.5791080086259052,,,,,,,21.0993,,,,
240,K00975,,,0.6276437520318019,,,,,,,65.80160000000001,,,,
241,K00978,,,0.5823925084335273,,,,,,,20.2886,,,,
242,K00979,,,0.6497904151071152,,,,,,,13.2028,,,,
243,K00981,,,0.6657538254742859,,,,,,,70.72829999999999,,,,
244,K00982,,,0.7163029717849241,,,,,,,40.4933,,,,
245,K00986,,,0.5936285592861287,,,0.324,,,,1548.1570000000002,,,4.4299,
246,K00989,,,0.672782565670854,,,,,,,37.957,,,,
247,K00990,,,0.663862950552433,,,,,,,80.57260000000001,,,,
248,K00992,,,0.67,,,,,,,15.1824,,,,
249,K00995,,,0.6539549263694882,,,,,,,8.551300000000001,,,,
250,K00997,,,0.6319635653138003,,,,,,,26.3055,,,,
251,K01000,,,0.6630600596156211,,,,,,,33.122,,,,
252,K01004,,,0.6534280191805039,,,,,,,14.7016,,,,
253,K01005,,,0.6630412626673465,,,,,,,164.00689999999997,,,,
254,K01006,,,0.557856996668134,,,,,,,12.9177,,,,
255,K01008,,,0.6430785905454929,,,,,,,31.528,,,,
256,K01009,,,0.691,,,,,,,4.032,,,,
257,K01011,,,0.6729999999999999,,,,,,,12.8131,,,,
258,K01012,,,0.6655216624838151,,,,,,,67.3983,,,,
259,K01023,,,0.536,,,,,,,4.0467,,,,
260,K01026,,,0.635,,,,,,,8.1781,,,,
261,K01034,,,0.627,,,,,,,4.1559,,,,
262,K01035,,,0.635,,,,,,,4.1559,,,,
263,K01039,,,0.7138858507825652,,,,,,,48.501,,,,
264,K01040,,,0.6924910112546068,,,,,,,12.8432,,,,
265,K01042,,,0.7197078837868469,,,,,,,20.7746,,,,
266,K01046,,,0.6489062179248565,,,,,,,27.061299999999996,,,,
267,K01048,,,0.669,,,,,,,19.4573,,,,
268,K01051,,,0.653,,,,,,,2.0851,,,,
269,K01053,,,0.6339397542624645,,,,,,,53.2465,,,,
270,K01055,,,0.6301669534059315,,,,,,,27.418599999999998,,,,
271,K01056,,,0.637264445176272,,,,,,,81.22840000000001,,,,
272,K01057,,,0.6545226046587387,,,,,,,46.1397,,,,
273,K01060,,,0.7240000000000001,,,,,,,7.6422,,,,
274,K01061,,0.584,0.6488200880098086,,,,,,4.5592,173.76979999999998,,,,
275,K01066,,,0.7040000000000001,,,,,,,4.7749,,,,
276,K01069,,,0.6530593031376737,,,,,,,47.342999999999996,,,,
277,K01070,,,0.624077793290788,,,,,,,35.38719999999999,,,,
278,K01079,,,0.6811728954976692,,,,,,,25.7444,,,,
279,K01082,,,0.677,,,,,,,9.4571,,,,
280,K01091,,,0.6192175587877928,,,,,,,33.3248,,,,
281,K01092,,,0.6779999999999999,,,,,,,18.9666,,,,
282,K01095,,,0.5822759767095681,,,,,,,20.0066,,,,
283,K01104,,,0.6463419326984711,,,,0.736,,,43.9537,,,,6.1723
284,K01113,,,0.6210398238954289,,,,,,,63.4344,,,,
285,K01114,,,0.6620308593019623,,,,,,,76.44620000000002,,,,
286,K01115,,,0.627,,,,,,,6.4631,,,,
287,K01118,,,0.592190015811653,,,,,,,81.1165,,,,
288,K01126,,,0.593,,,,,,,2.8892,,,,
289,K01129,,,0.6297525046285916,,,,,,,70.40499999999999,,,,
290,K01142,,,0.6126271363592454,,,,,,,27.1965,,,,
291,K01151,,,0.6296696005528458,,,,,,,46.420100000000005,,,,
292,K01159,,,0.6535074438111292,,,,,,,121.39790000000002,,,,
293,K01166,,,0.6609999999999999,,,,,,,8.1594,,,,
294,K01167,,,0.58,,,,,,,3.5093,,,,
295,K01173,,,0.6291031212033652,,,,,,,3.6713,,,,
296,K01174,,,0.6091569354493988,,,,,,,11.027299999999999,,,,
297,K01178,,,0.6323769576067564,,,,,,,20.1951,,,,
298,K01179,,,0.7090000000000001,,,,,,,4.4476,,,,
299,K01181,,,0.629195991428507,,,0.574,,,,30.5446,,,2.9056,
300,K01185,,,0.6396437016058275,,0.61,,,,,12.1981,,3.9568,,
301,K01194,,,0.544,,,,,,,5.8549,,,,
302,K01206,,,0.5916035508743751,,,0.6890000000000001,,,,89.05860000000001,,,2.9915,
303,K01207,,,0.5908608062893733,,,,,,,14.3108,,,,
304,K01209,,,0.6506830661473467,,,,,,,84.19419999999998,,,,
305,K01218,,,0.6779999999999999,,,,,,,2.4553,,,,
306,K01224,,,0.66,,,,,,,4.2817,,,,
307,K01233,,,0.682,,,,,,,3.2726,,,,
308,K01235,,,0.59,,,,,,,3.4854,,,,
309,K01236,,,0.624,,,,,,,8.6123,,,,
310,K01239,,,0.6411950255979523,,,,0.6970000000000001,,,53.84179999999999,,,,1.9333
311,K01241,,,0.629471641709594,,,,,,,47.7538,,,,
312,K01246,,,0.6143051754045292,,,,,,,89.8329,,,,
313,K01247,,,0.6501245327435337,,,,,,,40.8388,,,,
314,K01251,,,0.6241789926882801,,,,,,,274.114,,,,
315,K01259,,,0.6526542939109226,,,,,,,35.2235,,,,
316,K01265,,,0.6732062451882476,,,,,,,123.3175,,,,
317,K01266,,,0.6499167983807468,,,,0.711,,,25.938299999999998,,,,3.1704
318,K01273,,,0.6433809931534226,,,,,,,85.82849999999999,,,,
319,K01283,,,0.5504143897417731,,,,,,,19.5529,,,,
320,K01286,,,0.6304847588783123,,,,,,,12.637599999999999,,,,
321,K01295,,,0.631591548851108,,,,,,,20.874799999999997,,,,
322,K01297,,,0.6510977612562471,,,,,,,53.4848,,,,
323,K01299,,,0.617,,,,,,,2.5455,,,,
324,K01303,,,0.5450829827475104,,,,,,,13.542200000000001,,,,
325,K01304,,,0.6553267493254965,,,,,,,16.087999999999997,,,,
326,K01356,,,0.6613132167409919,,,,,,,61.21579999999999,,,,
327,K01358,,,0.6346553673639558,,,,,,,418.3442,,,,
328,K01372,,,0.642,,,,,,,7.102,,,,
329,K01406,,,0.6296736862387482,,,,,,,43.3568,,,,
330,K01409,,,0.6843235675869899,,,,,,,83.9499,,,,
331,K01419,,,0.6462688521257207,,,,,,,52.84290000000001,,,,
332,K01423,,,0.5652275337964309,,,,,,,7.1337,,,,
333,K01424,,,0.6204173551400508,,,,,,,16.148,,,,
334,K01425,,,0.654443640096763,,,,,,,57.5191,,,,
335,K01426,,,0.6454900325471083,,,,,,,94.42319999999998,,,,
336,K01429,,,0.624502096863386,,,,,,,35.8417,,,,
337,K01430,,,0.6089672779340349,,,,,,,10.8376,,,,
338,K01432,,,0.6251892598983227,,,,,,,33.5103,,,,
339,K01433,,,0.6188477443279606,,,,,,,39.14149999999999,,,,
340,K01443,,,0.6522397617576992,,,,,,,41.9263,,,,
341,K01447,,,0.6288588299980684,,,,,,,22.1974,,,,
342,K01448,,,0.6408739477043538,,,,0.69,,,128.5474,,,,7.6153
343,K01455,,,0.6161108544132469,,,,,,,74.4207,,,,
344,K01457,,,0.672,,,,,,,19.328,,,,
345,K01458,,,0.6398930695561643,,,,,,,24.8117,,,,
346,K01462,,,0.6152551746322772,,,,,,,124.6242,,,,
347,K01463,,,0.6927206558696655,,,,,,,12.1866,,,,
348,K01464,,,0.647,,,,,,,11.7738,,,,
349,K01466,,,0.585,,,,,,,2.9895,,,,
350,K01468,,,0.635,,,,,,,4.8038,,,,
351,K01470,,,0.6468059571102696,,,,,,,58.39050000000001,,,,
352,K01476,,,0.5780721147974619,,,,,,,6.5852,,,,
353,K01477,,,0.641256299186658,,,,,,,23.190099999999997,,,,
354,K01478,,,0.6665279798459308,,,,,,,31.951999999999998,,,,
355,K01480,,,0.6865086157087774,,,,,,,27.3108,,,,
356,K01483,,,0.68,,,,,,,1.9242,,,,
357,K01485,,,0.6607005293594977,,,,,,,35.3284,,,,
358,K01488,,,0.5589999999999999,,,,,,,5.9579,,,,
359,K01489,,,0.6790340442535691,,,,,,,43.024100000000004,,,,
360,K01493,,,0.6779999999999999,,,,,,,2.984,,,,
361,K01494,,,0.6386337880559644,,,,,,,105.70939999999999,,,,
362,K01495,,,0.6275819415371775,,,,,,,100.68670000000002,,,,
363,K01496,,,0.6627568130533956,,,,,,,33.6542,,,,
364,K01497,,,0.6586316126671331,,,,,,,105.2444,,,,
365,K01506,,,0.643,,,,,,,6.5043,,,,
366,K01507,,,0.6095827072336555,,,0.435,,,,134.79039999999998,,,2.1212,
367,K01512,,,0.6685548184986437,,,,,,,31.909500000000005,,,,
368,K01515,,,0.5474248322191277,,,,,,,8.1242,,,,
369,K01520,,,0.649308052523375,0.436,,0.45510090653096186,0.443,,,48.814299999999996,8.1474,,17.930600000000002,7.3944
370,K01521,,,,,,,0.4956880768723852,,,,,,,6.039199999999999
371,K01523,,,0.6415382496708183,,,,,,,19.5682,,,,
372,K01524,,,0.6645914694059669,,,,,,,51.7997,,,,
373,K01545,,,0.6079538020191186,,,,0.5549149750683011,,,27.111499999999996,,,,15.4766
374,K01546,,,0.6220148255225983,,,,,,,134.5075,,,,
375,K01547,,,0.5972920979563617,,,,,,,41.5584,,,,
376,K01548,,,0.6327756404822258,,,,,,,115.07950000000002,,,,
377,K01551,,,0.6722176451875405,,,,,,,46.853699999999996,,,,
378,K01554,,,0.672,,,,,,,3.8234,,,,
379,K01555,,,0.6626875017235814,,,,,,,45.7519,,,,
380,K01556,,,0.6364656034769124,,,,,,,26.533699999999996,,,,
381,K01560,,,0.6325006839420169,,,,,,,15.8661,,,,
382,K01561,,,0.6043183495087128,,,,,,,12.3056,,,,
383,K01569,,,0.5952262904757503,,,,,,,110.15899999999999,,,,
384,K01574,,,0.6066595998437111,,,,,,,61.0318,,,,
385,K01579,,,0.6691004205307298,,,,,,,22.473200000000002,,,,
386,K01588,,,0.6404984040290634,,,,,,,68.71520000000001,,,,
387,K01589,,,0.6021066296679217,,,,,,,9.8026,,,,
388,K01591,,,0.5967974658861906,,,,,,,20.7654,,,,
389,K01595,,,0.6660883173580767,,,,,,,276.487,,,,
390,K01596,,,0.6838178759135465,,,,,,,9.8482,,,,
391,K01599,,,0.6345686855441228,,,,,,,24.9878,,,,
392,K01602,,,0.62580774081612,,,,,,,25.3702,,,,
393,K01607,,,0.6407562606520956,,,,0.6809999999999999,,,295.654,,,,8.0512
394,K01610,,,0.6506169596971751,,,,,,,135.9134,,,,
395,K01611,,,0.6459999999999999,,,,,,,7.685,,,,
396,K01613,,,0.6231383468319351,,,,,,,54.4255,,,,
397,K01619,,,0.6586709359170347,,,,,,,79.02739999999999,,,,
398,K01620,,,0.6509571503146473,,,,,,,106.00860000000003,,,,
399,K01621,,,0.6257980544841624,,,,,,,189.23110000000003,,,,
400,K01622,,,0.632,,,,,,,1.8753,,,,
401,K01623,,,0.6440448103033198,,,,0.758,,,86.09250000000002,,,,5.8454
402,K01624,,,0.6524110574655316,,,,,,,93.222,,,,
403,K01625,,,0.602,,,,,,,3.0838,,,,
404,K01626,,,0.6802980808649055,,,,,,,203.35229999999996,,,,
405,K01627,,,0.6526966800156613,,,,,,,68.5966,,,,
406,K01628,,,0.608,,,,,,,9.339,,,,
407,K01633,,,0.6767076573056344,,,0.6970000000000001,,,,11.4154,,,5.3753,
408,K01635,,,0.6008181296379789,,,,,,,11.055100000000001,,,,
409,K01637,,,0.6529720346384582,,,,,,,129.02970000000002,,,,
410,K01638,,,0.6701465901842837,,,,,,,106.38980000000001,,,,
411,K01640,,,0.6519950336761868,,,,,,,45.57430000000001,,,,
412,K01644,,,0.6654271971272722,,,,,,,58.6104,,,,
413,K01649,,,0.6,,,,,,,3.6296,,,,
414,K01653,,,0.6409240814819523,,,,,,,173.36929999999995,,,,
415,K01658,,,0.735,,,,,,,3.9983,,,,
416,K01662,,,0.738,,,,,,,8.776,,,,
417,K01666,,,0.6968400079879783,,,,,,,12.782399999999999,,,,
418,K01673,,,0.6247492014130507,,,,,,,190.07410000000002,,,,
