,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adj Monodnaviria,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_counts Monodnaviria,gene_countsUnclassified
65,K00231,,,0.6759872796044979,,,,,,18.293799999999997,,,
66,K00232,,,0.71182420723391,,,,,,35.3793,,,
67,K00239,,0.555,,,,,,12.6935,,,,
68,K00240,,0.522,0.6624152202231579,,,,,12.6935,153.73610000000005,,,
69,K00241,,0.556,0.6574301220637228,,,,,12.6935,73.3698,,,
70,K00242,,,0.6734898293183761,,,,,,41.087300000000006,,,
71,K00246,,,0.606,,,,,,4.5226,,,
72,K00247,,,0.595,,,,,,2.2233,,,
73,K00249,,,0.6904068306040376,,,,,,116.9323,,,
74,K00254,,0.521,0.7161549488360253,,,,,12.1198,8.0167,,,
75,K00259,,,0.6999865871766705,,,,,,67.4668,,,
76,K00261,,0.541,,,,,,13.1283,,,,
77,K00266,,0.458,,,,,,13.0768,,,,
78,K00273,,,0.657,,,,,,3.0539,,,
79,K00274,,,0.7510641484709643,,,,,,22.5554,,,
80,K00275,,0.397,0.71705002326392,0.728,,,,13.0559,171.3527,4.1347,,
81,K00279,,,0.7320391178554756,,,,,,14.847199999999999,,,
82,K00282,,,0.691,,,,,,12.2477,,,
83,K00283,,,0.6729999999999999,,,,,,18.9278,,,
84,K00286,,,0.7048969560829182,,,0.732600678059487,,,175.86150000000004,,,13.8733
85,K00287,,,0.6809999999999999,,,,,,5.3004,,,
86,K00297,,,0.6999191367910066,,,,,,105.42470000000002,,,
87,K00299,,,0.738,,,,,,5.8502,,,
88,K00301,,,0.77,,,,,,11.4004,,,
89,K00303,,,0.7564394720267305,,,,,,33.8049,,,
90,K00304,,,0.6799120090312014,,,,,,18.614800000000002,,,
91,K00305,,,0.7439205956591214,,,,,,17.7955,,,
92,K00311,,,0.7039348923901654,0.6920000000000001,,,,,14.6334,6.8695,,
93,K00313,,0.542,,,,,,11.8476,,,,
94,K00320,,0.5752153184364811,0.6728046837142715,,,,,19.6015,62.0585,,,
95,K00324,,,0.6776738781755356,,,,,,14.1329,,,
96,K00330,,,0.627828996303133,0.197,,,,,187.38539999999998,2.8924,,
97,K00331,,,0.6752121104397447,,,,,,39.2242,,,
98,K00332,,,0.6631714649004788,,,,,,61.2438,,,
99,K00334,,,0.6687964724392848,,,,,,40.8748,,,
100,K00337,,,0.6468623593894377,,,,,,19.0216,,,
101,K00338,,,0.6723384869262018,,,,,,156.0604,,,
102,K00339,,,0.6887767465183892,,,0.7220187566972154,,,93.6627,,,46.2054
103,K00340,,0.541,0.6530739937622895,,,,,13.1543,153.473,,,
104,K00341,,0.562,,,,,,13.1543,,,,
105,K00343,,0.562,0.6934600514922805,,,,,13.1543,55.26649999999999,,,
106,K00344,,0.5504115591241081,0.7135030908364398,,,,,24.2496,42.2011,,,
107,K00363,,,0.6880220247271924,,,,,,16.7521,,,
108,K00368,,0.4927130011117682,,,,,,40.8108,,,,
109,K00371,,,0.6627643234282011,,,,,,22.3047,,,
110,K00373,,,0.7358834563620532,,,,,,16.7556,,,
111,K00375,,,0.7589833586210655,,,,,,33.9675,,,
112,K00382,,,0.6796211455445649,,,,,,19.9602,,,
113,K00384,,0.551,0.7074025972223882,,,,,12.1937,55.044200000000004,,,
114,K00389,,,0.7183049090400365,,,0.7184841386041972,,,79.7166,,,11.757200000000001
115,K00390,,0.4736596769393905,0.6973546594567925,,,,,21.099199999999996,157.4963,,,
116,K00394,,,0.603,,,,,,4.7291,,,
117,K00395,,,0.5908127626882196,,,,,,18.03,,,
118,K00411,,,0.6484183462235888,,,,,,12.7381,,,
119,K00412,,,0.6196096760223461,,,,,,28.646500000000003,,,
120,K00413,,,0.6721735698505327,,,,,,15.3073,,,
121,K00425,,,0.6770134762215326,,,,,,357.8054,,,
122,K00426,,,0.7112797805046761,,,0.7040000000000001,,,224.97289999999992,,,4.006
123,K00428,,,0.6167226720087169,,,,,,67.7533,,,
124,K00432,,,0.6421310956734266,,,,,,37.353,,,
125,K00433,,,0.6416114304460462,,,,,,84.6622,,,
126,K00441,,,0.7111447110824819,,,,,,46.980199999999996,,,
127,K00446,,,0.6564273419309309,,,,,,27.0159,,,
128,K00448,,,0.7022247199921404,,,,,,39.7562,,,
129,K00449,,,0.7202394959641885,,,,,,71.3733,,,
130,K00450,,,0.6529353285554332,,,,,,49.8909,,,
131,K00451,,,0.6747465127267827,,,,,,290.03509999999994,,,
132,K00452,,,0.5444114655033703,,,,,,4.9756,,,
133,K00453,,,0.6808590742107067,,,,,,190.27679999999998,,,
134,K00457,,,0.6879008248283717,,,,,,317.0142000000001,,,
135,K00459,,,0.7036555939114254,,,,,,200.395,,,
136,K00481,,,0.718223387963859,,,,,,38.5492,,,
137,K00483,,,0.608,,,,,,9.2933,,,
138,K00485,,,0.6829999999999999,,,,,,4.0347,,,
139,K00500,,,0.6785682153890983,,,,,,15.1435,,,
140,K00505,,,0.442,,,,,,5.3089,,,
141,K00507,,,0.6951356823369181,,,,,,233.5859,,,
142,K00518,,,0.6445973676470926,,,,,,42.7896,,,
143,K00525,,0.5195086868163216,0.6640354794216233,,,,,33.7512,124.464,,,
144,K00528,,,0.685,,,,,,19.1343,,,
145,K00529,,,0.7140000000000001,,,,,,13.8014,,,
146,K00537,,,0.729381752752003,,,,,,15.7926,,,
147,K00540,,0.5,0.7063187241591999,,,0.7035656070570423,,11.3394,234.97230000000002,,,13.4969
148,K00544,,,0.695235935593698,,,,,,34.9715,,,
149,K00548,,0.5438319233972009,0.6675219440829477,,,,,23.6902,152.04749999999999,,,
150,K00549,,0.601,0.6702497119100491,0.729048999370589,,0.632,,12.064,1295.4136000000008,37.3761,,2.3111
151,K00554,,,0.7058298025941911,,,,,,210.35,,,
152,K00555,,0.5053237414961816,,,,,,15.934899999999999,,,,
153,K00561,,,0.7657800428132956,,,,,,16.274099999999997,,,
154,K00563,,,0.7821866299486312,,,,,,20.4577,,,
155,K00564,,,0.7334297610080043,,,,,,9.0346,,,
156,K00566,,,0.7302077649444156,,,,,,14.281099999999999,,,
157,K00567,,,0.7256322287926271,,,,,,57.2712,,,
158,K00570,,,0.6174352699587509,,,,,,31.5414,,,
159,K00571,,0.5404300067579653,0.694832096827311,,,,,24.3283,18.8275,,,
160,K00573,,,0.7141432703473923,,,,,,311.99399999999997,,,
161,K00574,,,0.7021542302687127,,,,,,170.4287,,,
162,K00577,,0.5063319166667132,,,,,,16.2919,,,,
163,K00588,,0.526,0.6949956109961316,,,,,12.3985,98.1914,,,
164,K00596,,,0.715,,,,,,9.7754,,,
165,K00598,,,0.7355759040779867,,,,,,42.720099999999995,,,
166,K00600,,0.5287436492095157,0.6934616815270894,,,,,16.5608,444.9063000000001,,,
167,K00602,0.6709999999999999,0.723,0.7030264036021507,,,,14.9281,5.0389,294.3357,,,
168,K00604,,,0.6897004637784282,,,,,,8.1898,,,
169,K00605,,,0.6676512627817274,,,,,,24.8049,,,
170,K00606,,0.5159817030795394,0.6907932108386416,,,,,17.1892,294.3619,,,
171,K00609,,0.5529999999999999,0.6952378720120495,,,,,10.9057,183.1559,,,
172,K00610,,0.506,,,,,,14.5139,,,,
173,K00611,,,0.653502797926423,,,,,,25.9594,,,
174,K00612,,,0.7493288099886983,,,,,,20.552799999999998,,,
175,K00615,,0.538984332495926,0.6936955644716339,,,,,16.7136,184.55479999999994,,,
176,K00616,,0.518,0.6731275220564691,,,,,12.9542,124.2942,,,
177,K00620,,,0.7388297119071872,,,,,,90.8271,,,
178,K00621,,0.391,,,,,,3.8675,,,,
179,K00626,,,0.7156420833713658,,,,,,440.5716,,,
180,K00635,,,0.7157750399576426,0.713,,0.7211971182676596,,,532.8239999999998,9.3293,,44.2073
181,K00640,,,0.7006850329718147,,,0.7020000000000001,,,87.3987,,,3.3269
182,K00641,,,0.6662951616371449,,,,,,121.56030000000001,,,
183,K00645,,,0.6817459234766589,,,,,,30.8201,,,
184,K00648,,,0.7147616256208612,,,,,,43.019,,,
185,K00655,,,0.7056751511507806,,,0.723,,,269.97530000000006,,,12.7881
186,K00661,,,0.725,,,,,,7.4523,,,
187,K00662,,,0.6898090296487732,,,0.5219817577386217,,,25.1515,,,13.8042
188,K00663,,,0.7118893447979342,,,,,,55.6181,,,
189,K00674,,,0.7022063126617285,,,,,,53.92819999999999,,,
190,K00675,,,0.7479999999999999,,,,,,9.4502,,,
191,K00677,,,0.6108521233513096,,,,,,25.0227,,,
192,K00682,,,0.758,,,0.731,,,13.3926,,,2.0226
193,K00683,,,0.7020000000000001,,,,,,12.0588,,,
194,K00684,,,0.7362977705489684,,,,,,49.896899999999995,,,
195,K00688,,,0.6511360745257212,,,,,,372.44529999999986,,,
196,K00694,,,0.691,,,,,,9.0661,,,
197,K00700,,,0.6831444902521457,,,,,,217.76710000000003,,,
198,K00703,,,0.6008700852732332,,,,,,30.0373,,,
199,K00705,,,0.6835685170714593,,,,,,7.5165,,,
200,K00720,,,0.6394832223761818,,,,,,11.18,,,
201,K00721,,0.5432344699068246,0.6724159209535693,,,,,20.5599,120.7474,,,
202,K00728,,,0.7020000000000001,,,,,,4.343,,,
203,K00729,,,0.7746652821553474,,,,,,23.161,,,
204,K00748,,,0.614,,,,,,10.5431,,,
205,K00759,,0.5529999999999999,0.6849625720554017,,,,,14.4484,156.8357,,,
206,K00760,,,0.669244659792309,,,,,,204.82809999999998,,,
207,K00761,,,0.7190419511449312,,,,,,51.504000000000005,,,
208,K00762,,0.563,0.7146653208010718,,,0.378,,12.9192,92.88449999999999,,,2.8926
209,K00763,,0.6667333753028113,0.6728875130330106,,,,,22.787799999999997,72.99329999999999,,,
210,K00764,,0.568,0.6906169293668313,,,,,12.0586,217.9002,,,
211,K00765,,0.525,0.6936878389226037,,,,,13.5402,104.6802,,,
212,K00766,,0.527,0.719906791553097,,,,,12.607,248.5139,,,
213,K00767,,0.546,0.6580105189015518,,,,,11.7726,13.1164,,,
214,K00768,,,0.7631287304966939,,,,,,107.30100000000002,,,
215,K00769,,,0.6805307498682326,,,,,,13.7292,,,
216,K00772,,0.5539999999999999,0.635,,,,,14.4484,5.116,,,
217,K00773,,,0.6842546217653561,,,,,,58.639399999999995,,,
218,K00782,,,0.7563615496106718,,,,,,47.316500000000005,,,
219,K00783,,,0.6763848924202518,,,,,,81.2663,,,
220,K00784,,0.5290442802653522,0.7135671633625731,,,,,15.695799999999998,177.9668,,,
221,K00788,,,0.7303058771244733,,,,,,78.5592,,,
222,K00789,,0.5374236931342692,0.6781834338203809,,,0.569,,15.6682,463.94680000000005,,,5.7951
223,K00790,,,0.7012779189174239,,,,,,187.00390000000002,,,
224,K00791,,,0.7224481367957792,,,,,,73.6632,,,
225,K00793,,0.541,0.6978027424168587,,,,,13.7422,128.2476,,,
226,K00794,,0.507,0.7224356339227463,,,,,13.7422,214.13599999999994,,,
227,K00796,,0.536,0.7457468946852454,,,,,14.303,42.921099999999996,,,
228,K00797,0.695,,0.5874600604579454,,,,8.1979,,32.063900000000004,,,
229,K00798,,0.5729958639628459,0.6817745372260686,,,0.7259264858839589,,14.7848,174.14479999999998,,,15.5143
230,K00799,,,0.645105263476136,,,,,,249.39049999999997,,,
231,K00800,,0.5479999999999999,0.7307235759134123,,,,,13.6457,120.36840000000001,,,
232,K00801,,,0.6043211098294075,,,,,,11.4895,,,
233,K00803,,,0.7219635480097174,,,,,,54.199200000000005,,,
234,K00806,,,0.7207882524547267,,,,,,27.96,,,
235,K00808,,,0.7340000000000001,,,,,,13.4081,,,
236,K00809,,0.5349631811487482,0.6139999999999999,,,,,28.7552,7.381,,,
237,K00817,,0.5242310487590308,0.6865953061697618,,,,,27.4747,43.7294,,,
238,K00820,,0.5164244801746968,0.6951341811325299,,,,,36.6246,358.89029999999997,,,
239,K00823,,,0.6729999999999999,,,,,,10.5729,,,
240,K00826,,0.5478582011177242,0.6650854806410696,,,,,24.4503,97.32419999999999,,,
241,K00831,,,0.708,,,,,,13.0562,,,
242,K00836,,,0.68,,,,,,5.3012,,,
243,K00845,,,0.7365880726610159,,,,,,87.8709,,,
244,K00847,,,0.787,,,,,,16.0585,,,
245,K00848,,,0.7332621989473819,,,,,,11.612400000000001,,,
246,K00850,,,0.7016455027349974,,,,,,24.0274,,,
247,K00851,,,0.6559091747905953,,,,,,16.3492,,,
248,K00852,,,0.732582794471492,,,,,,24.944000000000003,,,
249,K00853,,,0.7070000000000001,,,,,,8.7656,,,
250,K00855,,,0.6853721487664004,,,,,,31.1595,,,
251,K00857,,,0.7317792487511566,,,,,,6.9778,,,
252,K00858,0.708,0.5083507283901461,0.7001237045277893,,,0.6139260475498088,4.6564,27.105199999999996,278.34590000000003,,,5.7655
253,K00859,,,0.7050192186017377,,,,,,138.4869,,,
254,K00864,,,0.685,,,,,,11.0987,,,
255,K00865,,,0.760695793687883,,,0.799,,,196.5201,,,7.1233
256,K00867,,,0.6275796348934776,,,,,,39.038199999999996,,,
257,K00869,,0.539,,,,,,12.9177,,,,
258,K00872,,,0.795,,,,,,13.63,,,
259,K00873,0.6347034713827512,0.6609999999999999,0.7112825980616657,,,,19.4432,7.4636,354.6550999999999,,,
260,K00874,,,0.7897333425072108,,,,,,22.902900000000002,,,
261,K00878,,,0.7054930655248641,,,,,,25.051699999999997,,,
262,K00883,,,0.6863579580063097,,,,,,11.66,,,
263,K00886,,,0.6511538563593184,,,,,,19.3172,,,
264,K00891,,,0.732713265800125,,,,,,37.9542,,,
265,K00912,,,0.6285436701140036,,,,,,17.5901,,,
266,K00919,,,0.7330753537801363,,,,,,119.7185,,,
267,K00925,,,0.7122450862342252,,,,,,153.2929,,,
268,K00926,0.755,,0.7336439885627616,,,0.723,8.5557,,154.4148,,,6.6482
269,K00927,,0.551,0.7109589875257915,,,,,12.4882,263.34010000000006,,,
270,K00928,,0.551,,,,,,13.3966,,,,
271,K00930,,,0.6789298705124829,,,,,,30.6024,,,
272,K00931,,,0.5712222677708412,,,,,,11.251,,,
273,K00936,0.687,0.5707348514129925,0.6452199769926605,,,0.682,4.8546,36.419399999999996,127.57149999999999,,,2.2575
274,K00937,,,0.6866745806227394,,,,,,192.20759999999999,,,
275,K00939,,0.7450000000000001,0.6865919444443027,,,,,14.7274,110.3892,,,
276,K00940,,0.47502021767863006,0.6946919410269944,,,,,17.0838,108.26150000000001,,,
277,K00941,,0.48,0.7130794972224067,,,,,11.7575,26.982300000000002,,,
278,K00942,,,0.665477001921385,,,,,,43.5041,,,
279,K00943,,0.5047840536279729,0.702100161407682,,,,,43.842699999999994,139.79240000000001,,,
280,K00945,,,0.7223337625376974,,,,,,207.42160000000004,,,
281,K00946,,0.5580262949375824,0.7138865371280838,,,,,17.6315,81.6318,,,
282,K00948,,0.5589999999999999,0.6727099808412712,,,0.647,,12.8585,423.9961000000001,,,2.2208
283,K00949,,,0.7300148930144672,,,,,,8.4368,,,
284,K00950,,,0.713937467988014,,,,,,153.9492,,,
285,K00952,,0.5350826285899208,0.423,,,,,27.133399999999998,3.04,,,
286,K00953,,,0.557,,,,,,9.2548,,,
287,K00954,,,0.6397087759700046,,,,,,284.37940000000003,,,
288,K00957,,,0.6831872399971127,,,,,,118.36919999999999,,,
289,K00958,,0.512,0.732043972802617,0.654,,,,12.126,60.91930000000001,4.6694,,
290,K00962,,,0.6787646077922362,,,,,,140.6759,,,
291,K00963,,,0.680404506072624,,,,,,116.35969999999999,,,
292,K00965,,,0.7445645075630022,,,,,,18.023600000000002,,,
293,K00969,,,0.6873929665613291,,,0.685,,,146.1398,,,5.119
294,K00971,,,0.6640031045438135,,,,,,25.332100000000004,,,
295,K00973,,,0.6748773162296903,,,,,,7.334899999999999,,,
296,K00975,,,0.6673285033433364,,,,,,54.368900000000004,,,
297,K00978,,,0.6534291379477782,,,,,,112.82940000000002,,,
298,K00981,,,0.6943174103496587,,,0.7104093065114303,,,215.3298999999999,,,36.543800000000005
299,K00982,,,0.7227794721609834,,,,,,123.435,,,
300,K00986,,,0.6358319869847062,,,,,,581.6333999999998,,,
301,K00989,,,0.7221701634509463,,,,,,137.4653,,,
302,K00990,,,0.7029029198780142,,,,,,124.53389999999997,,,
303,K00991,,,0.583,,,,,,9.7039,,,
304,K00992,,,0.693,,,,,,5.3206,,,
305,K00995,,,0.5815357278121177,,,,,,10.6222,,,
306,K00997,,,0.7274524525902293,,,0.7361956990133395,,,64.1931,,,8.0597
307,K01000,,,0.6664575187160181,,,,,,124.73709999999998,,,
308,K01004,,,0.632,,,,,,5.4441,,,
309,K01005,,,0.7070701209534053,,,0.7163591392943872,,,568.2843000000001,,,64.0304
310,K01006,,0.5660000000000001,0.6655358872696963,,,,,9.947,67.4634,,,
311,K01007,,,0.589,,,,,,8.3041,,,
312,K01008,,,0.700413383092565,,,,,,100.5262,,,
313,K01011,,0.5337041985664819,0.6803129736835042,,,,,23.180999999999997,93.8896,,,
314,K01012,,0.4714477190178662,0.6793863676997213,,,,,18.4265,20.6754,,,
315,K01021,,,0.6952815186883641,,,,,,7.7645,,,
316,K01032,,,0.611,,,,,,3.5326,,,
317,K01039,,,0.7038001867153457,,,,,,141.35520000000002,,,
318,K01040,,,0.6981458951145484,,,,,,135.22619999999998,,,
319,K01042,,,0.7068224748754101,,,,,,49.75020000000001,,,
320,K01046,,,0.7281675911573873,,,0.7770038741566384,,,74.1851,,,16.9506
321,K01053,,,0.672464148130038,,,,,,137.187,,,
322,K01054,,,0.677,,,,,,7.3222,,,
323,K01055,,,0.7044452660823033,,,,,,52.8055,,,
324,K01056,,,0.7118099107713246,,,0.7598415790177813,,,184.5444,,,20.502299999999998
325,K01057,,,0.7310362033137532,0.733,,0.735,,,98.28829999999999,5.2913,,11.2766
326,K01060,,,0.6520604474672121,,,,,,26.689999999999998,,,
327,K01061,,0.5269801409369816,0.6851652635606023,,,,,16.2454,282.3975,,,
328,K01066,,,0.7138317788217864,,,,,,93.7748,,,
329,K01069,,0.5295229266630704,0.690724678123845,,,,,23.7284,166.1049,,,
330,K01070,,,0.688438277748833,,,,,,17.4916,,,
331,K01075,,,0.642,,,,,,2.7614,,,
332,K01079,,0.495,0.7140000000000001,,,,,12.1937,4.2134,,,
333,K01082,,,0.5479999999999999,,,,,,4.2446,,,
334,K01083,,,0.6791638550976934,,,0.65923609238068,,,13.307300000000001,,,10.2619
335,K01087,,,0.720098286848598,,,,,,13.122399999999999,,,
336,K01091,,,0.6980242849936797,,,,,,39.72410000000001,,,
337,K01092,,,0.7125568519024642,,,,,,68.37610000000001,,,
338,K01095,,,0.731,,,0.722,,,3.5593,,,6.8378
339,K01104,,,0.750281650470307,,,,,,66.61410000000001,,,
340,K01113,,0.672,0.6603482555579435,,,,,18.39,344.7169,,,
341,K01114,,,0.6781369226232119,,,,,,66.6254,,,
342,K01115,,0.529,0.6147316502058209,,,,,11.9121,16.1206,,,
343,K01118,,,0.3982099416803556,,,,,,16.925800000000002,,,
344,K01126,,,0.6960644567016142,,,,,,114.8144,,,
345,K01129,,,0.6897166471272453,,,,,,147.1552,,,
346,K01142,,,0.7307577631223838,,,,,,51.5052,,,
347,K01147,,,0.611,,,,,,6.6412,,,
348,K01151,,0.518,0.7153956165120268,0.359,,,,13.0825,192.45340000000002,6.2071,,
349,K01153,,0.609,0.6354231146069317,,,,,9.7503,29.735000000000003,,,
350,K01154,,,0.53,,,,,,2.7842,,,
351,K01155,,,0.6629999999999999,,,,,,8.1838,,,
352,K01159,,0.7290000000000001,0.7171885226069632,,,0.7320254153728004,,4.5255,138.59949999999998,,,28.046300000000002
353,K01170,,0.4979608215421735,,,,,,31.3244,,,,
354,K01173,,,0.63,,,,,,2.8462,,,
355,K01174,,0.551,0.7195417150805798,0.6990000000000001,,0.6777365556222391,,11.0734,128.39849999999998,5.6159,,15.4039
356,K01178,,,0.7294371480220836,,,,,,16.3185,,,
357,K01181,,,0.716,,,,,,6.0543,,,
358,K01183,,,0.7040000000000001,,,,,,8.6227,,,
359,K01185,,,,,,0.687,,,,,,6.0653
360,K01190,,,0.732,,,,,,14.2572,,,
361,K01195,,,0.6839663311953605,,,,,,29.478099999999998,,,
362,K01206,,,0.6817529442291816,,,,,,30.1114,,,
363,K01207,,,0.7275726471625525,,,,,,44.1615,,,
364,K01209,,,0.7214057555547451,,,,,,19.2037,,,
365,K01236,,,0.6224252501860158,,,,,,10.7371,,,
366,K01239,,0.406,0.7067930305439291,0.386,,0.41836644528702044,,13.6843,133.1085,3.3349,,10.6917
367,K01241,,,0.6700610586455255,,,,,,17.107,,,
368,K01243,,,0.6751074317137099,,,,,,22.587400000000002,,,
369,K01246,,0.335,0.6961924956809523,,,,,7.2598,238.23220000000012,,,
370,K01247,,,0.7094668017961212,,,,,,99.92229999999999,,,
371,K01251,,0.5482405523107986,0.6991314729702512,,,,,30.4236,500.0412999999999,,,
372,K01255,,0.563,0.7183748984505057,0.7020000000000001,,,,12.9542,50.1602,5.1254,,
373,K01256,,0.536,,,,,,12.8938,,,,
374,K01258,,,0.7248982165800248,,,,,,50.3722,,,
375,K01259,,,0.7041872561070431,,,,,,44.133599999999994,,,
376,K01262,,,0.6791269247875639,,,,,,19.9351,,,
377,K01265,,0.5589999999999999,0.6950455140278511,,,,,13.0839,236.8468,,,
378,K01266,,,0.7366889656459829,,,,,,81.3482,,,
379,K01267,,,0.741,,,,,,7.4822,,,
380,K01270,,,0.6962338676038786,,,,,,32.5529,,,
381,K01271,,0.537,0.713442616311363,,,,,12.8443,21.832,,,
382,K01273,,0.732,0.7006388250075156,,,,,8.5946,72.04759999999999,,,
383,K01281,,,0.693,,,,,,6.9754,,,
384,K01283,,,0.634,,,,,,1.7702,,,
385,K01286,,,0.717916223463877,,,0.785,,,65.5433,,,7.4208
386,K01295,,,0.766770447865497,,,,,,28.3637,,,
387,K01297,,,0.7131011022550472,,,,,,98.5602,,,
388,K01299,,0.42216406945165263,0.6733912952903285,,,,,42.9634,40.7508,,,
389,K01303,,,0.585,,,,,,11.6544,,,
390,K01304,,,0.74,,,,,,4.0591,,,
391,K01318,,,0.6829999999999999,,,,,,5.3282,,,
392,K01354,,,0.7090000000000001,,,,,,6.9307,,,
393,K01356,,,0.6935280544221943,,,,,,177.71480000000003,,,
394,K01358,,,0.664706606845666,,,0.7481690046303479,,,539.9200999999999,,,11.9313
395,K01372,,0.655,0.6050321621396089,,,,,2.3141,14.3554,,,
396,K01406,,,0.6811872769585681,0.698,,0.696,,,256.1257,4.1252,,7.6806
397,K01409,,0.5647210757729275,0.7258471641929469,,,,,19.764499999999998,246.6878,,,
398,K01417,,,0.6730939975220652,,,,,,49.704,,,
399,K01419,,,0.6086805637858574,,,,,,22.1336,,,
400,K01423,,,0.6526203405293594,,,,,,13.5611,,,
401,K01424,,0.5443371797121555,0.668696449458292,,,0.7070000000000001,,22.5581,10.3731,,,4.8411
402,K01425,,,0.6872805088736541,,,,,,122.8051,,,
403,K01426,,0.5125461958572496,0.6834945377907686,,,,,17.9064,259.04540000000003,,,
404,K01428,,0.525,,,,,,12.717,,,,
405,K01429,,0.466,0.6157393864270649,,,,,12.717,17.9345,,,
406,K01430,,,0.65,,,,,,5.6515,,,
407,K01432,,,0.6323706887389773,,,,,,21.4533,,,
408,K01433,,0.516,0.6609999999999999,,,,,12.2183,6.0686,,,
