,KEGG,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_countsUnclassified
39,K00635,0.6756005677567021,,,,11.671199999999999,,,
40,K00645,0.6829999999999999,,,,13.6685,,,
41,K00677,0.5829999999999999,,,,4.0361,,,
42,K00688,0.5954115547167363,,,,8.6567,,,
43,K00700,0.53,,,,5.5568,,,
44,K00703,0.6509999999999999,,,,5.2973,,,
45,K00760,0.657,,,,9.0637,,,
46,K00764,0.645150602291976,,,,22.354599999999998,,,
47,K00765,0.716,,,,5.5057,,,
48,K00773,0.603,,,,4.1748,,,
49,K00789,0.6689097725998172,,,,55.8018,,,
50,K00790,0.6143063072271655,,,,11.1852,,,
51,K00793,0.6543393123704593,,,,9.7499,,,
52,K00794,0.5650186702391724,,,,6.420999999999999,,,
53,K00797,0.68,,,,1.6781,,,
54,K00799,0.6181252639970308,,,,14.1306,,,
55,K00800,0.7041130620656249,,,,8.092600000000001,,,
56,K00820,0.6717775916585044,,,,9.635200000000001,,,
57,K00851,0.7010000000000001,,,,3.9085,,,
58,K00857,0.501,,,,3.8473,,,
59,K00859,0.619,,,,3.4439,,,
60,K00865,0.601,,,,3.9306,,,
61,K00873,0.6818083670034267,,,,20.108800000000002,,,
62,K00906,0.58,,,,4.5013,,,
63,K00927,0.6523858594922857,,,,10.8567,,,
64,K00929,0.604,,,,2.6955,,,
65,K00930,0.6654342952016873,,,,27.4948,,,
66,K00936,0.71,,,,4.5368,,,
67,K00945,0.6940000000000001,,,,4.2896,,,
68,K00946,0.5870000000000001,,,,3.5376,,,
69,K00948,0.6715461746493815,,,,14.863900000000001,,,
70,K00954,0.633,,,,5.8643,,,
71,K00957,0.479,,,,2.5593,,,
72,K00962,0.66,,,,15.2157,,,
73,K00969,0.5863455165790177,,,,7.2462,,,
74,K00981,0.665,,,,4.7247,,,
75,K00986,0.595464618970856,,,,356.32030000000003,,,
76,K00989,0.595,,,,4.1811,,,
77,K00995,0.6739999999999999,,,,6.0824,,,
78,K01008,0.657,,,,8.3913,,,
79,K01012,0.639,,,,3.4299,,,
80,K01029,0.5820000000000001,,,,6.3396,,,
81,K01056,0.705,,,,2.6132,,,
82,K01057,0.495,,,,3.7458,,,
83,K01077,0.6,,,,3.806,,,
84,K01079,0.6409999999999999,,,,4.7575,,,
85,K01104,0.655,,,,1.9545,,,
86,K01129,0.7160465462215694,,,,15.998999999999999,,,
87,K01159,,,,0.475,,,,6.5219
88,K01160,0.589,,,0.526,2.5395,,,63.8599
89,K01174,0.685,,,,4.1453,,,
90,K01206,0.5539999999999999,,,,2.4959,,,
91,K01239,0.586,,,,2.9501,,,
92,K01246,0.625,,,,12.3317,,,
93,K01251,0.6179154007710456,,,,45.0471,,,
94,K01265,0.6665982934972065,,,,17.637999999999998,,,
95,K01266,0.56,,,,2.1469,,,
96,K01356,0.6175453187200669,,,,14.2485,,,
97,K01358,0.6169278820112305,,,,52.584,,,
98,K01372,0.6509999999999999,,,,4.4604,,,
99,K01406,0.6861021037844103,,,,19.5259,,,
100,K01409,0.69,,,,4.9782,,,
101,K01419,0.662,,,,3.2413,,,
102,K01425,0.626,,,,5.1185,,,
103,K01426,0.74,,,,4.3676,,,
104,K01433,0.637,,,,6.4066,,,
105,K01443,0.598,,,,3.8242,,,
106,K01448,0.6163416974672274,,,,12.4617,,,
107,K01455,0.636,,,,6.9712,,,
108,K01462,0.6179151419432388,,,,23.8194,,,
109,K01494,0.56,,,,5.8208,,,
110,K01495,0.5997072490276937,,,,16.9955,,,
111,K01496,0.688,,,,8.2762,,,
112,K01507,0.5748063910402729,,,,14.739999999999998,,,
113,K01520,0.6816536030125921,,,,9.063,,,
114,K01546,0.6492451563984222,,,,25.770200000000003,,,
115,K01547,0.5720000000000001,,,,17.3615,,,
116,K01569,0.56,,,,4.7628,,,
117,K01595,0.6709999999999999,,,,3.1356,,,
118,K01610,0.630504189145564,,,,40.9529,,,
119,K01611,0.596,,,,4.5969,,,
120,K01619,0.6829999999999999,,,,2.0898,,,
121,K01621,0.5919356667863206,,,,33.3254,,,
122,K01624,0.6503539747102357,,,,30.287099999999995,,,
123,K01626,0.68,,,,9.9095,,,
124,K01627,0.646,,,,8.0456,,,
125,K01640,0.7020000000000001,,,,7.5041,,,
126,K01673,0.649,,,,8.9092,,,
127,K01689,0.6890000000000001,,,,6.1991,,,
128,K01698,0.6592107160585094,,,,21.122100000000003,,,
129,K01704,0.6535902843208832,,,,20.738300000000002,,,
130,K01711,0.644,,,,7.9086,,,
131,K01719,0.68,,,,3.3913,,,
132,K01725,0.616,,,,9.9552,,,
133,K01726,0.643,,,,6.3541,,,
134,K01733,0.7049999999999998,,,,9.2638,,,
135,K01736,0.618,,,,2.756,,,
136,K01737,0.417,,,,4.4902,,,
137,K01749,0.6346096031317221,,,,10.813500000000001,,,
138,K01755,0.716,,,,11.5746,,,
139,K01759,0.606,,,,4.4432,,,
140,K01778,0.6212854196857583,,,,10.1602,,,
141,K01785,0.7230000000000001,,,,3.5639,,,
142,K01790,0.680443737362688,,,,10.746099999999998,,,
143,K01807,0.6459999999999999,,,,3.4647,,,
144,K01810,0.697048204499405,,,,27.9472,,,
145,K01838,0.5670000000000001,,,,4.2077,,,
146,K01854,0.573,,,,3.1663,,,
147,K01858,0.667,,,,20.9698,,,
148,K01866,0.5489999999999999,,,,2.6342,,,
149,K01867,0.6588981369043876,,,,15.4936,,,
150,K01868,0.6513715575622783,,,,11.044,,,
151,K01872,0.695,,,,6.455,,,
152,K01875,0.669,,,,4.9063,,,
153,K01881,0.6316303811159398,,,,10.6665,,,
154,K01887,0.6663586427263996,,,,9.222100000000001,,,
155,K01912,0.46,,,,2.1104,,,
156,K01915,0.6154163539165916,,,,34.039199999999994,,,
157,K01919,0.6471543150003883,,,,23.900100000000002,,,
158,K01920,0.6592742966736014,,,,12.5027,,,
159,K01926,0.655,,,,13.030100000000001,,,
160,K01934,0.643,,,,6.1784,,,
161,K01937,0.6459999999999999,,,,12.3217,,,
162,K01940,0.6692017195347033,,,,28.533,,,
163,K01945,0.578,,,,5.5979,,,
164,K01951,0.605,,,,11.1741,,,
165,K01953,0.578,,,,3.7379,,,
166,K01971,0.581,,,,3.3159,,,
167,K01972,0.6449528272283359,,,,10.7028,,,
168,K01975,0.653,,,,4.3074,,,
169,K01992,0.5660000000000001,,,,4.0661,,,
170,K01997,0.569,,,,4.6073,,,
171,K01999,0.617,,,,6.4235,,,
172,K02004,0.5704196009133619,,,,48.89170000000001,,,
173,K02015,0.685,,,,3.8634,,,
174,K02034,0.648,,,,4.5563,,,
175,K02039,0.528,,,,2.9366,,,
176,K02040,0.6339936653504434,,,,13.292,,,
177,K02046,0.629,,,,8.7647,,,
178,K02050,0.648,,,,5.1892,,,
179,K02066,0.5933541952251735,,,,15.5137,,,
180,K02067,0.6527976248062389,,,,10.2286,,,
181,K02078,0.6295255269561784,,,,11.1562,,,
182,K02110,0.631,,,,3.4187,,,
183,K02113,0.5943888728753195,,,,25.764400000000002,,,
184,K02128,,,0.35600000000000004,,,,5.8211,
185,K02171,0.6509999999999999,,,,2.522,,,
186,K02188,0.681,,,,4.2976,,,
187,K02192,0.6459999999999999,,,,3.7727,,,
188,K02194,0.6940000000000001,,,,2.5381,,,
189,K02195,0.638,,,,4.4223,,,
190,K02199,0.642,,,,6.7786,,,
191,K02221,,,,0.585,,,,5.6643
192,K02227,0.6259999999999999,,,,3.7927,,,
193,K02238,0.748,,,,2.7226,,,
194,K02242,0.5896023251403498,,,,6.4140999999999995,,,
195,K02257,0.630199613610895,,,,13.6024,,,
196,K02276,,,0.264,,,,6.1486,
197,K02304,0.677,,,,8.381,,,
198,K02313,0.602,,,,7.1073,,,
199,K02314,0.5558745253809504,,,,76.254,,,
200,K02316,0.687,,,,5.8289,,,
201,K02338,0.5678018859218437,,,,15.722100000000001,,,
202,K02340,0.6650000000000001,,,,5.9333,,,
203,K02342,,,,0.506,,,,6.3412
204,K02343,0.6779999999999999,,,,9.4787,,,
205,K02356,0.4457317375481123,,,,9.370899999999999,,,
206,K02372,0.585,,,,4.9366,,,
207,K02377,0.597,,,,6.2973,,,
208,K02386,0.525,,,,4.4777,,,
209,K02408,0.6629999999999999,,,,2.203,,,
210,K02414,0.664,,,,4.3424,,,
211,K02435,0.6670929455435246,,,,9.5998,,,
212,K02456,0.632,,,,3.8262,,,
213,K02459,0.639,,,,4.8052,,,
214,K02460,0.638,,,,4.1343,,,
215,K02483,0.674,,,,6.7298,,,
216,K02496,0.619,,,,3.5667,,,
217,K02503,0.5807228326142074,,,,8.9924,,,
218,K02510,0.637,,,,4.4925,,,
219,K02520,0.5828181792024397,,,,18.2261,,,
220,K02536,0.687,,,,3.2813,,,
221,K02556,0.56,,,,2.7409,,,
222,K02600,0.6180413031310664,,,,8.465499999999999,,,
223,K02601,0.672,,,,5.8511,,,
224,K02609,0.662,,,,6.4658,,,
225,K02650,0.589,,,,2.9602,,,
226,K02654,0.621,,,,3.2328,,,
227,K02655,0.589,,,,2.9602,,,
228,K02657,0.6027278483791926,,,,11.0051,,,
229,K02659,0.62,,,,4.9779,,,
230,K02662,0.535,,,,2.7558,,,
231,K02665,0.659,,,,2.9526,,,
232,K02687,0.688,,,,3.0819,,,
233,K02742,0.573,,,,3.0646,,,
234,K02784,0.677,,,,2.1077,,,
235,K02838,0.6113575672497656,,,,11.552,,,
236,K02844,0.619,,,,3.7175,,,
237,K02851,0.679,,,,6.9792,,,
238,K02863,0.6408729406895695,,,,14.856,,,
239,K02864,0.6233260465984458,,,,14.2156,,,
240,K02867,0.6434877072843481,,,,19.1946,,,
241,K02871,0.5856331915254421,,,,17.5372,,,
242,K02874,0.6206918857621869,,,,27.346,,,
243,K02876,0.7170000000000001,,,,5.6079,,,
244,K02878,0.633147762384835,,,,16.348100000000002,,,
245,K02879,0.5710000000000001,,,,4.2504,,,
246,K02881,0.65,,,,5.5332,,,
247,K02884,0.606,,,,8.0681,,,
248,K02887,0.5961744108624428,,,,13.570999999999998,,,
249,K02888,0.5870473651197867,,,,13.9346,,,
250,K02890,0.66,,,,4.3034,,,
251,K02895,0.611,,,,10.441,,,
252,K02897,0.5710000000000001,,,,4.6326,,,
253,K02899,0.5826521046777191,,,,13.9606,,,
254,K02904,0.633,,,,8.5993,,,
255,K02911,0.6409999999999999,,,,3.0346,,,
256,K02916,0.611,,,,7.9958,,,
257,K02931,0.608,,,,12.8973,,,
258,K02933,0.618,,,,5.262,,,
259,K02935,,,,0.654,,,,4.9976
260,K02939,0.6750000000000002,,,,2.5972,,,
261,K02945,0.6461657842332598,,,,51.86789999999999,,,
262,K02948,0.633,,,,5.7647,,,
263,K02950,0.611,,,,10.1127,,,
264,K02954,0.5995082095298974,,,,20.1103,,,
265,K02956,0.563,,,,6.5974,,,
266,K02959,0.5429999999999999,,,,4.0067,,,
267,K02961,0.5957737173031286,,,,15.282699999999998,,,
268,K02963,0.5670000000000001,,,,4.4272,,,
269,K02965,0.5906033273396994,,,,28.641499999999997,,,
270,K02982,0.6657532187894022,,,,22.6092,,,
271,K02986,0.6325077052919481,,,,18.374,,,
272,K02992,0.6759999999999999,,,,5.8058,,,
273,K02994,0.589,,,,5.6078,,,
274,K03040,0.589,,,,7.8554,,,
275,K03060,0.6600091542358986,,,,10.6583,,,
276,K03070,0.636,,,,11.0963,,,
277,K03071,0.627,,,,6.4282,,,
278,K03075,0.6169274001828302,,,,8.4621,,,
279,K03076,0.64,,,,12.0672,,,
280,K03088,0.6400693177804986,,,0.691,35.711,,,2.461
281,K03092,0.5740010128568442,,,,15.160900000000002,,,
282,K03100,0.5676277179554808,,,,6.523199999999999,,,
283,K03116,0.569701995412357,,,,9.9287,,,
284,K03117,0.69,,,,2.8725,,,
285,K03118,0.6211894564814759,,,,14.3735,,,
286,K03147,0.6476612498058685,,,,67.0024,,,
287,K03149,0.7023097096415587,,,,23.920900000000003,,,
288,K03153,0.725,,,,6.215,,,
289,K03154,0.693,,,,5.5834,,,
290,K03177,0.612,,,,1.6825,,,
291,K03210,0.6478481866217616,,,,19.5471,,,
292,K03216,0.612,,,,3.8378,,,
293,K03269,0.5660000000000001,,,,3.5974,,,
294,K03284,0.660459442348132,,,,9.333300000000001,,,
295,K03303,0.611,,,,5.4409,,,
296,K03320,0.6676292313939931,,,,11.1542,,,
297,K03385,0.589,,,,4.0754,,,
298,K03406,0.643,,,,4.3419,,,
299,K03426,0.728,,,,3.3642,,,
300,K03438,0.6160951799523524,,,,6.8339,,,
301,K03455,0.6230000000000001,,,,4.9941,,,
302,K03465,0.637,,,,1.8305,,,
303,K03466,0.6645926208729002,,,,34.381,,,
304,K03469,0.642,,,0.534,5.1429,,,5.1486
305,K03474,0.469,,,,2.6855,,,
306,K03495,0.588,,,,5.8744,,,
307,K03496,0.5325132318172072,,,,28.7576,,,
308,K03497,0.6516422609054004,,,0.598,18.8062,,,5.0111
309,K03499,0.655,,,,10.2757,,,
310,K03501,0.642,,,,5.626,,,
311,K03517,0.649,,,,9.854,,,
312,K03521,0.616,,,,11.8278,,,
313,K03524,0.6409999999999999,,,,4.1712,,,
314,K03526,0.6456401098777763,,,,13.6089,,,
315,K03527,0.6643942637083281,,,,11.9117,,,
316,K03531,0.6637458618672104,,,,27.7572,,,
317,K03534,0.495,,,,3.2243,,,
318,K03536,0.648,,,,4.5175,,,
319,K03544,0.6076678560912401,,,,105.8474,,,
320,K03545,0.6098724966446692,,,,6.5846,,,
321,K03549,0.6361692797142323,,,,11.5999,,,
322,K03550,0.6694900304339964,,,,10.4839,,,
323,K03551,0.7248275671690413,,,,17.741999999999997,,,
324,K03553,0.6710130133265443,,,,50.841300000000004,,,
325,K03556,0.6963347135809462,,,,19.903399999999998,,,
326,K03558,,,,0.603,,,,3.1792
327,K03559,0.5421691032683997,,,0.625,11.0381,,,2.8302
328,K03561,0.5872556535050057,,,,8.8735,,,
329,K03569,0.7070000000000001,,,,9.6731,,,
330,K03571,0.643,,,,3.6701,,,
331,K03584,0.6940000000000001,,,,3.6204,,,
332,K03586,,,,0.654,,,,1.4768
333,K03598,0.594,,,,3.79,,,
334,K03602,0.535,,,,4.8562,,,
335,K03605,0.7020000000000001,,,,2.9159,,,
336,K03610,0.595,,,,3.9298,,,
337,K03621,0.6142560989642386,,,,6.6995000000000005,,,
338,K03628,0.6039994236468893,,,,63.1436,,,
339,K03630,0.648,,,,3.9159,,,
340,K03634,0.6389419105072259,,,,10.6422,,,
341,K03635,0.6935868409274161,,,,5.8631,,,
342,K03636,0.596976201321439,,,,7.7763,,,
343,K03644,0.581,,,,4.5608,,,
344,K03650,0.594,,,,4.0722,,,
345,K03664,0.4109999999999999,,,,3.9534,,,
346,K03665,0.632,,,,10.687,,,
347,K03666,0.5,,,,5.0464,,,
348,K03671,0.6701209729303065,,,,7.262700000000001,,,
349,K03672,0.69,,,,3.5011,,,
350,K03687,0.621,,,,5.7659,,,
351,K03698,0.604,,,,4.147,,,
352,K03704,0.6079790391632609,,,,11.5786,,,
353,K03705,0.667,,,,2.9604,,,
354,K03741,0.6890000000000001,,,,5.7032,,,
355,K03746,0.613,,,,4.0654,,,
356,K03752,0.579,,,,4.2421,,,
357,K03772,0.512,,,,4.9415,,,
358,K03781,0.613,,,,16.0396,,,
359,K03787,0.6859999999999999,,,,5.735,,,
360,K03790,0.5670000000000001,,,,2.8261,,,
361,K03797,0.6235059876714135,,,,39.066199999999995,,,
362,K03799,0.655,,,,6.6528,,,
363,K03832,0.531,,,0.556,3.9594,,,5.5965
364,K03885,0.6597505486517997,,,,5.9895,,,
365,K03886,0.66,,,,1.8939,,,
366,K03924,0.647,,,,9.3239,,,
367,K03925,0.622,,,,2.9551,,,
368,K04028,0.623,,,,1.6244,,,
369,K04047,0.6409999999999999,,,,7.5435,,,
370,K04063,0.6829999999999999,,,,2.1067,,,
371,K04065,0.606453834897059,,,,5.2997,,,
372,K04066,0.654,,,,2.5792,,,
373,K04069,0.667,,,,3.7766,,,
374,K04077,0.6555994312695815,,,,131.0431,,,
375,K04078,0.5439649894303614,,,,11.1602,,,
376,K04079,0.49791103188955455,,,,6.1512,,,
377,K04085,0.6502833299917357,,,,7.6041,,,
378,K04088,0.56,,,,6.8937,,,
379,K04096,0.6710064206972035,,,,10.1553,,,
380,K04485,0.6839887536237825,,,,16.090200000000003,,,
381,K04564,0.5470241744483065,,,,5.7303,,,
382,K04749,0.5927354032695638,,,,8.8457,,,
383,K04750,0.5717308106267193,,,,13.6821,,,
384,K04751,0.624204304413383,,,,14.2153,,,
385,K04754,0.654,,,,2.0138,,,
386,K04759,0.489,,,,4.8681,,,
387,K04762,0.647,,,,3.4159,,,
388,K04763,0.627670009150298,,,,65.6601,,,
389,K05281,0.552,,,,6.6873,,,
390,K05524,0.5770000000000001,,,,6.9855,,,
391,K05594,0.55,,,,4.6166,,,
392,K05772,0.643,,,,4.5556,,,
393,K05808,0.609,,,,4.3957,,,
394,K05810,0.586,,,,4.288,,,
395,K05845,0.6709999999999999,,,,3.105,,,
396,K05847,0.682,,,,8.2859,,,
397,K05896,0.523,,,,5.5147,,,
398,K05989,0.6859999999999999,,,,5.5262,,,
399,K06041,0.6564593611719135,,,,9.5123,,,
400,K06076,0.643,,,,4.6474,,,
401,K06118,0.6459999999999999,,,,8.666,,,
402,K06132,0.604,,,,4.6272,,,
403,K06142,0.5778520165138605,,,,6.2859,,,
404,K06153,0.6502251748212894,,,,18.5217,,,
405,K06167,0.721,,,,3.1832,,,
406,K06187,0.6923221017841252,,,,7.5937,,,
407,K06199,0.7090000000000001,,,,5.6935,,,
408,K06204,0.695,,,,6.0439,,,
409,K06213,0.5764533817050348,,,,11.1448,,,
410,K06215,0.6768261118422663,,,,26.2604,,,
411,K06218,,,,0.617,,,,3.7345
412,K06223,0.481,,,,3.0355,,,
413,K06346,0.6729999999999999,,,,5.5627,,,
414,K06400,0.6232985181449278,,,,39.525400000000005,,,
415,K06861,0.541,,,,4.4239,,,
416,K06884,,,,0.6940000000000001,,,,5.0365
417,K06888,0.6482472424710851,,,,28.923199999999998,,,
418,K06891,0.598,,,,1.7205,,,
419,K06893,0.604589563437187,,,0.653,13.9716,,,4.0749
420,K06901,0.591,,,,2.7549,,,
421,K06903,0.515,,,,5.3597,,,
422,K06904,0.503021847370615,,,0.6475085626125278,13.287299999999998,,,14.3874
423,K06906,0.565,,,,6.3536,,,
424,K06909,0.6054250401018513,,,0.67,18.2253,,,5.2845
425,K06911,0.701,,,,2.3874,,,
426,K06915,0.609,,,,13.2925,,,
427,K06921,0.6619999999999999,,,,4.2365,,,
428,K06938,0.6409999999999999,,,,2.8333,,,
429,K06941,0.6819527824341569,,,,18.067,,,
430,K06949,0.73,,,,2.8924,,,
431,K06958,0.5694005996544365,,,,8.519400000000001,,,
432,K06973,0.562,,,,4.4436,,,
433,K06985,0.609,,,,2.6141,,,
434,K06995,0.6451656404724737,,,,5.415,,,
435,K06996,0.6641291773492581,,,,7.6497,,,
436,K06997,0.562,,,,7.116,,,
437,K06998,0.685,,,,5.099,,,
438,K07001,0.67,,,,3.6837,,,
439,K07005,0.6509999999999999,,,,4.5163,,,
440,K07010,0.555,,,,3.6397,,,
441,K07018,0.6306939438797472,,,,29.588099999999997,,,
442,K07042,0.7195424881054479,,,,7.8604,,,
443,K07051,0.5579999999999999,,,,2.9333,,,
444,K07052,0.5733995854436849,,,,5.4245,,,
445,K07054,0.6300720462274125,,,,9.7394,,,
446,K07058,0.590496659420507,,,,14.807,,,
447,K07062,0.605,,,,2.1599,,,
448,K07065,0.652,,,,4.8268,,,
449,K07076,0.634,,,0.698,4.2865,,,2.1108
450,K07080,0.606,,,,2.3177,,,
451,K07082,0.61,,,,3.1664,,,
452,K07090,0.6286887163899602,,,,10.9566,,,
453,K07096,0.695,,,,3.7081,,,
454,K07098,0.581,,,,2.3811,,,
455,K07104,0.596,,,,3.098,,,
456,K07107,0.626,,,,4.0891,,,
457,K07126,,,,0.463,,,,5.0604
458,K07156,0.611,,,,3.8601,,,
459,K07164,0.505,,,,3.3559,,,
460,K07165,0.41700000000000004,,,,4.825,,,
461,K07220,0.645,,,,3.9038,,,
462,K07221,0.55,,,,4.835,,,
463,K07226,0.667,,,,4.6972,,,
464,K07240,0.509,,,,4.7933,,,
465,K07241,0.6789555786658744,,,,10.7944,,,
466,K07243,0.6363526414227555,,,,14.565900000000001,,,
467,K07259,0.639,,,,3.2,,,
468,K07261,0.623,,,,15.1404,,,
469,K07264,0.6409999999999999,,,,3.55,,,
470,K07273,0.562,,,,4.2702,,,
471,K07284,0.5539999999999999,,,,1.9127,,,
472,K07300,0.605,,,,4.9868,,,
473,K07302,0.6180817467909104,,,,17.5873,,,
474,K07304,0.624,,,,5.239,,,
475,K07305,0.6020000000000001,,,,4.3606,,,
476,K07336,0.602,,,,4.419,,,
477,K07343,0.6709999999999999,,,,2.0214,,,
478,K07391,0.7212434300648004,,,,16.561,,,
479,K07445,0.524,,,,3.4029,,,
480,K07447,0.5405725571506299,,,,7.933,,,
481,K07448,,,,0.464,,,,3.3872
482,K07455,,,,0.616,,,,4.4631
483,K07460,0.636,,,,1.7961,,,
484,K07462,0.7108061068240888,,,,9.9266,,,
485,K07480,0.5453596998153566,,,,70.4192,,,
486,K07481,0.6214807516971821,,,,119.28809999999999,,,
487,K07482,0.6034266447250672,,,,188.58480000000003,,,
488,K07483,0.6074306929255378,,,,122.506,,,
489,K07484,0.6161681410328786,,,,207.62439999999998,,,
490,K07485,0.5871729367131233,,,,127.0882,,,
491,K07486,0.6155306132422269,,0.596,0.5615574496663207,968.7348000000001,,8.9336,17.992
492,K07487,0.6037706676634191,,,,64.8757,,,
493,K07488,0.633,,,,7.4913,,,
494,K07491,0.5627196933736882,,,0.516,14.464500000000001,,,12.9116
495,K07492,0.5828153538148502,,,,335.7324,,,
496,K07493,0.6270956472563776,,,,231.6273,,,
497,K07494,0.5932275021643069,,0.541,,650.3907999999999,,57.0394,
498,K07495,0.5374102295990745,,,,78.4189,,,
499,K07497,0.6083979418680547,,,,797.0583,,,
500,K07498,0.6006888187690417,,,,29.0242,,,
501,K07499,0.5848105677839515,,,0.604,199.5624,,,21.3962
502,K07501,0.6609999999999999,,,,3.3768,,,
503,K07560,0.557,,,,2.2174,,,
504,K07566,0.58,,,,3.779,,,
505,K07574,0.6997673516151438,,,,6.3475,,,
506,K07734,0.62,,,,3.4159,,,
507,K07735,0.5799380233844209,,,,5.186999999999999,,,
508,K07738,0.5676197906437276,,,,9.6922,,,
509,K08084,0.614,,,,3.0449,,,
510,K08296,0.536,,,,6.3632,,,
511,K08305,0.638,,,,7.8848,,,
512,K08307,0.618,,,,4.6623,,,
513,K08309,0.6219725038590024,,,,9.3102,,,
514,K08316,0.6629999999999999,,,,5.2395,,,
515,K08682,0.40199999999999997,,,,3.1842,,,
516,K08738,0.672,,,,1.5075,,,
517,K08972,,,,0.7029999999999998,,,,2.9229
518,K08999,0.6041965264116876,,,,21.1428,,,
519,K09001,0.653,,,,5.4182,,,
520,K09005,0.6310000000000001,,,,2.0395,,,
521,K09013,0.6421989734868316,,,,25.191699999999997,,,
522,K09019,0.633,,,,3.6295,,,
523,K09022,0.623,,,,2.9844,,,
524,K09125,0.5189661684730545,,,,9.1114,,,
525,K09131,0.591,,,,3.21,,,
526,K09158,0.596,,,,5.7151,,,
527,K09163,0.67,,,,4.4966,,,
528,K09165,0.5948470399024575,,,,6.9338999999999995,,,
529,K09457,0.6299647822707461,,,,11.5687,,,
530,K09539,0.605,,,,7.705,,,
531,K09710,0.5870000000000001,,,,4.2324,,,
532,K09747,,,,0.557,,,,1.4732
533,K09769,0.6511259717964285,,,,10.4546,,,
534,K09779,0.608,,,,3.5915,,,
535,K09796,0.601,,,0.654,5.0317,,,5.1119
536,K09800,0.632,,,,2.3056,,,
537,K09861,0.7120000000000001,,,,4.3732,,,
538,K09882,0.622,,,,18.4813,,,
539,K09903,0.5871245180674078,,,,16.1817,,,
540,K09927,0.6294514715729295,,,,4.1739,,,
541,K09930,0.5752165165875316,,,,10.4923,,,
542,K09933,0.642,,,,4.4807,,,
543,K09940,0.5230808707468054,,,,6.768800000000001,,,
544,K09967,0.5760000000000001,,,,3.4351,,,
545,K09983,0.652,,,,2.9894,,,
546,K09985,0.6519999999999999,,,,4.7429,,,
547,K09991,0.6629999999999999,,,,4.4225,,,
548,K10536,0.6182388718555125,,,,9.367899999999999,,,
549,K10794,0.581,,,,1.9105,,,
550,K10804,0.5832981248563051,,,,5.6137999999999995,,,
551,K10822,0.613,,,,6.6415,,,
552,K10914,0.615,,,,4.5315,,,
553,K10947,0.563,,,,4.1996,,,
554,K10979,0.68,,,,3.1238,,,
555,K11068,0.662,,,,6.2487,,,
556,K11105,0.6809999999999999,,,,3.5106,,,
557,K11477,0.6759999999999999,,,,3.3995,,,
558,K11749,0.6017096774193549,,,,7.862399999999999,,,
559,K11752,0.765,,,,4.0956,,,
560,K11904,0.585,,,,2.1322,,,
561,K11941,0.654,,,,2.9951,,,
562,K12132,0.5870000000000001,,,,2.9124,,,
563,K12373,0.453,,,,6.0515,,,
564,K12574,0.649,,,,5.8928,,,
565,K13018,0.6970000000000001,,,,2.9583,,,
566,K13256,0.5770000000000001,,,,7.5809,,,
567,K13292,0.6036955864825797,,,,7.9187,,,
568,K13570,0.6970000000000001,,,,3.757,,,
569,K13583,0.607,,,0.5670000000000001,4.5601,,,14.5437
570,K13588,0.599,,,,2.2893,,,
571,K13626,0.644,,,,3.4202,,,
572,K13643,0.617,,,,4.9457,,,
573,K13985,0.6459999999999999,,,,3.5899,,,
574,K13992,0.5770000000000001,,,,3.0445,,,
