,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adj Riboviria,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_counts Riboviria,gene_countsUnclassified
42,K00209,,,0.6129999999999999,,,,,,2.1101,,,
43,K00215,,,0.7082221423136048,,,,,,57.3115,,,
44,K00228,,,0.6250183253948793,,,,,,12.1876,,,
45,K00230,,,0.738,,,,,,6.8558,,,
46,K00231,,,0.7417685499996006,,,,,,20.2285,,,
47,K00240,,0.37899999999999995,0.6436817399780491,,,,,3.4038,147.18859999999998,,,
48,K00241,,,0.663824652183867,,,,,,54.418400000000005,,,
49,K00242,,,0.6618461408311681,,,,,,38.9745,,,
50,K00245,,,0.616,,,,,,7.933,,,
51,K00246,,,0.5911432322344611,,,,,,6.5317,,,
52,K00249,,,0.7086560363274639,,,,,,42.5255,,,
53,K00253,,,0.627,,,,,,11.7305,,,
54,K00254,,,0.6066062216086799,,,,,,30.016000000000002,,,
55,K00259,,,0.6922116492314456,,,,,,31.232200000000002,,,
56,K00275,,,0.6922438921607886,,,,,,132.33050000000003,,,
57,K00283,,,0.667,,,,,,7.8606,,,
58,K00286,,,0.6526554427390584,,,,,,42.6236,,,
59,K00287,,,0.6194524790105846,,,,,,18.9201,,,
60,K00297,,,0.7042615861677597,,,,,,32.8989,,,
61,K00305,,,0.721,,,,,,9.1045,,,
62,K00320,,,0.700959914031264,,,,,,8.8994,,,
63,K00330,,,0.6191315714589993,,,,,,132.6062,,,
64,K00331,,,0.6532410661243943,,,,,,49.094800000000006,,,
65,K00332,,,0.6819796542054974,,,,,,24.7286,,,
66,K00334,,,0.6995104870570593,,,,,,42.846700000000006,,,
67,K00338,,,0.6471243635136381,,,,,,93.71449999999999,,,
68,K00339,,,0.6423178852755915,,,,,,22.8908,,,
69,K00340,,0.34,0.6395225644239947,,,,,3.952,101.8343,,,
70,K00343,,0.402,0.701,,,,,2.8836,6.1171,,,
71,K00344,,0.424,0.6141037356670194,,,,,5.1959,19.7442,,,
72,K00363,,,0.67,,,,,,4.5138,,,
73,K00365,,,0.7046768503602309,,,,,,15.8357,,,
74,K00368,,,0.6542483019467613,,,,,,44.2684,,,
75,K00371,,,0.633,,,,,,5.2036,,,
76,K00375,,,0.7879999999999999,,,,,,8.9453,,,
77,K00384,,,0.6818997815644796,,,,,,28.0309,,,
78,K00389,,,0.6606508175290596,,,0.707270071315918,,,31.415,,,7.7143
79,K00390,,0.375,0.7093495162740464,,,,,5.0128,50.006099999999996,,,
80,K00395,,,0.6072759603858924,,,,,,13.2286,,,
81,K00406,,,0.666955269154371,,,,,,5.6276,,,
82,K00407,,,0.6779999999999999,,,,,,3.9633,,,
83,K00411,,,0.6338113785542018,,,,,,18.8905,,,
84,K00413,,,0.6182039469092482,,,,,,22.2222,,,
85,K00425,,,0.654643999262029,,,0.647,,,340.85220000000004,,,2.9607
86,K00426,,,0.6660251736719802,,,0.7440000000000002,,,190.705,,,3.1118
87,K00428,,,0.5958816337986702,,,,,,21.4081,,,
88,K00432,,,0.6726613835581021,,,,,,39.6713,,,
89,K00433,,,0.6263390907218338,,,,,,100.4573,,,
90,K00446,,,0.583,,,,,,4.2932,,,
91,K00448,,,0.6852096429312112,,,,,,22.9685,,,
92,K00449,,,0.6578584189425959,,,,,,29.282599999999995,,,
93,K00450,,,0.6637575973295066,,,,,,9.9567,,,
94,K00451,,,0.6683523764735296,,,,,,102.0133,,,
95,K00452,,,0.5843807516308522,,,,,,26.371199999999998,,,
96,K00453,,,0.6259309875426214,,,0.727,,,93.03280000000001,,,18.4664
97,K00457,,,0.6606430178875701,,,,,,178.39170000000001,,,
98,K00459,,,0.7192895698729092,,,,,,60.0165,,,
99,K00463,,,0.517,,,,,,2.4259,,,
100,K00469,,,0.415,,,,,,4.6497,,,
101,K00481,,,0.6632965693994995,,,,,,8.511,,,
102,K00485,,,0.6850000000000002,,,,,,3.5688,,,
103,K00496,,,0.6890000000000001,,,,,,3.4517,,,
104,K00500,,,0.6169371886774737,,,,,,8.3249,,,
105,K00507,,,0.6415331926403104,,,,,,101.21389999999998,,,
106,K00508,,,0.575,,,,,,7.4471,,,
107,K00518,,,0.6598054440715915,,,,,,31.9205,,,
108,K00525,,0.36,0.6283571031892794,,,,,3.5347,58.1183,,,
109,K00540,,,0.6934326902925139,,,0.672,,,186.36409999999992,,,4.2583
110,K00544,,,0.680522986674447,,,,,,13.5881,,,
111,K00548,,,0.6598189693749084,,,,,,140.16020000000003,,,
112,K00549,,0.578,0.6515163383839445,,,,,2.1493,573.9640999999997,,,
113,K00554,,,0.6685833809489594,,,,,,84.34090000000003,,,
114,K00560,,,0.6070124324530195,,,,,,67.72470000000001,,,
115,K00564,,,0.7630573414255093,,,,,,11.0996,,,
116,K00566,,,0.6975611007539647,,,,,,17.4634,,,
117,K00567,,,0.6779999999999999,,,,,,3.8306,,,
118,K00570,,,0.659624995637895,,,,,,21.932299999999998,,,
119,K00573,,,0.6612130070066363,,,,,,132.12460000000002,,,
120,K00574,,,0.6422442715196238,,,,,,103.20020000000001,,,
121,K00575,,,0.5820000000000001,,,,,,4.3466,,,
122,K00577,,0.325,,,,,,4.8273,,,,
123,K00588,,,0.6453566837738203,,,,,,35.3931,,,
124,K00598,,,0.678903821418282,,,,,,24.749100000000002,,,
125,K00600,,0.391,0.6716901941190839,,,,,4.3678,302.36340000000007,,,
126,K00602,,,0.688841026691775,,,,,,167.46200000000002,,,
127,K00604,,,0.677,,,,,,4.6004,,,
128,K00606,,0.3179832657184054,0.690537423817856,,,,,6.4762,136.81480000000002,,,
129,K00609,,0.3379999999999999,0.6882053527483518,,,,,4.9609,95.8442,,,
130,K00610,,0.31,,,,,,3.5579,,,,
131,K00611,,,0.6801183482665195,,,,,,35.3885,,,
132,K00613,,,0.48,,,,,,3.7878,,,
133,K00615,,,0.6285102613157705,,,,,,32.3758,,,
134,K00616,,0.364,0.5943267173956138,,,,,2.8904,25.3131,,,
135,K00619,,,0.6890000000000001,,,,,,3.2484,,,
136,K00620,,,0.6699986930924446,,,,,,23.8342,,,
137,K00626,,,0.6981170846373306,,,,,,223.60439999999997,,,
138,K00627,,,0.662,,,,,,6.8577,,,
139,K00635,,,0.7042185552469811,0.759,,0.6945071062923276,,,219.02400000000003,7.022,,7.385
140,K00640,,,0.6624130399252821,,,,,,19.0135,,,
141,K00641,,,0.6453526523762639,,,,,,72.8768,,,
142,K00645,,,0.7020000000000001,,,,,,3.4548,,,
143,K00648,,,0.6369750123730731,,,,,,30.2105,,,
144,K00655,,,0.7015265248599761,,,,,,138.50230000000002,,,
145,K00657,,,0.6142570804838976,,,,,,14.6139,,,
146,K00661,,,0.677188807348151,,,,,,28.906,,,
147,K00663,,,0.6615560552080864,,,,,,21.3078,,,
148,K00673,,,0.6779999999999999,,,,,,2.1418,,,
149,K00674,,,0.6936927960937771,,,,,,32.0544,,,
150,K00675,,,0.696,,,,,,8.0112,,,
151,K00677,,,0.5903206545521652,,,,,,30.0836,,,
152,K00682,,,0.6709999999999999,,,,,,7.1608,,,
153,K00684,,,0.7072414385578328,,,,,,48.0818,,,
154,K00688,,,0.6102460529206624,,,,,,243.46779999999998,,,
155,K00700,,,0.6518502929342702,,,,,,89.56779999999999,,,
156,K00703,,,0.6227827638386134,,,,,,29.1409,,,
157,K00705,,,0.6637863881918078,,,,,,17.0204,,,
158,K00712,,,0.6509999999999999,,,,,,5.2859,,,
159,K00720,,,0.6378696051399597,,,,,,9.7145,,,
160,K00721,,,0.6757642037204576,,,,,,39.791000000000004,,,
161,K00728,,,0.6590518408372046,,,,,,26.943600000000004,,,
162,K00729,,,0.735,,,,,,3.2347,,,
163,K00748,,,0.5632272125496685,,,,,,17.1614,,,
164,K00759,,0.5589999999999999,0.6624092599363498,,,,,2.967,54.9506,,,
165,K00760,,,0.6465206894675672,,,,,,127.72539999999998,,,
166,K00761,,,0.6696153738642939,,,,,,28.2802,,,
167,K00762,,0.376,0.6781698157046164,,,,,6.0127,43.077299999999994,,,
168,K00763,,0.5113201445579009,0.6857258044894898,,,,,7.1987000000000005,76.2613,,,
169,K00764,,0.381,0.6693984036048146,,,,,5.2571,200.7149,,,
170,K00765,,,0.6929849123000256,,,,,,24.366,,,
171,K00766,,0.3289999999999999,0.7111174057132735,,,,,3.4842,93.72200000000002,,,
172,K00767,,,0.6856698960015569,,,,,,23.4088,,,
173,K00768,,,0.6956709266270612,,,,,,55.283699999999996,,,
174,K00769,,,0.6199183237645487,,,,,,14.8414,,,
175,K00772,,,0.6559999999999999,,,,,,3.2294,,,
176,K00773,,,0.6385551313627028,,,,,,29.3065,,,
177,K00782,,,0.7644139170188443,,,,,,14.193200000000001,,,
178,K00783,,,0.6194461047643733,,,,,,14.0029,,,
179,K00784,,0.341,0.6773990088598469,,,,,4.7084,62.535,,,
180,K00788,,,0.7189926985966107,,,,,,42.467,,,
181,K00789,,0.39099999999999996,0.6623607615372387,,,,,4.7113,336.4432,,,
182,K00790,,,0.6591541848825452,,,,,,91.8349,,,
183,K00791,,,0.7257406495804384,,,,,,29.1876,,,
184,K00793,0.716,,0.6530976804488556,,,,2.1344,,103.9331,,,
185,K00794,,0.3279999999999999,0.7070746055625526,,,,,4.1051,111.14450000000001,,,
186,K00796,,0.362,0.7021315897821953,,,,,4.2905,22.5729,,,
187,K00797,,,0.6260927727197586,,,,,,35.95269999999999,,,
188,K00798,,0.313,0.6808913655523636,,,0.7709999999999999,,2.9805,118.4923,,,3.8327
189,K00799,,,0.6194542211004967,,,,,,176.8876,,,
190,K00800,,,0.7085006252797107,,,0.8270000000000001,,,82.7665,,,8.5946
191,K00806,,,0.6363624303238168,,,,,,33.894,,,
192,K00808,,,0.698,,,,,,3.8558,,,
193,K00809,,0.37622886018787777,0.652,,,,,8.3559,12.1185,,,
194,K00817,,,0.667,,,,,,4.9084,,,
195,K00820,,0.34257184919356104,0.6617854480048488,,,,,9.3572,206.36849999999998,,,
196,K00821,,,0.693,,,,,,7.7802,,,
197,K00826,,0.355,0.6866287202406434,,,,,4.9609,33.1282,,,
198,K00831,,,0.6088974171160311,,,,,,15.8338,,,
199,K00833,,,0.6629999999999999,,,,,,6.4864,,,
200,K00845,,,0.742,,,,,,8.4801,,,
201,K00847,,,0.680923055627762,,,,,,15.912400000000002,,,
202,K00848,,,0.769,,,,,,6.0798,,,
203,K00851,,,0.628165846275679,,,,,,16.7999,,,
204,K00855,,,0.544,,,,,,2.724,,,
205,K00856,,,0.6679999999999999,,,,,,6.3359,,,
206,K00857,,,0.5888366455361687,,,,,,14.035499999999999,,,
207,K00858,,0.3638900772174051,0.695409910807618,,,,,7.8933,134.945,,,
208,K00859,,,0.6744268723466265,,,,,,125.67849999999999,,,
209,K00864,,,0.655426960840665,,,,,,20.3018,,,
210,K00865,,,0.7676867911115988,,,0.737,,,70.9807,,,4.042
211,K00867,,,0.6388076276653786,,,,,,24.6528,,,
212,K00868,,,0.715,,,,,,5.4862,,,
213,K00872,,,0.7293679911799099,,,,,,19.2914,,,
214,K00873,,,0.6770275537375108,,,,,,203.83719999999997,,,
215,K00874,,,0.7290000000000001,,,,,,7.1747,,,
216,K00878,,,0.7020000000000001,,,,,,9.195,,,
217,K00883,,,0.7040000000000002,,,,,,2.9856,,,
218,K00886,,,0.6606783073214751,,,,,,15.0037,,,
219,K00891,,,0.6425027210461933,,,,,,34.4898,,,
220,K00903,,,0.6920000000000001,,,,,,8.2212,,,
221,K00912,,,0.6503802168026538,,,,,,14.107899999999999,,,
222,K00919,,,0.643439256992518,,,0.758,,,43.4092,,,19.2139
223,K00925,,,0.6386241733967651,,,,,,128.6748,,,
224,K00926,,,0.6969041315922931,,,,,,129.3172,,,
225,K00927,,0.365,0.6625618074850641,,,,,4.4152,132.3231,,,
226,K00930,,,0.6725368769692293,,,,,,17.2412,,,
227,K00931,,,0.6814790203936473,,,,,,11.3148,,,
228,K00936,,,0.6151465550797319,,,,,,62.118300000000005,,,
229,K00937,,,0.6607888009088475,,,,,,72.3481,,,
230,K00939,,,0.7064970420677068,,,,,,68.327,,,
231,K00940,,,0.66675740240595,,,,,,49.5673,,,
232,K00941,,,0.6964838601462541,,,,,,14.9605,,,
233,K00942,,,0.5875993690838651,,,,,,10.2513,,,
234,K00943,,0.3536564890618157,0.6985943221739837,,,,,12.1145,74.8199,,,
235,K00945,,,0.6754084536465643,,,,,,104.95739999999998,,,
236,K00946,,0.3279999999999999,0.7299722595182742,,,,,6.1154,61.70740000000001,,,
237,K00948,,0.3369149497429736,0.6544976391951053,,,,,9.3504,226.23000000000002,,,
238,K00949,,,0.698,,,,,,2.0853,,,
239,K00950,,,0.7029272965965023,,,,,,66.1199,,,
240,K00952,,0.344,,,,,,3.5978,,,,
241,K00954,,,0.6395196861465492,,,,,,116.02220000000001,,,
242,K00957,,,0.650443405727222,,,,,,25.5841,,,
243,K00958,,,0.6927013039004957,,,,,,31.5072,,,
244,K00962,,,0.6885825644684944,,,,,,35.5029,,,
245,K00963,,,0.6422457793444203,,,,,,36.1016,,,
246,K00969,,,0.6728084404676347,,,,,,45.3292,,,
247,K00971,,,0.573969709728325,,,0.537,,,30.722500000000004,,,4.5137
248,K00973,,,0.6809999999999999,,,,,,3.018,,,
249,K00975,,,0.606673168644131,,,,,,43.081799999999994,,,
250,K00978,,,0.5768910902236319,,,,,,7.367900000000001,,,
251,K00979,,,0.5418678926253011,,,,,,12.876199999999999,,,
252,K00981,,,0.6393906580499777,,,0.6960000000000001,,,155.3652,,,14.6798
253,K00982,,,0.7009531328881673,,,,,,75.4061,,,
254,K00986,,,0.6247961156635132,,,,,,949.0161000000002,,,
255,K00989,,,0.6682842504867584,,,,,,58.99570000000001,,,
256,K00990,,,0.687163256931633,,,0.789,,,94.07209999999996,,,3.2348
257,K00997,,,0.7063975516697262,,,,,,58.9456,,,
258,K01000,,,0.6835119284443428,,,,,,41.016000000000005,,,
259,K01004,,,0.6560127130323895,,,,,,11.3721,,,
260,K01005,,,0.6877615500438817,,,0.7171881645317788,,,301.82430000000005,,,30.331699999999998
261,K01006,,,0.6703038558206382,,,,,,35.9814,,,
262,K01007,,,0.611,,,,,,5.708,,,
263,K01008,,,0.7000618069156853,,,,,,86.06750000000001,,,
264,K01011,,0.386,0.6979066903802599,,,,,2.7279,31.3594,,,
265,K01012,,0.357,0.6542704729990431,,,,,4.1684,40.555699999999995,,,
266,K01023,,,0.645,,,,,,2.3372,,,
267,K01026,,,0.588,,,,,,5.0193,,,
268,K01029,,,0.648,,,,,,6.3265,,,
269,K01031,,,0.7070000000000001,,,,,,2.5084,,,
270,K01032,,,0.6629999999999999,,,,,,5.523,,,
271,K01039,,,0.6905597053076699,,,,,,90.5488,,,
272,K01040,,,0.7013176464057219,,,,,,60.0631,,,
273,K01042,,,0.6955624125416349,,,,,,39.5775,,,
274,K01046,,,0.5556769834948073,,,,,,12.442499999999999,,,
275,K01053,,,0.659,,,,,,4.7197,,,
276,K01055,,,0.6654787731174648,,,,,,22.5514,,,
277,K01056,,,0.6776884064627752,,,,,,109.9353,,,
278,K01057,,,0.6661920043735932,,,,,,58.204800000000006,,,
279,K01060,,,0.6559739266516744,,,,,,29.0123,,,
280,K01061,,0.367,0.6723198397295622,,,0.745,,4.1624,105.0026,,,10.0074
281,K01066,,,0.7520345866600245,,,,,,32.419700000000006,,,
282,K01069,,,0.6393105302345289,,,,,,45.0959,,,
283,K01070,,,0.588,,,,,,7.2997,,,
284,K01077,,,0.5936600243013436,,,,,,22.5327,,,
285,K01079,,0.359,0.6759619361322118,,,,,5.3885,11.7578,,,
286,K01082,,,0.67,,,,,,2.5191,,,
287,K01087,,,0.561,,,,,,2.6101,,,
288,K01091,,,0.7042327209934041,,,0.688,,,31.5552,,,3.5519
289,K01092,,,0.6619248840628177,,,,,,29.8942,,,
290,K01095,,,0.7050975532872027,,,,,,13.424800000000001,,,
291,K01104,,,0.7051330415097916,,,0.606,,,34.4722,,,4.2587
292,K01113,,0.5772032969884391,0.6676615911733459,,,,,12.0999,73.95599999999999,,,
293,K01114,,,0.6682642961798791,,,,,,71.7951,,,
294,K01115,,,0.6605767479629217,,,,,,12.0624,,,
295,K01118,,,0.6355446105152102,0.647,,,,,3.9508,2.6806,,
296,K01126,,,0.6636992055802801,,,,,,27.4944,,,
297,K01129,,,0.6883194295355914,,,,,,119.54509999999999,,,
298,K01142,,,0.6,,,,,,3.6854,,,
299,K01151,,0.358,0.7033007839725813,,,,,3.1691,54.983000000000004,,,
300,K01155,,,0.634,,,,,,5.8167,,,
301,K01159,,,0.7073251797615078,,,0.7709999999999999,,,73.3485,,,9.5241
302,K01160,,,0.684,,,,,,1.802,,,
303,K01167,,,0.615,,,,,,3.5023,,,
304,K01170,,0.342,,,,,,4.9164,,,,
305,K01174,,,0.7209537273856026,,,,,,15.593599999999999,,,
306,K01178,,,0.575,,,,,,6.0068,,,
307,K01179,,,0.6779999999999999,,,,,,3.5906,,,
308,K01181,,,0.667,,,,,,7.9143,,,
309,K01183,,,0.6448269647382138,,,,,,11.3424,,,
310,K01185,,,0.608,,,0.625,,,2.7673,,,1.85
311,K01194,,,0.5762777813113668,,,,,,7.5082,,,
312,K01201,,,0.6579999999999999,,,,,,6.9777,,,
313,K01206,,,0.5701758673824276,,,,,,45.7375,,,
314,K01207,,,0.726202168160376,,,,,,28.1421,,,
315,K01209,,,0.6196471019120571,,,,,,40.74080000000001,,,
316,K01218,,,0.568,,,,,,3.5911,,,
317,K01224,,,0.436,,,,,,4.2561,,,
318,K01239,,,0.695068053876395,,,0.639,,,64.24059999999999,,,4.0362
319,K01243,,,0.626,,,,,,4.7731,,,
320,K01246,,0.5899528980079765,0.658413179110143,,,,,9.5726,157.8968,,,
321,K01247,,,0.6929988350138894,,,,,,10.8433,,,
322,K01251,0.73,0.37909318053046376,0.655869374269407,,,,3.9858,8.699100000000001,338.65150000000006,,,
323,K01255,,,0.6928115069124843,,,,,,14.5709,,,
324,K01256,,,0.6430000000000001,,,,,,9.6529,,,
325,K01258,,,0.6990000000000001,,,,,,8.0807,,,
326,K01259,,,0.6843977628368628,,,,,,26.1924,,,
327,K01265,,,0.6877875866181893,,,,,,145.51610000000002,,,
328,K01266,,,0.6743511759836168,,,,,,89.1983,,,
329,K01270,,,0.7090000000000001,,,,,,14.1909,,,
330,K01273,,0.758,0.6553394526004935,,,,,4.3227,88.18929999999997,,,
331,K01283,,,0.6432375907013171,,,,,,10.261700000000001,,,
332,K01286,,,0.5967230491820821,,,,,,23.9219,,,
333,K01295,,,0.7340000000000001,,,,,,8.9588,,,
334,K01297,,,0.7065217708936105,,,,,,59.841300000000004,,,
335,K01299,,,0.6553275588951798,,,,,,13.0019,,,
336,K01304,,,0.744135062615101,,,,,,6.6134,,,
337,K01354,,,0.6829999999999999,,,,,,5.8076,,,
338,K01356,,,0.6875267602998208,,,,,,107.89520000000002,,,
339,K01358,,,0.6408613074693141,,,0.71,,,460.3772999999999,,,6.9689
340,K01406,,0.3879999999999999,0.68522651026636,,,,,7.9658,77.1903,,,
341,K01409,,,0.6789717495974688,,,,,,143.0692,,,
342,K01419,,,0.6337796054868569,,,,,,16.843,,,
343,K01423,,,0.627,,,,,,4.7063,,,
344,K01424,,0.365,0.5885016802539049,,,,,3.5626,7.23,,,
345,K01425,,,0.6231428056101517,,,,,,38.7471,,,
346,K01426,,,0.7042924648824771,,,,,,90.16750000000002,,,
347,K01429,,,0.6845003266926708,,,,,,13.21,,,
348,K01430,,,0.6168476580793049,,,,,,6.5977,,,
349,K01432,,,0.6319124364911433,,,,,,15.3889,,,
350,K01433,,0.384,0.6460665762407669,,,,,4.2243,9.9744,,,
351,K01434,,,0.66,,,,,,7.452,,,
352,K01443,,,0.7130997373694122,,,,,,78.0639,,,
353,K01447,,,0.5601417717689227,,,,,,13.8047,,,
354,K01448,,,0.6165311265443689,,,,,,158.16039999999998,,,
355,K01449,,,0.583,,,,,,3.1957,,,
356,K01455,,,0.6993375306218892,,,,,,75.78819999999999,,,
357,K01456,,0.363,,,,,,4.2545,,,,
358,K01458,,,0.7120000000000001,,,,,,3.0869,,,
359,K01462,,,0.6486891243821032,,,,,,195.67860000000005,,,
360,K01463,,,0.6733808248299112,,,,,,13.2696,,,
361,K01465,,,0.715,,,,,,9.6055,,,
362,K01470,,0.375,0.6502236294078843,,,,,4.536,71.8356,,,
363,K01476,,,0.7056941858249355,,,,,,8.1404,,,
364,K01477,,,0.7093743065416243,,,,,,19.8429,,,
365,K01478,,0.721,0.6941523411049869,,,,,13.4944,115.82840000000002,,,
366,K01480,,,0.7220544260754573,,,,,,40.9302,,,
367,K01482,,,0.7536894947637962,,,,,,25.4742,,,
368,K01485,,,0.6358112825631385,,,,,,17.0536,,,
369,K01486,,,0.6920000000000001,,,,,,6.8144,,,
370,K01488,,,0.6662279639348674,,,,,,16.212899999999998,,,
371,K01489,,,0.7014392428883653,,,,,,57.562200000000004,,,
372,K01494,,,0.6558739443897681,,,,,,135.3583,,,
373,K01495,,0.41,0.6707965875792075,,,,,4.5391,188.5641,,,
374,K01496,,,0.6101268467118885,,,,,,10.221699999999998,,,
375,K01497,,,0.6802908600184003,,,,,,129.48979999999997,,,
376,K01500,,,0.722,,,,,,7.5339,,,
377,K01507,,0.364,0.6493957014690398,,,,,6.1266,132.1068,,,
378,K01512,,0.5558606454973609,0.6956658441868832,,,,,13.7464,18.1774,,,
379,K01515,,0.341,0.7639999999999999,,,,,4.9329,9.252,,,
380,K01518,,0.319,,,,,,4.2948,,,,
381,K01520,,,0.6985865241429898,,,,,,86.41690000000001,,,
382,K01523,,,0.6416659283780959,,,,,,14.415700000000001,,,
383,K01524,,0.373,0.7040105561959511,,,,,4.0,62.7521,,,
384,K01529,,,0.622,,,,,,2.7511,,,
385,K01545,,,,,,0.6021480861579535,,,,,,8.5226
386,K01546,,,0.6037263952026529,,,,,,22.709000000000003,,,
387,K01547,,,0.713,,,,,,33.5322,,,
388,K01548,,,0.6771041559954105,,,,,,25.4254,,,
389,K01551,,0.36600000000000005,0.7048396452866134,,,,,5.3262,166.39679999999998,,,
390,K01555,,,0.6479507492749985,,,,,,44.418,,,
391,K01556,,,0.6563745162856656,,,,,,27.871600000000004,,,
392,K01560,,,0.7235566014715261,,,,,,23.9509,,,
393,K01561,,0.408,0.7173705099880083,,,,,5.6974,50.318599999999996,,,
394,K01569,,,0.6012570497371453,,,,,,20.442899999999998,,,
395,K01574,,,0.6209819620451323,,,,,,17.4022,,,
396,K01575,,,0.6890000000000001,,,,,,9.552,,,
397,K01579,,,0.5408529044416139,,,,,,9.0914,,,
398,K01581,,,0.685,,,,,,14.906,,,
399,K01586,,,0.552,,,,,,2.8307,,,
400,K01588,,0.381,0.7006603337087859,,,,,3.6895,91.66799999999999,,,
401,K01591,,,0.7259588813542366,,,,,,27.1322,,,
402,K01595,,,0.6921591522188346,,,0.6579999999999999,,,186.8323,,,2.9132
403,K01596,,,0.5990000000000001,,,,,,2.9392,,,
404,K01599,,,0.6800848285942491,,,,,,22.651799999999998,,,
405,K01602,,,0.687,0.677,,,,,5.7013,3.9283,,
406,K01607,,,0.663246141790599,,,0.6908979343806777,,,216.42300000000006,,,18.0965
407,K01610,,0.38720493306884335,0.6541328585261734,,,,,9.692499999999999,122.8437,,,
408,K01611,,,0.6427898474475704,,,,,,9.937100000000001,,,
409,K01613,,,0.6314440770026348,,,,,,19.092100000000002,,,
410,K01619,,,0.6907014765957753,,,,,,177.7042000000001,,,
411,K01620,,,0.6953228125978408,0.768,,,,,130.45399999999998,8.3447,,
412,K01621,,,0.6247171073423564,,,,,,292.0439,,,
413,K01622,,0.422,,,,,,3.196,,,,
414,K01623,,,0.6755032991129785,,,,,,127.87679999999999,,,
415,K01624,,,0.6680371083511009,,,,,,115.9896,,,
416,K01625,,,0.8050000000000002,,,,,,9.8632,,,
417,K01626,,,0.671591683308665,,,,,,156.62969999999999,,,
418,K01627,,,0.6665066997103127,,,,,,24.785600000000002,,,
419,K01628,,,0.753,,,,,,11.8798,,,
420,K01633,,,0.624296683357051,,,,,,25.4909,,,
421,K01637,,,0.6759759413496375,,,,,,125.6282,,,
422,K01638,,,0.6672335973145472,,,,,,185.78100000000003,,,
423,K01640,,,0.7173564579651429,,,,,,47.4043,,,
424,K01641,,0.384,,,,,,4.8882,,,,
425,K01644,,0.365,0.6531781217692791,,,,,4.5729,35.244099999999996,,,
426,K01652,,,0.675,,,,,,7.765,,,
427,K01653,,,0.6506713000289096,,,,,,140.7765,,,
428,K01657,,,0.7140000000000001,,,,,,8.6565,,,
429,K01658,,,0.5953421681964253,,,,,,16.758,,,
430,K01662,,,0.6656165767234141,,,,,,39.0192,,,
431,K01664,,,0.6870000000000002,,,,,,4.9494,,,
432,K01666,,,0.6842792135129435,,,,,,13.1464,,,
433,K01673,,,0.6348042376245523,,,,,,96.44659999999999,,,
434,K01677,,,0.685,,,,,,12.4947,,,
435,K01678,,,0.6970000000000001,,,,,,11.7103,,,
