,KEGG,GC_adj Bacteria,GC_adjUnclassified,gene_counts Bacteria,gene_countsUnclassified
103,K01478,0.7070000000000001,,5.8561,
104,K01485,0.535,,9.1497,
105,K01488,0.547,,11.0158,
106,K01507,0.6370136661236614,,7.679,
107,K01512,0.733,,3.3992,
108,K01546,0.6082932116352046,,22.7553,
109,K01548,0.6879999999999998,,5.6471,
110,K01591,0.565,,4.4582,
111,K01595,0.5691231618006067,,9.8337,
112,K01596,0.59,,7.9251,
113,K01607,0.612,,9.3385,
114,K01613,0.581,,5.1614,
115,K01619,0.588,,3.3835,
116,K01620,0.574,,3.6185,
117,K01621,0.551,,4.2301,
118,K01623,0.61679260851201,,16.281200000000002,
119,K01624,0.5329999999999999,,2.5163,
120,K01626,0.7140000000000001,,9.1375,
121,K01635,0.5609629650176179,,14.6405,
122,K01637,0.6197231935117629,,12.4399,
123,K01638,0.6523543532399849,,12.562899999999999,
124,K01640,0.6021038352112672,,6.77,
125,K01653,0.631,,4.6938,
126,K01673,0.564776649716367,,7.8576,
127,K01689,0.6420195752948916,,13.7685,
128,K01695,0.583,,4.7689,
129,K01711,0.5968785098821392,,9.449,
130,K01712,0.583,,13.0,
131,K01713,0.57,,4.3898,
132,K01719,0.475,,4.3148,
133,K01733,0.599,,4.7892,
134,K01737,0.6383724827531689,,12.144300000000001,
135,K01749,0.61,,4.2454,
136,K01752,0.70684892154596,,9.9345,
137,K01754,0.63,,5.9594,
138,K01755,0.6541545195107186,,16.5879,
139,K01759,0.5429999999999999,,4.0067,
140,K01772,0.5807158090053963,,12.931999999999999,
141,K01778,0.579,,3.6991,
142,K01779,0.5949986540403888,,9.8458,
143,K01803,0.6830103275021152,,12.9628,
144,K01804,0.5832583499187979,,8.8943,
145,K01834,0.667,,5.9086,
146,K01845,0.631,,4.6442,
147,K01849,0.6759999999999999,,11.9954,
148,K01866,0.593,,10.2444,
149,K01867,0.5710000000000001,,6.5704,
150,K01868,0.5789005558111224,,21.1465,
151,K01872,0.567116617965388,,25.2313,
152,K01875,0.6160000000000001,,1.9474,
153,K01880,0.644,,7.8179,
154,K01881,0.5670000000000001,,9.2335,
155,K01889,0.5871107121034922,,17.8253,
156,K01890,0.6356526382470259,,12.591899999999999,
157,K01912,0.5933611171437893,,16.883000000000003,
158,K01915,0.6048249254665834,,41.822399999999995,
159,K01919,0.684,,5.0316,
160,K01920,0.6409999999999999,,3.7374,
161,K01921,0.7440000000000001,,4.8636,
162,K01933,0.625,,3.6599,
163,K01937,0.6055858381224716,,65.5252,
164,K01939,0.606,,5.0764,
165,K01940,0.5693346578412153,,18.366500000000002,
166,K01945,0.667,,6.194,
167,K01951,0.6296801149847353,,9.6873,
168,K01953,0.55,,3.4019,
169,K01972,0.5540559122083399,,33.2268,
170,K01975,0.631,,4.1638,
171,K01990,0.7240000000000001,,5.9225,
172,K01997,0.652,,4.4134,
173,K02004,0.6060194236308631,,55.184200000000004,
174,K02016,0.5770000000000001,,4.7381,
175,K02020,0.52,,2.8249,
176,K02028,0.473,,6.0014,
177,K02030,0.6509999999999999,,3.4173,
178,K02033,0.627,,5.8544,
179,K02034,0.65,,9.109,
180,K02040,0.6123614637827401,,21.772699999999997,
181,K02050,0.561,,6.3894,
182,K02051,0.659,,4.166,
183,K02066,0.5579999999999999,,3.7241,
184,K02067,0.6779999999999999,,2.9742,
185,K02078,0.6241321889204382,,10.4238,
186,K02109,0.5553730871103675,,6.4681,
187,K02110,0.667,,3.862,
188,K02113,0.637,,3.0753,
189,K02160,0.5802151823876994,,6.859,
190,K02194,0.551,,6.8108,
191,K02195,0.6093941124527528,,8.0363,
192,K02196,0.6559999999999999,,5.2607,
193,K02197,0.6053485933078075,,5.0164,
194,K02200,0.596,,2.9882,
195,K02221,0.6440000000000001,,4.3627,
196,K02238,0.578,,4.3141,
197,K02242,0.589,,1.3659,
198,K02257,0.6142568635694559,,15.012,
199,K02258,0.58,,4.1563,
200,K02259,0.5366496040568026,,8.4062,
201,K02277,0.521,,7.426,
202,K02279,0.6384090360107727,,4.5018,
203,K02304,0.589,,3.6923,
204,K02313,0.586975495693715,,36.7487,
205,K02314,0.6343280681445106,,18.7047,
206,K02315,0.511,,3.6423,
207,K02316,0.5874414765872309,,27.5824,
208,K02338,0.627058549884645,,8.6161,
209,K02342,0.5720000000000001,,6.7331,
210,K02351,0.526,,4.8683,
211,K02356,0.562,,6.0822,
212,K02357,0.57,,13.2385,
213,K02358,0.633,,46.709,
214,K02388,0.6559999999999999,,3.4418,
215,K02393,0.64,,5.8256,
216,K02429,0.5710000000000001,,5.3499,
217,K02435,0.6809999999999999,,3.9581,
218,K02437,0.5223407824827337,,12.2228,
219,K02440,0.5820000000000001,,4.8181,
220,K02492,0.614618846266492,,9.994299999999999,
221,K02510,0.641790099053481,,12.339099999999998,
222,K02518,0.6095702842038359,,15.958200000000001,
223,K02519,0.611,,10.567,
224,K02520,0.6075521637495996,,25.7999,
225,K02527,0.5670000000000001,,6.1054,
226,K02536,0.583,,8.3333,
227,K02600,0.6859999999999999,,12.1007,
228,K02601,0.5234157881057754,,17.299300000000002,
229,K02614,0.634,,3.2641,
230,K02616,0.7210440002240874,,7.2378,
231,K02626,0.58,,10.3064,
232,K02651,0.512,0.642,7.2077,1.9886
233,K02657,0.5097923849028486,,11.3507,
234,K02662,0.575,,13.3106,
235,K02664,0.607,,2.5898,
236,K02784,0.581,,7.4858,
237,K02825,0.684,,7.1479,
238,K02834,0.607,,3.1002,
239,K02838,0.5426098705259248,,30.359,
240,K02862,0.526,,4.8683,
241,K02864,0.5986909859170181,,10.2654,
242,K02878,0.615,,13.2245,
243,K02879,0.568,,5.0482,
244,K02881,0.589,,5.8128,
245,K02884,0.595,,4.2706,
246,K02886,0.5710000000000001,,6.2678,
247,K02887,0.5847989652526787,,21.829900000000002,
248,K02888,0.629,,2.0986,
249,K02892,0.6120000000000001,,6.6427,
250,K02897,0.6920000000000001,,4.5571,
251,K02902,0.5905642126501142,,13.081199999999999,
252,K02904,0.620245685281096,,7.8156,
253,K02906,0.58,,13.0734,
254,K02909,0.6051755627787644,,9.7262,
255,K02914,0.6,,4.3846,
256,K02935,0.6295011686510962,,19.624899999999997,
257,K02939,0.5770901733482305,,7.0665,
258,K02945,0.5455603201795551,,30.4426,
259,K02946,0.5903663131036971,,23.772100000000002,
260,K02948,0.6655792749522518,,21.1634,
261,K02950,0.6700000000000002,,25.7773,
262,K02952,0.6134279465339185,,14.3152,
263,K02961,0.5729783394641701,,10.3068,
264,K02963,0.575,,2.8009,
265,K02965,0.5838982626045728,,22.599600000000002,
266,K02967,0.588236587778333,,27.2941,
267,K02968,0.622112122553081,,6.2057,
268,K02970,0.515,,6.8133,
269,K02986,0.624767925692419,,15.508700000000001,
270,K02988,0.6909364688028821,,21.7531,
271,K02990,0.631010918312795,,10.7044,
272,K02996,0.606,,6.4222,
273,K03040,0.5355555843042127,,30.7436,
274,K03043,0.5589999999999999,,11.3116,
275,K03060,0.525,,4.6624,
276,K03073,0.49892893818032447,,12.1725,
277,K03088,0.6030506933971129,,115.70690000000002,
278,K03092,0.5479999999999999,,11.3025,
279,K03100,0.598334268829326,,8.1065,
280,K03101,0.5820000000000001,,1.9777,
281,K03111,0.62,0.522,9.0872,3.2339
282,K03116,0.542,,5.3405,
283,K03118,0.5761940722905657,,12.718,
284,K03189,0.67,,8.3904,
285,K03210,0.583,,1.9619,
286,K03217,0.5877151315573258,,8.738199999999999,
287,K03270,0.6579999999999999,,4.4328,
288,K03271,0.539,,6.4386,
289,K03273,0.5710000000000001,,4.8422,
290,K03282,0.626,,6.7396,
291,K03286,0.607,,4.8168,
292,K03301,0.5695492671440399,,10.9555,
293,K03303,0.5699814867545406,,9.5343,
294,K03337,0.5856555860465301,,16.8213,
295,K03392,0.6518381544413508,,7.508699999999999,
296,K03402,0.612,,3.5508,
297,K03406,0.54,,4.6423,
298,K03408,0.5710000000000001,,5.5624,
299,K03409,0.594,,8.8349,
300,K03438,0.57403578637641,,21.447699999999998,
301,K03449,0.539,,4.9479,
302,K03466,0.6493741148415322,,36.5407,
303,K03470,0.624,,4.2038,
304,K03478,0.515,,7.8706,
305,K03495,0.6085411663730329,,11.1599,
306,K03496,0.5753564715876252,,19.6552,
307,K03497,0.5955922203412389,,18.6065,
308,K03501,0.573,,5.1686,
309,K03503,0.616,,5.5498,
310,K03521,0.6709999999999999,,2.5691,
311,K03523,0.613,,6.2629,
312,K03525,0.606,,8.998,
313,K03527,0.5782557842411015,,14.2256,
314,K03531,0.6060018864703232,,25.7203,
315,K03544,0.5401924256963919,,38.1935,
316,K03545,0.51,,4.0579,
317,K03549,0.625,,3.8399,
318,K03556,0.6070476955236613,,56.058499999999995,
319,K03559,0.5468612737698638,,21.5687,
320,K03561,0.6225885681233575,,18.3218,
321,K03563,0.6063002582944125,,9.9458,
322,K03564,0.652,,5.2452,
323,K03568,0.573,,12.2584,
324,K03569,0.6403306094738495,,22.3601,
325,K03570,0.6076276856378134,,10.324200000000001,
326,K03575,0.642,,1.8275,
327,K03584,0.604,,4.3705,
328,K03589,0.5760000000000001,,6.4719,
329,K03590,0.618,,8.5242,
330,K03594,0.5530679023117832,,6.958,
331,K03595,0.645,,4.4769,
332,K03598,0.6629999999999999,,5.5362,
333,K03601,0.611,,5.3608,
334,K03602,0.5457190194984644,,8.9403,
335,K03610,0.507,,3.9676,
336,K03611,0.596,,4.5421,
337,K03621,0.593,,4.1627,
338,K03624,0.624,,5.9357,
339,K03625,0.5159683822026698,,12.2762,
340,K03628,0.5931366376215458,,63.380300000000005,
341,K03630,0.584,,5.3995,
342,K03631,0.703,,5.0771,
343,K03636,0.56,,4.1395,
344,K03637,0.563,,7.0023,
345,K03639,0.524,,3.8519,
346,K03644,0.6334450458152646,,52.1683,
347,K03650,0.6091624246355974,,10.5358,
348,K03652,0.6370672333190253,,11.7155,
349,K03664,0.6387413534613989,,16.0506,
350,K03665,0.594,,5.5338,
351,K03666,0.503808064168894,,9.9549,
352,K03667,0.5539999999999999,,15.2377,
353,K03671,0.6293703503581626,,21.0859,
354,K03683,0.7070000000000001,,2.8519,
355,K03687,0.511,,2.9419,
356,K03702,0.621,,11.0521,
357,K03704,0.5495106252985505,,23.2999,
358,K03705,0.6235096108116615,,12.0435,
359,K03709,0.662,,4.8722,
360,K03711,0.598,,3.7495,
361,K03719,0.6092606152710833,,6.497999999999999,
362,K03734,0.527,,3.5693,
363,K03737,0.535,,7.3318,
364,K03741,0.5870000000000001,,5.4265,
365,K03744,0.5890533217650986,,9.6311,
366,K03770,0.604,,4.8589,
367,K03781,0.614,,2.7965,
368,K03790,0.447,,2.4567,
369,K03797,0.6212082230813005,,13.0469,
370,K03817,0.447,,2.4567,
371,K03821,0.607,,3.3517,
372,K03832,0.6052192864641347,0.64,11.1714,3.3709
373,K03892,0.636,,3.6633,
374,K03924,0.5431945824866747,,19.984199999999998,
375,K03925,0.5661436443642074,,13.2254,
376,K03928,0.535,,5.75,
377,K03932,0.555,,5.0754,
378,K03969,0.688,,11.2085,
379,K03975,0.5605061762183268,,17.3124,
380,K03978,0.695,,2.8441,
381,K03981,0.604,,4.0314,
382,K04062,,0.601,,3.093
383,K04065,0.541270104051194,,11.7487,
384,K04066,0.604,,7.4856,
385,K04077,0.6167460598262724,,70.7732,
386,K04078,0.5526701803288023,,12.0529,
387,K04082,0.565,,2.5107,
388,K04485,0.57,,5.9801,
389,K04564,0.5891340547042212,,8.970099999999999,
390,K04567,0.5,,5.9096,
391,K04654,0.665,,15.0841,
392,K04655,0.595,,9.6617,
393,K04656,0.575,,4.4075,
394,K04749,0.5338497003502947,,17.1947,
395,K04750,0.5820812390735932,,10.861799999999999,
396,K04751,0.5329999999999999,,7.6621,
397,K04757,0.528,,7.4948,
398,K04762,0.568,,4.1252,
399,K04763,0.627563627689717,,20.9042,
400,K05281,0.5900734978930954,,7.097799999999999,
401,K05555,0.575,,6.5181,
402,K05594,0.611,0.604,2.6511,2.7996
403,K05595,0.597,,4.8361,
404,K05807,0.6346731511073469,,7.4261,
405,K05810,0.73,,3.7883,
406,K05845,0.645,,4.8635,
407,K05879,0.547,,4.4991,
408,K05896,0.657943466335203,,16.3464,
409,K05937,0.4639999999999999,,5.3873,
410,K05972,0.5760000000000001,,7.7212,
411,K05979,0.6759999999999999,,4.7155,
412,K06013,0.609,,2.6309,
413,K06024,0.6008828229027963,,10.2133,
414,K06048,0.5818393529214951,,21.5555,
415,K06076,,0.648,,2.8531
416,K06133,0.5462087822355399,,6.6204,
417,K06134,0.7149999999999999,,4.7885,
418,K06137,0.589,,3.0972,
419,K06153,0.5842440656371445,,10.8736,
420,K06167,0.5770000000000001,,7.2071,
421,K06178,0.642,,3.8717,
422,K06187,0.584,,3.3155,
423,K06195,0.569,,4.3287,
424,K06204,0.5895718351076134,,14.6131,
425,K06213,0.542,,2.6129,
426,K06215,0.5918570836533495,,17.8587,
427,K06287,0.5479999999999999,,3.7233,
428,K06402,0.573,,7.9644,
429,K06416,0.679,,6.3545,
430,K06442,0.55,,10.5239,
431,K06872,0.628,,6.2028,
432,K06884,0.48500000000000004,,4.3714,
433,K06886,0.59,,3.1024,
434,K06888,0.605,,8.7569,
435,K06891,0.55,,5.7145,
436,K06893,0.5766197833042674,,31.9801,
437,K06897,0.5604623052623726,,13.0795,
438,K06911,0.6257116295953498,,6.4573,
439,K06925,0.557,,3.5043,
440,K06929,0.528,,2.9362,
441,K06934,0.556,,1.7592,
442,K06937,0.568,,18.197,
443,K06941,0.5720000000000001,,6.9469,
444,K06945,0.6579999999999999,,11.0434,
445,K06950,0.5429999999999999,,5.8384,
446,K06958,0.5710000000000001,,5.3359,
447,K06987,0.643,,6.419,
448,K06996,0.6593458378479204,,13.842600000000001,
449,K06998,0.5854015752812629,,14.4648,
450,K07005,,0.638,,3.43
451,K07018,0.542,,4.2512,
452,K07031,0.529,,6.5797,
453,K07034,0.531,,3.7069,
454,K07042,0.484,,4.541,
455,K07052,0.6170411487225279,0.6004509851990317,10.9311,5.884
456,K07056,0.5647495070956935,,7.792199999999999,
457,K07058,0.5556222926008567,0.6131436110263991,17.4347,7.651
458,K07068,0.49799999999999994,,4.179,
459,K07071,0.6470000000000001,,2.1194,
460,K07082,0.584,,6.267,
461,K07089,0.655,,2.7197,
462,K07090,0.672,,3.1961,
463,K07100,0.6509999999999999,,5.1469,
464,K07106,0.643,,2.774,
465,K07126,0.5630653431060816,,28.4599,
466,K07140,0.6409999999999999,,5.914,
467,K07141,0.5868018714986586,,9.1869,
468,K07150,0.684,,2.3796,
469,K07152,0.6012504984869403,,12.9088,
470,K07154,0.57,,4.098,
471,K07171,0.589,,3.959,
472,K07192,0.5539999999999999,,8.78,
473,K07243,0.5875275365613193,,16.469,
474,K07259,0.6462090343444707,,9.9729,
475,K07261,0.695,,3.6759,
476,K07300,0.5726455656385727,,8.6683,
477,K07302,0.6336680147533243,,12.6442,
478,K07304,0.6343805630723921,,19.867299999999997,
479,K07315,0.545928891551155,,15.3903,
480,K07323,0.585,,5.5052,
481,K07397,0.5657576078905959,,10.5754,
482,K07402,0.6092444987445336,,15.479,
483,K07407,0.578,,5.7506,
484,K07443,0.561,,2.2366,
485,K07448,0.6629999999999999,,1.7381,
486,K07450,0.5571568231876874,,35.6351,
487,K07451,0.5359189840666565,,19.8273,
488,K07461,0.5438499482390832,,7.7408,
489,K07462,0.5760000000000001,,5.0504,
490,K07480,0.48460316710709045,,14.4938,
491,K07481,0.6345576488561712,,45.858599999999996,
492,K07482,0.6360721962526159,,97.16239999999999,
493,K07483,0.6078128430631163,0.5989288858101428,184.2042,16.5064
494,K07484,0.6061088981938236,,129.97889999999998,
495,K07485,0.5898414171063879,,286.9366,
496,K07486,0.6290032559259906,0.6877969158888314,1086.5433,31.7885
497,K07487,0.6247855640077219,,43.838699999999996,
498,K07488,0.5637158778579842,,8.1461,
499,K07491,0.5112785061582119,,29.4126,
500,K07492,0.611106984063908,,108.68379999999998,
501,K07493,0.6404466270869803,,444.4623,
502,K07494,0.5751412856008871,,227.86419999999998,
503,K07495,0.6208374726396577,,25.984199999999998,
504,K07496,0.5419570395436697,,158.5334,
505,K07497,0.6148211535003091,0.546,664.4935,4.4005
506,K07498,0.5587125554643954,,24.9653,
507,K07499,0.6252806485245438,,37.522999999999996,
508,K07501,0.619,,3.2806,
509,K07736,0.496,,4.5696,
510,K07738,0.5997229871518893,,8.856300000000001,
511,K07755,0.696,,7.8802,
512,K07793,0.612,,6.592,
513,K07795,0.625,,4.7007,
514,K07979,0.583586819281022,,8.1683,
515,K08086,0.613,,1.3942,
516,K08316,0.5274774314393503,,9.3202,
517,K08482,0.4812595138574592,,34.2004,
518,K08591,0.5768685986283947,,4.3525,
519,K08602,0.503,,2.7154,
520,K08641,0.564,,4.3955,
521,K08681,0.49726757000326244,,13.697500000000002,
522,K08972,0.554442673058634,,7.4097,
523,K08995,0.562,,4.1829,
524,K08999,0.5277170423123366,,10.6507,
525,K09004,0.561,,2.0156,
526,K09013,0.582521023495874,,13.8658,
527,K09014,0.6,,13.5228,
528,K09022,0.6084596346586786,,25.2163,
529,K09117,0.541,,4.9213,
530,K09118,0.635,,5.5225,
531,K09165,0.518,,6.9605,
532,K09457,0.636,,3.8591,
533,K09703,0.731,,3.3726,
534,K09710,0.494,,6.4366,
535,K09748,0.63,,4.0487,
536,K09763,0.65,,3.3631,
537,K09767,0.552,,3.7418,
538,K09778,0.603,,5.5868,
539,K09779,0.58,,4.9294,
540,K09780,0.498,,5.1063,
541,K09786,0.616,,4.7569,
542,K09791,0.67,,3.5734,
543,K09826,0.688,,5.2873,
544,K09888,0.5670000000000001,,1.8998,
545,K09889,0.6459999999999999,,5.1739,
546,K09903,0.581,,5.6535,
547,K09924,0.51,,2.299,
548,K09927,0.669,,3.2711,
549,K09930,0.626,,4.7465,
550,K09951,0.5720000000000001,,6.7331,
551,K09984,0.4379999999999999,,4.466,
552,K09989,0.6599444228376337,,11.559099999999999,
553,K10773,0.585,,2.505,
554,K10822,0.473,,6.0014,
555,K10947,0.456,,5.0404,
556,K10979,0.6241350326419697,,24.0676,
557,K11477,0.529,,10.8005,
558,K11529,0.614,,4.7946,
559,K11690,0.652,,5.4649,
560,K11749,0.5411784857704384,,10.010100000000001,
561,K11753,0.539,,4.4371,
562,K11991,0.6,,3.9232,
563,K12132,0.59,,8.2774,
564,K12373,0.5743497455251233,,6.411,
565,K12510,0.583710946485167,,12.2098,
566,K12574,0.5982577190503293,,26.8966,
567,K12979,0.596,,5.2316,
568,K12984,0.6699999999999999,,3.4301,
569,K13018,0.589,,2.1252,
570,K13075,0.539,,12.2827,
571,K13288,0.6978630837760585,,10.645900000000001,
572,K13292,0.5822542198601655,,9.3984,
573,K13628,0.575,,5.9799,
574,K13985,0.593,,7.8909,
575,K13993,0.5577526354847029,,25.4485,
576,K14083,0.6738720585375853,,12.183499999999999,
577,K14136,0.727,,3.1029,
578,K14189,0.478,,14.2732,
579,K14340,0.615,,3.56,
580,K14673,0.643,,2.9403,
581,K15257,0.696,,7.4425,
582,K15633,0.6559999999999999,,2.1921,
583,K15724,0.589,,5.8809,
584,K15762,0.619,,3.3553,
585,K15777,0.7040000000000001,,3.2271,
586,K15977,0.5842741458386268,,11.9097,
587,K15986,0.664,,9.2368,
588,K16079,0.5350379764263903,,7.0021,
589,K16137,0.6098691345436196,,13.8069,
590,K16147,0.527,,6.2608,
591,K16203,0.5330358418783927,,9.715399999999999,
592,K16652,0.522,,5.6297,
593,K17103,0.581,,5.3673,
594,K17227,0.593,,5.0291,
595,K17285,0.5466992037007123,,7.4756,
596,K17836,0.5660000000000001,,8.1357,
597,K17994,0.5379999999999999,,3.9272,
598,K18013,0.613,,4.7662,
599,K18290,0.648,,4.2044,
600,K18588,0.6,,5.105,
601,K18672,0.585,,5.3981,
602,K18682,0.5930227932996621,,10.7044,
603,K18843,0.4957592883582346,,15.066600000000001,
604,K18979,0.6509999999999999,,4.9496,
605,K19271,0.529,,2.508,
606,K19687,0.623,,3.2392,
607,K19689,0.5200045882886597,,11.5212,
608,K20074,0.7193003700773729,,4.8098,
609,K20523,0.565,,14.7698,
610,K20950,0.531,,2.3796,
611,K21394,0.645,,6.8875,
612,K21470,0.6071085370227802,,6.2301,
613,K21472,0.635,,4.4886,
614,K21744,0.4629999999999999,,3.2516,
615,K21908,0.556,,3.8194,
616,K21919,0.537,,3.2295,
617,K21929,0.6065399755588395,,10.0227,
618,K22278,0.586,,3.8435,
619,K22299,0.664,,9.8881,
620,K22452,0.6684277583160702,,10.1961,
621,K22468,0.642,,4.1975,
622,K22479,0.585,,5.5481,
623,K22522,0.616,,3.0206,
624,K22736,0.579850495106024,,15.7573,
625,K23222,0.7190000000000001,,18.2615,
626,K23242,0.675,,3.4878,
627,K23264,0.5618424233170061,,9.4151,
628,K24131,0.634,,1.5419,
