,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adj Riboviria,GC_adj Varidnaviria,GC_adj unclassified viruses,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_counts Riboviria,gene_counts Varidnaviria,gene_counts unclassified viruses,gene_countsUnclassified
81,K00450,,,0.6577696190192411,,,,,,,,,8.4292,,,,,,
82,K00451,,,0.667654395874981,,,,,,,,,89.2312,,,,,,
83,K00452,,,0.550815535970462,,,,,,,,,10.714500000000001,,,,,,
84,K00453,,,0.6719016499524527,,,,,,,,,18.2851,,,,,,
85,K00455,,,0.7090000000000001,,,,,,,,,8.6502,,,,,,
86,K00456,,,0.518,,,,,,,,,1.7771,,,,,,
87,K00457,,,0.6586913110427179,,,,,,,,,84.6263,,,,,,
88,K00459,,,0.6935294358089653,,,,,,,,,100.80859999999998,,,,,,
89,K00467,,,0.718,,,,,,,,,6.1381,,,,,,
90,K00481,,,0.6920000000000001,,,,,,,,,10.2971,,,,,,
91,K00496,,,0.6776347025484877,,,,,,,,,16.0716,,,,,,
92,K00500,,,0.68,,,,,,,,,5.998,,,,,,
93,K00507,,,0.6688457433209544,,,,,,,,,78.29289999999999,,,,,,
94,K00518,,,0.6421469513828957,,,,,,,,,17.5987,,,,,,
95,K00525,,,0.6711194194255629,,,,,,,,,83.4884,,,,,,
96,K00526,,,0.6068131301113543,,,,,,,,,18.3625,,,,,,
97,K00528,,,0.618370093107362,,,,,,,,,23.9408,,,,,,
98,K00537,,,0.5887529524356397,,,,,,,,,4.7581,,,,,,
99,K00540,,,0.6782626977715792,,,,,,0.7080000000000001,,,74.76520000000001,,,,,,2.4181
100,K00544,,,0.7061861088350897,,,,,,,,,16.2533,,,,,,
101,K00548,,,0.6570962366686807,,,,,,,,,77.30940000000001,,,,,,
102,K00549,,,0.6586620761389927,,,,,,,,,261.60959999999994,,,,,,
103,K00554,,,0.7131279976857641,,,,,,,,,17.6472,,,,,,
104,K00558,,,0.5567217500183108,,,,,,,,,8.2151,,,,,,
105,K00560,,,0.6545467095087797,,,,,,0.546,,,54.1487,,,,,,5.3753
106,K00564,,,0.76,,,,,,,,,5.906,,,,,,
107,K00566,,,0.678,,,,,,,,,5.1772,,,,,,
108,K00567,,,0.7077452524709079,,,,,,,,,17.9355,,,,,,
109,K00569,,,0.684,,,,,,,,,3.073,,,,,,
110,K00570,,,0.6378587962576505,,,,,,,,,16.466199999999997,,,,,,
111,K00573,,,0.6818841584961968,,,,,,,,,25.084699999999998,,,,,,
112,K00574,,,0.6905061145390241,,,,,,,,,67.9772,,,,,,
113,K00575,,,0.7191213859030827,,,,,,,,,7.3438,,,,,,
114,K00588,,,0.6994010092117011,,,,,,,,,8.2515,,,,,,
115,K00598,,,0.708,,,,,,,,,4.7645,,,,,,
116,K00600,,,0.6748660200696814,,,,,,,,,189.51219999999995,,,,,,
117,K00602,,,0.6902709204371053,,,,,,,,,90.5389,,,,,,
118,K00604,,,0.7464193992505974,,,,,,,,,11.975,,,,,,
119,K00606,,,0.6710909624870598,,,,,,,,,50.706199999999995,,,,,,
120,K00609,,,0.6894304605847096,,,,,,,,,28.8345,,,,,,
121,K00611,,,0.6812728571903272,,,,,,,,,25.986200000000004,,,,,,
122,K00612,,,0.7319001763217543,,,,,,,,,11.250499999999999,,,,,,
123,K00613,,,0.523,,,,,,,,,6.92,,,,,,
124,K00615,,,0.6793156603235602,,,,,,,,,31.745900000000002,,,,,,
125,K00616,,,0.697,,,,,,,,,5.7137,,,,,,
126,K00619,,,0.643,,,,,,,,,6.1267,,,,,,
127,K00620,,,0.6548875487433684,,,,,,,,,19.3583,,,,,,
128,K00626,,,0.6939922005909454,,,,,,,,,135.26080000000002,,,,,,
129,K00632,,,0.704,,,,,,,,,5.9582,,,,,,
130,K00635,,,0.6958408377893055,,,,,,0.7203218906623745,,,100.73740000000001,,,,,,8.0718
131,K00640,,,0.644327732501877,,,,,,,,,42.917899999999996,,,,,,
132,K00641,,,0.6756791476520931,,,,,,,,,107.10309999999998,,,,,,
133,K00643,,,0.606,,,,,,,,,5.3682,,,,,,
134,K00648,,,0.7084985602082398,,,,,,,,,16.362299999999998,,,,,,
135,K00655,,,0.7042289531442636,,,,,,,,,28.8091,,,,,,
136,K00657,,,0.6272365300012397,,,,,,,,,24.558899999999998,,,,,,
137,K00661,,,0.7174434631961232,,,,,,,,,8.0153,,,,,,
138,K00662,,,0.7119444797090086,,,,,,,,,7.9395999999999995,,,,,,
139,K00663,,,0.69,,,,,,,,,2.166,,,,,,
140,K00674,,,0.6704353427043944,,,,,,,,,57.524300000000004,,,,,,
141,K00677,,,0.653569155900539,,,,,,,,,11.1142,,,,,,
142,K00682,,,0.7007311671015425,,,,,,,,,14.896,,,,,,
143,K00683,,,0.6157480226388,,,,,,,,,9.4691,,,,,,
144,K00688,,,0.6704838726559781,,,,,,,,,97.25590000000001,,,,,,
145,K00700,,,0.6810807426359367,,,,,,,,,79.28719999999998,,,,,,
146,K00703,,,0.639613227698423,,,,,,,,,11.8528,,,,,,
147,K00705,,,0.705,,,,,,,,,5.4268,,,,,,
148,K00720,,,0.631,,,,,,,,,2.5275,,,,,,
149,K00721,,,0.652,,,,,,,,,5.8866,,,,,,
150,K00728,,,0.6890000000000001,,,,,,,,,11.0665,,,,,,
151,K00748,,,0.7224887102555305,,,,,,,,,11.9499,,,,,,
152,K00754,,,0.672,,,,,,,,,5.4317,,,,,,
153,K00759,,,0.6664216579586676,,,,,,,,,34.144999999999996,,,,,,
154,K00760,,,0.6736091273318768,,,,,,,,,19.2265,,,,,,
155,K00761,,,0.679,,,,,,,,,4.0274,,,,,,
156,K00762,,,0.7444555064143199,,,,,,,,,18.9848,,,,,,
157,K00763,,,0.6981887808755571,,,,,,,,,30.729499999999998,,,,,,
158,K00764,,,0.6838073986711316,,,,,,,,,113.49090000000001,,,,,,
159,K00765,,,0.694599181899681,,,,,,,,,27.8518,,,,,,
160,K00766,,,0.7150995134598374,,,,,,,,,44.193799999999996,,,,,,
161,K00767,,,0.725,,,,,,,,,5.4317,,,,,,
162,K00768,,,0.768,,,,,,,,,4.4941,,,,,,
163,K00769,,,0.6118369807498993,,,,,,,,,17.476799999999997,,,,,,
164,K00773,,,0.7002761964739196,,,,,,,,,16.3486,,,,,,
165,K00782,,,0.755,,,,,,,,,5.3296,,,,,,
166,K00783,,,0.6681981577167637,,,,,,,,,14.8088,,,,,,
167,K00784,,,0.7155137863266248,,,,,,,,,13.5948,,,,,,
168,K00788,,,0.7631958687506701,,,,,,,,,5.8581,,,,,,
169,K00789,,,0.6647350318489815,,,,,,,,,203.08290000000005,,,,,,
170,K00790,,,0.7035803537881252,,,,,,,,,49.3244,,,,,,
171,K00791,,,0.7235845088444303,,,,,,,,,10.1175,,,,,,
172,K00793,,,0.6690920072792055,,,,,,,,,27.3684,,,,,,
173,K00794,,,0.7029718301696569,,,,,,,,,13.1757,,,,,,
174,K00796,,,0.747,,,,,,,,,5.4715,,,,,,
175,K00798,,,0.66528716842444,,,,,,,,,49.4771,,,,,,
176,K00799,,,0.6126807301156855,,,,,,,,,132.6847,,,,,,
177,K00800,,,0.6652350124957176,,,,,,,,,35.757799999999996,,,,,,
178,K00806,,,0.7030000000000001,,,,,,,,,4.6702,,,,,,
179,K00808,,,0.625,,,,,,,,,12.9644,,,,,,
180,K00809,,,0.6399553810451564,,,,,,,,,19.9522,,,,,,
181,K00820,,,0.6719021347739518,,,,,,,,,70.1285,,,,,,
182,K00826,,,0.6930034108393256,,,,,,,,,39.2193,,,,,,
183,K00845,,,0.6990000000000001,,,,,,,,,5.7166,,,,,,
184,K00848,,,0.73,,,,,,,,,6.5251,,,,,,
185,K00851,,,0.696,,,,,,,,,4.0376,,,,,,
186,K00853,,,0.736,,,,,,,,,6.0943,,,,,,
187,K00855,,,0.701,,,,,,,,,5.7807,,,,,,
188,K00857,,,0.6826458501062593,,,,,,,,,9.1742,,,,,,
189,K00858,,,0.7146955234054377,,,,,,,,,25.909399999999998,,,,,,
190,K00859,,,0.7293835037057016,,,,,,,,,12.7823,,,,,,
191,K00865,,,0.7758886083306367,,,,,,,,,9.373899999999999,,,,,,
192,K00873,,,0.6870369711486946,,,,,,,,,99.9524,,,,,,
193,K00876,,,0.675,,,,,,,,,5.3484,,,,,,
194,K00878,,,0.741,,,,,,,,,5.4263,,,,,,
195,K00886,,,0.7009999999999998,,,,,,,,,6.5355,,,,,,
196,K00891,,,0.701274458261791,,,,,,,,,16.1426,,,,,,
197,K00899,,,0.61,,,,,,,,,4.0364,,,,,,
198,K00906,,,0.6809999999999999,,,,,,,,,3.6896,,,,,,
199,K00919,,,0.7293153182611639,,,,,,,,,27.5603,,,,,,
200,K00925,,,0.7018921773661403,,,,,,,,,24.070299999999996,,,,,,
201,K00926,,,0.6966891084309336,,,,,,,,,26.571799999999996,,,,,,
202,K00927,,,0.6977157832233333,,,,,,,,,33.4349,,,,,,
203,K00930,,,0.6896790774455334,,,,,,,,,33.3689,,,,,,
204,K00936,,,0.6833679626749611,,,,,,,,,10.5776,,,,,,
205,K00937,,,0.6933729362305189,,,,,,,,,32.3977,,,,,,
206,K00939,,,0.7101989605541873,,,,,,,,,14.0546,,,,,,
207,K00940,,,0.6312431917611808,,,,,,,,,17.3422,,,,,,
208,K00942,,,0.6847980991486876,,,,,,,,,8.3689,,,,,,
209,K00943,,,0.6947056781534299,,,,,,,,,16.0177,,,,,,
210,K00945,,,0.6942647888190567,,,,,,0.643,,,26.831100000000003,,,,,,4.0304
211,K00946,,0.638,0.6853561774594502,,,,,,,,5.8057,14.2015,,,,,,
212,K00947,,,0.6770053285968028,,,,,,,,,13.375,,,,,,
213,K00948,,,0.6580002360535011,,,,,,,,,113.10880000000002,,,,,,
214,K00950,,,0.6965511220940949,,,,,,,,,17.4442,,,,,,
215,K00954,,,0.6302283070262648,,,,,,,,,48.378600000000006,,,,,,
216,K00955,,,0.7020000000000001,,,,,,,,,10.0952,,,,,,
217,K00956,,,0.7020000000000001,,,,,,,,,10.0952,,,,,,
218,K00957,,,0.6665656556086709,,,,,,,,,47.961400000000005,,,,,,
219,K00962,,,0.695218910508535,,,,,,,,,44.637100000000004,,,,,,
220,K00963,,,0.6633198364723623,,,,,,,,,23.827199999999998,,,,,,
221,K00965,,,0.715,,,,,,,,,6.6672,,,,,,
222,K00969,,,0.6835227941095599,,,,,,,,,37.7119,,,,,,
223,K00971,,,0.6764939883954048,,,,,,,,,19.324199999999998,,,,,,
224,K00975,,,0.6785368651781172,,,,,,,,,22.2017,,,,,,
225,K00978,,,0.65,,,,,,,,,6.4942,,,,,,
226,K00979,,,0.72,,,,,,,,,8.6544,,,,,,
227,K00981,,,0.6654901351925729,,,,,,,,,30.414700000000003,,,,,,
228,K00982,,,0.6908178371710988,,,,,,,,,16.1674,,,,,,
229,K00986,,,0.6020614384598889,,,,,,,,,318.8009000000002,,,,,,
230,K00989,,,0.7236293449007491,,,,,,,,,31.5197,,,,,,
231,K00990,,,0.6768045756222281,,,,,,,,,38.8606,,,,,,
232,K00991,,,0.7390000000000001,,,,,,,,,3.7663,,,,,,
233,K00997,,,0.65,,,,,,,,,1.8858,,,,,,
234,K01000,,,0.6784395139701356,,,,,,,,,24.686999999999998,,,,,,
235,K01004,,,0.6809999999999999,,,,,,,,,4.5174,,,,,,
236,K01005,0.7040000000000001,,0.6610572139809965,,,,,,,1.2629,,41.7504,,,,,,
237,K01006,,,0.7000430077347554,,,,,,,,,22.5804,,,,,,
238,K01008,,,0.6906971676291955,,,,,,,,,14.4271,,,,,,
239,K01011,,,0.715,,,,,,,,,8.4238,,,,,,
240,K01012,,,0.6923084865098441,,,,,,,,,28.3013,,,,,,
241,K01039,,,0.6835010654579783,,,,,,,,,30.693400000000004,,,,,,
242,K01040,,,0.7103480234918697,,,,,,,,,12.274899999999999,,,,,,
243,K01045,,,,,0.687,,,,,,,,,5.2934,,,,
244,K01046,,,0.7240000000000001,,,,,,,,,4.3174,,,,,,
245,K01048,,,0.6679999999999999,,,,,,,,,6.367,,,,,,
246,K01051,,,0.728,,,,,,,,,4.5015,,,,,,
247,K01056,,,0.6908218345378376,,,,,,,,,32.4552,,,,,,
248,K01057,,,0.7626865330827725,,,,,,,,,9.1528,,,,,,
249,K01060,,,0.7186792843734875,,,,,,,,,14.2148,,,,,,
250,K01061,,,0.6894084206217741,,,,,,,,,54.8741,,,,,,
251,K01066,,,0.74,,,,,,,,,7.6343,,,,,,
252,K01069,,,0.685332772722619,,,,,,,,,32.6907,,,,,,
253,K01071,,,0.7088942543379353,,,,,,,,,10.8342,,,,,,
254,K01075,,,0.531,,,,,,,,,2.6372,,,,,,
255,K01076,,,0.695,,,,,,,,,6.7955,,,,,,
256,K01079,,,0.677301354133857,,,,,,,,,12.165099999999999,,,,,,
257,K01082,,,0.7499999999999999,,,,,,,,,5.6227,,,,,,
258,K01091,,,0.6708048260989965,,,,,,,,,7.8076,,,,,,
259,K01092,,,0.74,,,,,,,,,6.6518,,,,,,
260,K01104,,,0.7178698355788471,,,,,,,,,12.5794,,,,,,
261,K01113,,,0.6272540323437238,,,,,,,,,36.2431,,,,,,
262,K01114,,,0.6861373592066438,,,,,,,,,55.58890000000001,,,,,,
263,K01115,,,0.6409999999999999,,,,,,,,,7.1804,,,,,,
264,K01118,,,0.598,,,,,,,,,3.0311,,,,,,
265,K01119,,,0.7120000000000001,,,,,,,,,4.9839,,,,,,
266,K01126,,,0.7094207964910417,,,,,,,,,10.433499999999999,,,,,,
267,K01129,,,0.6871616583991557,,,,,,,,,31.6649,,,,,,
268,K01142,,,0.696,,,,,,,,,7.0187,,,,,,
269,K01151,,,0.7027303097007911,,,,,,,,,16.423299999999998,,,,,,
270,K01159,,,0.679665908950191,,,,,,,,,48.737700000000004,,,,,,
271,K01160,,,0.698,,,,,,,,,2.8354,,,,,,
272,K01173,,,0.6946097729987596,,,,,,,,,14.6803,,,,,,
273,K01174,0.6809999999999999,,,,,,,,0.531,2.8252,,,,,,,,1.9392
274,K01176,,,0.696,,,,,,,,,5.4293,,,,,,
275,K01181,,,0.6535633198961955,,,,,,,,,13.0903,,,,,,
276,K01183,,,0.695,,,,,,,,,5.2691,,,,,,
277,K01190,,,0.6950000000000001,,,,,,,,,5.47,,,,,,
278,K01206,,,0.5654300947940037,,,,,,,,,16.4072,,,,,,
279,K01207,,,0.7341454132499327,,0.753,,,,,,,11.9057,,4.2461,,,,
280,K01209,,,0.649104450063313,,0.715,,,,,,,12.8888,,5.9728,,,,
281,K01218,,,0.638,,,,,,,,,3.1478,,,,,,
282,K01224,,,,,,,,,0.693,,,,,,,,,5.5786
283,K01239,,,0.7258991963066619,,,,,,,,,7.472300000000001,,,,,,
284,K01241,,,0.6360131259435903,,,,,,,,,14.9585,,,,,,
285,K01246,,,0.6499898214809181,,,,,,,,,68.2669,,,,,,
286,K01247,,,0.7057945249810953,,,,,,,,,25.418100000000003,,,,,,
287,K01251,,,0.6370614384134153,,,,,,,,,379.4638,,,,,,
288,K01255,,,0.5589999999999999,,,,,,,,,3.0057,,,,,,
289,K01258,,,0.606,,,,,,,,,4.6136,,,,,,
290,K01259,,,0.6938021774094938,,,,,,,,,12.878900000000002,,,,,,
291,K01262,,,0.6588383873374547,,,,,,,,,11.2682,,,,,,
292,K01265,,,0.6857768452387804,,,,,,,,,90.88159999999999,,,,,,
293,K01266,,,0.7038927221538468,,,,,,,,,36.1977,,,,,,
294,K01273,,,0.6410813127937259,,,,,,0.745,,,28.012300000000003,,,,,,2.4942
295,K01283,,,0.6944984355692191,,,,,,,,,16.3187,,,,,,
296,K01286,,,0.7138450075929662,,,,,,,,,57.8789,,,,,,
297,K01297,,,0.6474926748927978,,,,,,,,,10.456900000000001,,,,,,
298,K01299,,,0.693,,,,,,,,,3.9056,,,,,,
299,K01302,,,0.7264448177165514,,,,,,,,,10.995899999999999,,,,,,
300,K01303,,,0.6629999999999999,,,,,,,,,4.9855,,,,,,
301,K01354,,,0.692,,,,,,,,,5.1779,,,,,,
302,K01356,,,0.6667166463387947,,,,,,,,,34.2442,,,,,,
303,K01358,,,0.6500324107499423,,,,,,,,,301.87359999999995,,,,,,
304,K01406,,,0.6813172551091454,,,,,,,,,4.8478,,,,,,
305,K01409,,,0.7331706889404969,,,,,,,,,27.682899999999997,,,,,,
306,K01417,,,0.675,,,,,,,,,4.412,,,,,,
307,K01419,,,0.6624451083533057,,,,,,,,,53.9829,,,,,,
308,K01423,,,0.6986953539610528,,,,,,,,,13.6232,,,,,,
309,K01424,,,0.7096791519682957,,,,,,,,,12.3107,,,,,,
310,K01425,,,0.6653733990821219,,,,,,,,,35.4396,,,,,,
311,K01426,,,0.7115694496229261,,,,,,,,,27.0153,,,,,,
312,K01433,,,0.6753313039344889,,,,,,,,,22.020400000000002,,,,,,
313,K01443,,,0.7406652216705897,,,,,,,,,6.9826999999999995,,,,,,
314,K01447,,,0.6742552367697335,,,,,,0.503,,,20.0319,,,,,,4.7504
315,K01448,,,0.6724388575553173,,,,,,,,,60.885,,,,,,
316,K01455,,,0.6768766333884378,,,,,,,,,22.281299999999998,,,,,,
317,K01458,,,0.6859999999999999,,,,,,,,,7.1997,,,,,,
318,K01462,,,0.6394534230129737,,,,,,,,,40.646100000000004,,,,,,
319,K01464,,,0.691,,,,,,,,,10.4113,,,,,,
320,K01468,,,0.747,,,,,,,,,8.3601,,,,,,
321,K01470,,,0.6678293920979335,,,,,,,,,34.0509,,,,,,
322,K01476,,,0.7020000000000001,,,,,,,,,4.8925,,,,,,
323,K01477,,,0.7149817281935927,,,,,,,,,10.738199999999999,,,,,,
324,K01478,,,0.6841043940747913,,,,,,,,,54.5701,,,,,,
325,K01479,,,0.726,,,,,,,,,4.8925,,,,,,
326,K01480,,,0.726,,,,,,,,,4.8925,,,,,,
327,K01482,,,0.66,,,,,,,,,3.2207,,,,,,
328,K01485,,,0.688,,,,,,,,,2.5756,,,,,,
329,K01487,,,0.728,,,,,,,,,4.521,,,,,,
330,K01488,,,0.649,,,,,,,,,6.0585,,,,,,
331,K01489,,,0.6893248327411139,,,,,,,,,9.0349,,,,,,
332,K01494,,,0.6576600493169,,,,,,,,,30.4838,,,,,,
333,K01495,,,0.6519032731444581,,,,,,,,,63.4316,,,,,,
334,K01496,,,0.6740778740564051,,,,,,,,,21.1968,,,,,,
335,K01497,,,0.664534790963011,,,,,,,,,62.9817,,,,,,
336,K01507,,,0.6497909825472309,,,,,,,,,68.5109,,,,,,
337,K01512,,,0.6979036420151311,,,,,,,,,6.820399999999999,,,,,,
338,K01515,,,0.7090199752007273,,,,,,,,,22.863400000000002,,,,,,
339,K01518,,,0.6579999999999999,,,,,,,,,4.3169,,,,,,
340,K01520,,,0.6897728038948244,,,,,,0.7,,,23.172800000000002,,,,,,3.0313
341,K01523,,,0.6762796872938245,,,,,,,,,11.6883,,,,,,
342,K01524,,,0.7119487083368317,,,,,,,,,15.4285,,,,,,
343,K01545,,,,,,,,,0.622,,,,,,,,,6.3872
344,K01546,,,0.6439349214513733,,,,,,,,,173.07850000000002,,,,,,
345,K01547,,,0.698,,,,,,,,,32.435,,,,,,
346,K01548,,,0.6894509671558857,,,,,,0.635,,,32.33669999999999,,,,,,1.3571
347,K01551,,,0.7116747479306601,,,,,,,,,16.5445,,,,,,
348,K01554,,,0.7020000000000001,,,,,,,,,9.3481,,,,,,
349,K01555,,,0.6560525813085365,,,,,,,,,32.1665,,,,,,
350,K01556,,,0.6768991310166835,,,,,,,,,8.0004,,,,,,
351,K01560,,,0.6514155945994805,,,,,,,,,20.5685,,,,,,
352,K01561,,,0.6304864567636009,,,,,,,,,19.4372,,,,,,
353,K01563,,,0.735,,,,,,,,,6.5915,,,,,,
354,K01569,,0.5760000000000001,0.5967922419157813,,,,,,,,4.2411,13.8797,,,,,,
355,K01574,,,0.6620602691368155,,,,,,,,,37.3673,,,,,,
356,K01575,,,0.6923317639015583,,,,,,,,,6.3609,,,,,,
357,K01579,,,0.6459942468178046,,,,,,,,,10.3313,,,,,,
358,K01586,,,0.71,,,,,,,,,5.9303,,,,,,
359,K01588,,,0.7239351873564411,,,,,,,,,31.039500000000004,,,,,,
360,K01589,,,0.6929969170872261,,,,,,,,,18.5036,,,,,,
361,K01591,,,0.728,,,,,,,,,4.9371,,,,,,
362,K01595,,,0.7033269063201018,,,,,,0.672,,,77.50870000000002,,,,,,2.1073
363,K01596,,,0.6590619064135425,,,,,,,,,59.5809,,,,,,
364,K01599,,,0.716,,,,,,,,,10.9662,,,,,,
365,K01607,,,0.6712316382513815,,,,,,0.6981369578790521,,,123.09209999999999,,,,,,7.6869000000000005
366,K01610,,,0.6379204229024458,,,,,,,,,129.50959999999998,,,,,,
367,K01611,,,0.6500341675549844,,,,,,,,,10.9933,,,,,,
368,K01613,,,0.6818982893142175,,,,,,,,,16.0285,,,,,,
369,K01619,,,0.6931780567719805,,,,,,,,,61.5222,,,,,,
370,K01620,,,0.6788673422318386,,,,,,,,,31.5883,,,,,,
371,K01621,,,0.6640951699650078,,,,,,,,,165.26000000000002,,,,,,
372,K01623,,,0.6463331717370686,,,,,,,,,50.9705,,,,,,
373,K01624,,,0.6508649585441473,,,,,,,,,45.8167,,,,,,
374,K01625,,,0.7390000000000001,,,,,,,,,4.2914,,,,,,
375,K01626,,,0.688754092941825,,,,,,,,,131.7687,,,,,,
376,K01627,,,0.728,,,,,,,,,5.7191,,,,,,
