,KEGG,GC_adj ,GC_adj Bacteria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts ,gene_counts Bacteria,gene_counts Eukaryota,gene_countsUnclassified
100,K02956,,0.6559999999999999,,,,5.2725,,
101,K02961,,0.639,,,,5.7136,,
102,K02965,,0.6185911711998647,,,,22.3764,,
103,K02967,,0.6329198526276626,,,,25.6494,,
104,K02968,,0.596,,,,3.7349,,
105,K02982,,0.596,,,,9.0943,,
106,K02986,,0.674,,,,4.8343,,
107,K02988,,0.701,,,,6.2917,,
108,K02990,,0.645,,,,6.0272,,
109,K02992,,0.59,,,,9.0668,,
110,K03040,,0.6054046220044315,,,,20.9478,,
111,K03088,,0.580863851140414,,,,22.4387,,
112,K03092,,0.616,,,,2.5726,,
113,K03111,,0.731,,,,5.9907,,
114,K03320,,0.628,,,,2.7489,,
115,K03396,,0.632,,,,2.7279,,
116,K03406,,0.612,,,,3.4431,,
117,K03438,,0.598,,,,7.3963,,
118,K03446,,0.547,,,,9.4916,,
119,K03466,,0.6568437198476625,,,,11.5147,,
120,K03496,,0.685,,,,3.5571,,
121,K03518,,0.664,,,,8.7428,,
122,K03522,,0.7190000000000001,,,,9.5476,,
123,K03526,,0.5915871762941244,,,,14.6831,,
124,K03527,,0.6081427510060148,,,,6.513,,
125,K03534,,0.47500000000000003,,,,2.7005,,
126,K03544,,0.59,,,,5.5827,,
127,K03545,,0.664,,,,3.9728,,
128,K03549,,0.541,,,,2.758,,
129,K03553,,0.6,,,,9.8148,,
130,K03556,,0.7090000000000001,,,,10.7425,,
131,K03559,,0.5624664252124895,,,,6.351100000000001,,
132,K03561,,0.6809999999999998,,,,4.379,,
133,K03569,,0.64,,,,5.1823,,
134,K03584,,0.622,,,,2.7494,,
135,K03593,,0.713,,,,3.6286,,
136,K03595,,0.6319999999999999,,,,4.0941,,
137,K03621,,0.6729999999999999,,,,5.2506,,
138,K03628,,0.674,,,,12.0368,,
139,K03630,,,,0.58,,,,3.2765
140,K03636,,0.623,,,,4.4404,,
141,K03637,,0.677,,,,4.5638,,
142,K03639,,0.695,,,,4.5373,,
143,K03644,,0.6709999999999999,,,,2.4276,,
144,K03684,,0.633,,,,6.4691,,
145,K03704,,0.546,,,,6.9197,,
146,K03734,,0.748,,,,2.1081,,
147,K03809,,0.684,,,,8.68,,
148,K03832,,0.6162994726419142,,,,3.8769,,
149,K03881,,,0.246,,,,10.1496,
150,K03882,0.233,,,,14.823,,,
151,K03892,,0.57,,,,14.6244,,
152,K03924,,0.6585740811503135,,,,8.913599999999999,,
153,K03975,,0.5820000000000001,,,,2.0645,,
154,K04066,,0.5983500428896354,,,,3.8651,,
155,K04074,,0.634,,,,6.8676,,
156,K04077,,0.6300804405284542,,,,215.3689,,
157,K04078,,0.6045818626209466,,,,19.3994,,
158,K04485,,0.6759999999999999,,,,4.9098,,
159,K04564,,0.552,,,,4.0769,,
160,K04749,,0.614,,,,2.955,,
161,K04760,,0.636,,,,7.8522,,
162,K04763,,0.645,,,,8.7153,,
163,K05343,,0.662,,,,12.2373,,
164,K05375,,0.637,,,,1.9595,,
165,K05524,,0.5731332075591871,,,,14.7131,,
166,K05788,,0.605,,,,4.5681,,
167,K05896,,0.544,,,,3.3641,,
168,K05972,,0.631,,,,2.1398,,
169,K05989,,0.618,,,,2.8172,,
170,K06006,,0.616,,,,2.8555,,
171,K06167,,0.649,,,,2.1133,,
172,K06217,,0.585,,,,6.9052,,
173,K06400,,0.626,,,,32.4444,,
174,K06413,,0.654,,,,6.4026,,
175,K06890,,0.631,,,,4.8216,,
176,K06891,,0.583,,,,2.8881,,
177,K06893,,0.562,,,,4.4325,,
178,K06911,,0.6880770029031715,,,,5.9977,,
179,K06920,,0.607,,,,2.4427,,
180,K06929,,0.6303816401861944,,,,9.793800000000001,,
181,K06937,,0.591,,,,16.2362,,
182,K06952,,0.6539999999999999,,,,4.3102,,
183,K06960,,0.624,,,,2.298,,
184,K06998,,0.5760000000000001,,,,3.9281,,
185,K07018,,0.7190000000000001,,,,3.6343,,
186,K07038,,0.652,,,,2.7475,,
187,K07042,,,,0.5489999999999999,,,,2.4506
188,K07071,,0.581,,,,1.8776,,
189,K07090,,0.642,,,,3.6609,,
190,K07120,,0.514,,,,5.3045,,
191,K07147,,0.542,,,,6.6816,,
192,K07164,,0.701,,,,2.7143,,
193,K07171,,0.526,,,,2.6152,,
194,K07240,,0.6609999999999999,,,,2.1525,,
195,K07304,,0.541,,,,2.4683,,
196,K07323,,,,0.5379999999999999,,,,2.5216
197,K07391,,0.687,,,,5.205,,
198,K07393,,0.664062426749126,,,,5.4033999999999995,,
199,K07402,,0.73,,,,7.7726,,
200,K07404,,0.586,,,,2.2333,,
201,K07478,,0.561,,,,4.6095,,
202,K07481,,0.6297708954309172,,,,62.338300000000004,,
203,K07482,,0.6110647902384931,,,,13.1876,,
204,K07483,,0.6476730989807461,,,,22.407400000000003,,
205,K07484,,0.6255243843768893,,,,28.352700000000002,,
206,K07485,,0.605440471642096,,,,23.850600000000004,,
207,K07486,,0.6109400997284158,,,,273.42209999999994,,
208,K07487,,0.6072984898275462,,,,33.7511,,
209,K07491,,0.511,,,,8.2096,,
210,K07492,,0.6063129394703396,,,,62.294799999999995,,
211,K07493,,0.641781656884803,,,,57.2418,,
212,K07494,,0.5980254571958177,0.336,0.565,,54.7758,5.8543,2.6098
213,K07495,,0.5405982322635239,,,,6.9211,,
214,K07497,,0.5818119680390138,0.382,0.329,,216.8576,5.9474,16.8464
215,K07498,,0.629,,,,9.1195,,
216,K07499,,0.6207203093324796,,,,26.654500000000002,,
217,K07506,,0.5625043139350531,,,,8.697,,
218,K07736,,0.574257292876769,,,,9.747399999999999,,
219,K07793,,0.631,,,,5.8605,,
220,K08316,,0.602,,,,3.1085,,
221,K08681,,0.6134814766143034,,,,7.1447,,
222,K08738,,0.5589999999999999,,,,2.9364,,
223,K09001,,0.667,,,,1.2716,,
224,K09014,,0.642,,,,10.1994,,
225,K09022,,0.5862148370123874,,,,12.015999999999998,,
226,K09118,,0.591,,,,4.2628,,
227,K09131,,0.74,,,,2.5033,,
228,K09159,,0.63,,,,3.3081,,
229,K09747,,0.645,,,,2.3605,,
230,K09791,,0.6920000000000002,,,,3.5455,,
231,K09803,,,,0.514,,,,2.2535
232,K09804,,0.545,,,,1.9063,,
233,K09927,,0.6952558679200366,,,,4.3529,,
234,K09930,,0.5466409809910013,,,,8.4947,,
235,K09955,,0.6759999999999999,,,,4.4791,,
236,K09958,,0.606,,,,5.7506,,
237,K09987,,0.659,,,,6.202,,
238,K10947,,0.6907171674568868,,,,7.197100000000001,,
239,K10979,,0.726,,,,3.4689,,
240,K11251,,,0.507,,,,4.7073,
241,K11275,,0.4620000000000001,,,,4.0142,,
242,K11477,,0.61,,,,7.2382,,
243,K11898,,0.629,,,,3.9743,,
244,K12976,,0.53,,,,1.9232,,
245,K13288,,0.633,,,,3.1098,,
246,K14530,,,,0.321,,,,8.1633
247,K15255,,,0.485,,,,2.3244,
248,K15633,,0.568,,,,3.2165,,
249,K15977,,0.5920000000000001,,,,4.1057,,
250,K16137,,0.5660000000000001,,,,6.5657,,
251,K17226,,0.644,,,,3.0424,,
252,K17662,,0.61,,,,2.8788,,
253,K18189,,0.691,,,,5.3981,,
254,K18290,,0.556,,,,3.5995,,
255,K19221,,0.613,,,,3.2392,,
256,K19267,,0.486,,,,9.1861,,
257,K19405,,0.5720000000000001,,,,3.1048,,
258,K19784,,0.574,,,,3.4802,,
259,K21470,,0.642,,,,3.5025,,
260,K23262,,0.6940000000000001,,,,2.8542,,
261,K23775,,0.688,,,,1.9885,,
