,KEGG,GC_adj Bacteria,GC_adjUnclassified,gene_counts Bacteria,gene_countsUnclassified
49,K01854,0.659,,7.4118,
50,K01858,0.644,,8.3294,
51,K01881,0.6239332359640757,,10.6311,
52,K01887,0.616,,1.9154,
53,K01889,0.667,,5.0092,
54,K01915,0.647751940544643,,41.427899999999994,
55,K01953,0.6920000000000001,,3.1216,
56,K01972,0.6990000000000001,,2.4206,
57,K01997,0.6729999999999999,,5.3941,
58,K02004,0.5965539473455532,,13.3829,
59,K02020,0.655,,4.9585,
60,K02033,0.655,,2.4519,
61,K02039,0.591,,7.8625,
62,K02066,0.679,,5.8134,
63,K02078,0.612,,7.0298,
64,K02194,0.68,,5.035,
65,K02204,0.6609999999999999,,3.6813,
66,K02231,0.685,,1.3457,
67,K02313,0.669,,6.9206,
68,K02316,0.5710000000000001,,3.4277,
69,K02338,0.4876765858599203,,4.3119,
70,K02357,0.606,,4.0567,
71,K02372,0.623,,3.9253,
72,K02518,0.6101896947471176,,5.1928,
73,K02520,0.6430497479313206,,13.1788,
74,K02600,0.7014117459352395,,10.1221,
75,K02609,0.662,,8.841,
76,K02616,0.7276706794688594,,8.8217,
77,K02834,0.526,,3.7802,
78,K02871,0.634,,8.3929,
79,K02886,0.6514171887053106,,11.5455,
80,K02887,0.65,,5.108,
81,K02892,0.606,,7.818,
82,K02895,0.6729999999999999,,1.8124,
83,K02906,0.637,,6.0773,
84,K02931,0.634,,7.5234,
85,K02945,0.6311589110958753,,51.4469,
86,K02946,0.619,,17.17,
87,K02950,0.6940000000000001,,15.3696,
88,K02954,0.677,,3.9206,
89,K02965,0.6559999999999999,,13.441,
90,K02994,0.623,,8.8544,
91,K03040,0.669,,12.4676,
92,K03088,0.6985490807881471,,42.302099999999996,
93,K03101,0.684,,4.9308,
94,K03111,0.726,,7.1145,
95,K03118,0.555,,2.7755,
96,K03147,0.6434287558866042,,65.5389,
97,K03210,0.4789999999999999,,3.1387,
98,K03303,0.659,,10.0743,
99,K03365,0.7170000000000001,,4.6586,
100,K03406,0.643,,8.2302,
101,K03411,0.727,,4.0927,
102,K03517,0.57,,2.2213,
103,K03526,0.687,,8.8894,
104,K03544,0.626260704496304,,63.626200000000004,
105,K03556,0.7398107705290742,,31.8796,
106,K03564,0.674,,3.226,
107,K03565,0.623,,2.184,
108,K03569,0.6914165419027128,,16.9571,
109,K03593,0.6809999999999999,,11.39,
110,K03594,0.6622689608617814,,5.1055,
111,K03628,0.6082321907922881,,22.9635,
112,K03636,0.732,,4.2969,
113,K03644,0.7078179988549625,,13.6854,
114,K03665,0.639,,6.4596,
115,K03671,0.6579999999999999,,12.3708,
116,K03704,0.5652275305886258,,5.1356,
117,K03705,0.633,,4.217,
118,K03709,0.6720000000000002,,2.5082,
119,K03711,0.7340000000000001,,5.2746,
120,K03719,0.7440000000000001,,5.1739,
121,K03821,0.591,,5.1778,
122,K03832,0.618,,3.1333,
123,K03889,0.7070000000000001,,4.8352,
124,K03924,0.691,,3.3922,
125,K04066,0.561,,1.6172,
126,K04077,0.6522583443334211,,265.5408,
127,K04078,,0.6509999999999999,,1.4122
128,K04079,0.64,,7.5815,
129,K04654,0.684,,5.8009,
130,K04763,0.634,,17.4746,
131,K05606,0.608,,5.4851,
132,K05807,0.6,,2.5146,
133,K05838,0.6579999999999999,,12.3708,
134,K05896,0.7140000000000001,,7.9571,
135,K05913,0.607,,3.9785,
136,K05995,0.659,,8.7186,
137,K06041,0.703,,3.2938,
138,K06153,0.6340000000000001,,5.4399,
139,K06187,0.6890000000000001,,4.974,
140,K06204,0.7599999999999999,,3.4009,
141,K06215,0.6990000000000001,,17.1606,
142,K06400,0.598,,4.3814,
143,K06897,0.594,,3.0779,
144,K06911,0.6990000000000001,,2.9815,
145,K06925,0.6596324418182842,,6.1044,
146,K06953,0.6950000000000001,,3.3893,
147,K06997,0.628,,1.8635,
148,K07001,0.579,,9.7344,
149,K07018,0.561,,2.1507,
150,K07040,0.5579999999999999,,3.0226,
151,K07058,0.6512578338685159,,9.0944,
152,K07080,0.569,,3.5711,
153,K07082,0.5539999999999999,,1.3948,
154,K07090,0.7090000000000001,,1.3318,
155,K07107,0.5870000000000001,,3.9605,
156,K07160,0.645,,7.7249,
157,K07240,0.733,,4.0619,
158,K07304,0.662,,9.5139,
159,K07315,0.72,,6.1816,
160,K07399,0.7440000000000001,,6.2547,
161,K07465,0.701,,6.681,
162,K07474,0.619,,3.9301,
163,K07481,0.6203829821343109,,82.78880000000001,
164,K07482,0.5902454133984559,,79.9151,
165,K07483,0.6113458369442349,,62.408,
166,K07484,0.6286142106650144,,47.713499999999996,
167,K07485,0.590417511559048,,47.073499999999996,
168,K07486,0.6184904084494248,0.634,746.3376000000001,10.965
169,K07487,0.598,,10.2887,
170,K07492,0.5698966503882859,,185.78400000000002,
171,K07493,0.6392160388584434,,101.3337,
172,K07494,0.602748109425858,,222.2996,
173,K07495,0.5619491795817256,,56.2832,
174,K07496,0.655,,2.1186,
175,K07497,0.6183620570279519,,314.07280000000003,
176,K07499,0.6315384141118079,,31.880799999999997,
177,K07503,0.6539308962907264,,5.3751999999999995,
178,K07560,0.679,,4.154,
179,K07736,0.6824837159324855,,18.1078,
180,K08234,0.575,,1.4901,
181,K09009,0.695,,1.8427,
182,K09022,0.647,,2.9871,
183,K09539,,0.6719999999999999,,2.425
184,K09761,0.684,,1.4951,
185,K09903,0.509,,2.6723,
186,K09921,0.6639999999999999,,2.1496,
187,K09931,0.66,,2.6544,
188,K09955,0.638,,4.5702,
189,K09958,0.615,,5.7277,
190,K09966,0.628,,6.6863,
191,K10218,0.7,,1.9934,
192,K10979,,0.633,,1.3386
193,K11212,0.6929277717430369,,8.452300000000001,
194,K11477,0.635,,5.1956,
195,K13075,0.6,,3.0645,
196,K13292,0.6640813134144034,,6.478999999999999,
197,K13527,0.652,,16.2784,
198,K13583,0.575,,5.7912,
199,K13993,0.534,,2.5597,
200,K15973,0.573,,4.7349,
201,K18013,0.694,,4.1341,
202,K18346,0.633,,6.2919,
203,K19221,0.598,,2.0442,
204,K19745,0.62,,3.117,
205,K20266,0.598,,2.8405,
206,K21163,0.612,,2.4631,
207,K21495,0.684,,1.4118,
208,K21908,0.68,,2.6774,
209,K22210,0.662,,7.6511,
210,K22757,0.6779999999999999,,1.887,
211,K23393,0.738,,3.9335,
