,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adj Riboviria,GC_adj Varidnaviria,GC_adj unclassified viruses,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_counts Riboviria,gene_counts Varidnaviria,gene_counts unclassified viruses,gene_countsUnclassified
100,K00395,,,0.556,,,,,,,,9.3968,,,,,
101,K00406,,,0.603,,,,,,,,3.0359,,,,,
102,K00411,,,0.6472336490782513,,,,,,,,12.8539,,,,,
103,K00412,,,0.628,0.28597704484583625,,,,,,,14.9686,22.5681,,,,
104,K00413,,,0.615962203163699,,,,,,,,13.514700000000001,,,,,
105,K00425,,,0.6529551764823467,,,,,0.639,,,350.3869,,,,,4.5436
106,K00426,,,0.6588696327045322,,,,,0.6456286412306403,,,135.0384,,,,,8.247
107,K00428,,,0.5627390751847609,,,,,,,,24.2466,,,,,
108,K00432,,,0.6762732896382618,,,,,,,,16.2453,,,,,
109,K00433,,,0.7287988434957888,,,,,,,,18.639400000000002,,,,,
110,K00441,,,0.7040000000000001,,,,,,,,4.5949,,,,,
111,K00446,,,0.665556904187311,,,,,,,,37.689400000000006,,,,,
112,K00448,,,0.7066438607973409,,,,,,,,10.0517,,,,,
113,K00449,,,0.6737128052597589,,,,,,,,22.989600000000003,,,,,
114,K00450,,,0.6562080470231932,,,,,,,,62.516299999999994,,,,,
115,K00451,,,0.6652184334803558,,,,,,,,179.46080000000003,,,,,
116,K00452,,,0.5917486233107377,,,,,,,,24.1692,,,,,
117,K00453,,,0.6597318204073518,,,,,,,,139.39020000000002,,,,,
118,K00456,,,0.5977433569773697,,,,,,,,11.489,,,,,
119,K00457,,,0.6464553794352625,,,,,,,,249.1506,,,,,
120,K00459,,,0.7019440794133927,,,,,0.695,,,139.53429999999997,,,,,5.1486
121,K00477,,,0.6579639086342003,,,,,,,,20.1792,,,,,
122,K00481,,,0.640740689154,,,,,,,,15.285499999999999,,,,,
123,K00483,,,0.504,,,,,,,,7.391,,,,,
124,K00500,,,0.6970000000000001,,,,,,,,10.9918,,,,,
125,K00507,,,0.6148303207673405,,,,,,,,195.7217,,,,,
126,K00518,,,0.662,,,,,,,,15.5667,,,,,
127,K00525,,0.3827726827209799,0.6334342695095723,,,,,,,5.411099999999999,71.1599,,,,,
128,K00526,,,0.62,,,,,,,,9.1681,,,,,
129,K00540,,,0.6908293167802635,,,,,,,,215.77699999999993,,,,,
130,K00544,,,0.701148207451571,,,,,,,,13.1303,,,,,
131,K00545,,,0.607,,,,,,,,4.4241,,,,,
132,K00548,,,0.6368086466758612,,,,,,,,133.3508,,,,,
133,K00549,,0.6869999999999999,0.6560451087426824,0.6709999999999999,,,,,,6.3379,825.3707999999998,13.4302,,,,
134,K00554,,,0.6825483578108676,,,,,,,,107.89930000000001,,,,,
135,K00560,,,0.5663157141194546,,,,,,,,75.5869,,,,,
136,K00564,,,0.7340000000000001,,,,,,,,6.8178,,,,,
137,K00566,,,0.6620819464534352,,,,,,,,19.2509,,,,,
138,K00567,,,0.6947460729137451,,,,,,,,24.2048,,,,,
139,K00570,,,0.6363145896548126,,,,,,,,28.490899999999996,,,,,
140,K00571,,,0.6409999999999999,,,,,,,,5.077,,,,,
141,K00573,,0.614019183172506,0.6647704380887514,,,,,,,16.2521,211.44199999999998,,,,,
142,K00574,,,0.6422326023387012,,,,,,,,164.4796,,,,,
143,K00575,,,0.5609999999999999,,,,,,,,4.4402,,,,,
144,K00577,,0.32299999999999995,,,,,,,,4.3188,,,,,,
145,K00588,,,0.6367201052587943,,,,,,,,86.89150000000001,,,,,
146,K00595,,,0.639,,,,,,,,3.8639,,,,,
147,K00598,,,0.7443378785924272,,,,,,,,15.2987,,,,,
148,K00600,,,0.6765216121986222,,,,,,,,404.27070000000003,,,,,
149,K00602,,,0.6710901483236854,,,,,,,,275.53620000000006,,,,,
150,K00604,,,0.6374450787217015,,,,,,,,9.5,,,,,
151,K00605,,,0.745,,,,,,,,12.8747,,,,,
152,K00606,,,0.6659295594954412,,,,,,,,188.62109999999996,,,,,
153,K00609,,,0.6600999132802622,,,,,,,,112.76009999999998,,,,,
154,K00610,,0.304,,,,,,,,4.0656,,,,,,
155,K00611,,,0.6736779581678024,,,,,,,,18.357,,,,,
156,K00612,,,0.57,,,,,,,,9.5258,,,,,
157,K00613,,,0.517,,,,,,,,5.9541,,,,,
158,K00615,,,0.6507609111187755,,,,,,,,113.7517,,,,,
159,K00616,,,0.6294997668282449,,,,,,,,61.7628,,,,,
160,K00620,,,0.7055950590767335,,,,,,,,66.99669999999999,,,,,
161,K00626,,,0.6896379349749675,,,,,,,,319.1217,,,,,
162,K00635,,,0.6984297379905104,,,,,0.711531115539305,,,320.52680000000004,,,,,34.6598
163,K00640,,,0.6156215186958741,,,,,,,,39.8607,,,,,
164,K00641,,,0.6377007280664541,,,,,,,,155.55800000000002,,,,,
165,K00645,,,0.6308149443921379,,,,,,,,11.8962,,,,,
166,K00648,,,0.6649548956769502,,,,,,,,59.556400000000004,,,,,
167,K00655,,,0.6477792093046587,,,,,,,,115.53460000000004,,,,,
168,K00657,,,0.6335373628624209,,,,,,,,26.106499999999997,,,,,
169,K00658,,,0.662,,,,,,,,10.7906,,,,,
170,K00661,,,0.620680625169351,,,,,,,,27.4049,,,,,
171,K00662,,0.584,0.613098842697549,,,,,,,4.0396,9.7316,,,,,
172,K00663,,,0.6554892429921199,,,,,,,,12.2736,,,,,
173,K00674,,,0.6444650741269191,,,,,,,,46.962500000000006,,,,,
174,K00677,,,0.5532780662033232,,,,,,,,44.3514,,,,,
175,K00682,,,0.6683573477212359,,,,,,,,15.605,,,,,
176,K00683,,,0.5502239339735637,,,,,,,,13.3415,,,,,
177,K00684,,,0.6534728175118221,,,,,,,,57.9609,,,,,
178,K00688,,,0.6204215751909999,,,,,,,,511.55629999999985,,,,,
179,K00700,,,0.6499852616369626,,,,,,,,88.3096,,,,,
180,K00703,,,0.6155909105881261,,,,,,,,38.8705,,,,,
181,K00705,,,0.6986555851390998,,,,,,,,19.4437,,,,,
182,K00720,,,0.6339704509142974,,,,,,,,12.486699999999999,,,,,
183,K00721,,,0.694299735021729,,,,,,,,38.0808,,,,,
184,K00748,,,0.6054175280351423,,,,,,,,30.1405,,,,,
185,K00757,,,0.7082174616978076,,,,,,,,15.403099999999998,,,,,
186,K00759,,,0.6792118320792487,,,,,,,,117.50290000000001,,,,,
187,K00760,,,0.6472985440924377,,,,,,,,121.87429999999999,,,,,
188,K00761,,,0.688,,,,,,,,10.4761,,,,,
189,K00762,,,0.647563571517174,,,,,,,,52.6486,,,,,
190,K00763,,,0.6728072812377032,,,,,,,,92.3439,,,,,
191,K00764,,,0.6671480293195735,,,,,,,,233.2929,,,,,
192,K00765,,,0.6883542093313254,,,,,,,,63.8187,,,,,
193,K00766,,,0.7101337662294605,,,,,,,,177.74650000000003,,,,,
194,K00767,,,0.6809999999999999,,,,,,,,3.6116,,,,,
195,K00768,,,0.7227796108659794,,,,,,,,29.876299999999997,,,,,
196,K00769,,,0.6454994673162199,,,,,,,,26.237399999999997,,,,,
197,K00772,,,0.6776937659938121,,,,,,,,24.4584,,,,,
198,K00773,,,0.6884462804182434,,,,,,,,39.1896,,,,,
199,K00782,,,0.6715259201481425,,,,,,,,7.8006,,,,,
200,K00783,,,0.6101877622367998,,,,,,,,34.8254,,,,,
201,K00784,,0.355,0.671046173109195,,,,,,,5.1272,79.67759999999998,,,,,
202,K00788,,,0.6473493695388275,,,,,,,,34.5838,,,,,
203,K00789,,,0.6558706096882206,,,,,0.6326008753243735,,,455.07849999999996,,,,,9.4427
204,K00790,,,0.6849199570128043,,,,,,,,87.4282,,,,,
205,K00791,,,0.6981840588556676,,,,,,,,20.7857,,,,,
206,K00793,,0.341,0.6791068480883101,,,,,,,2.3941,86.8623,,,,,
207,K00794,,,0.6883717798326335,0.731,,,,,,,130.27459999999996,15.4776,,,,
208,K00796,,0.7290000000000001,0.6583030302277474,,,,,,,3.6044,33.400800000000004,,,,,
209,K00797,,,0.642893631364281,,,,,,,,48.7367,,,,,
210,K00798,,,0.6757690993809716,,,,,0.7097495902930139,,,145.84640000000002,,,,,10.5896
211,K00799,,,0.6339561842678768,,,,,0.611,,,337.83719999999994,,,,,3.9149
212,K00800,,0.345,0.6901786947559643,,,,,,,4.0646,59.413,,,,,
213,K00803,,,0.738,,,,,,,,5.6045,,,,,
214,K00805,,,0.715,,,,,,,,4.6907,,,,,
215,K00808,,,0.608,,,,,,,,6.3013,,,,,
216,K00809,,,0.522,0.556,,,,,,,3.9745,3.0111,,,,
217,K00812,,,0.659,,,,,,,,11.0619,,,,,
218,K00817,,,0.7040000000000001,,,,,,,,13.7407,,,,,
219,K00820,,,0.661490194247637,,,,,,,,257.84330000000006,,,,,
220,K00821,,,0.7190000000000001,,,,,,,,9.5491,,,,,
221,K00826,,0.3670000000000001,0.687385773396171,,,,,,,3.275,37.2494,,,,,
222,K00831,,,0.5871922239516427,,,,,,,,28.023699999999998,,,,,
223,K00845,,,0.7070000000000001,,,,,,,,5.7631,,,,,
224,K00851,,,0.6116044620772135,,,,,,,,12.5202,,,,,
225,K00855,,,0.6890474305438219,,,,,,,,6.1472999999999995,,,,,
226,K00857,,,0.6372908561620815,,,,,,,,28.049,,,,,
227,K00858,,0.338,0.6775641400196453,0.539,,,,,,1.6342,173.2076,2.6164,,,,
228,K00859,,,0.6635699221020963,,,,,0.691,,,104.4507,,,,,2.8785
229,K00865,,,0.7247255297879234,,,,,0.7180000000000001,,,81.7512,,,,,8.0516
230,K00867,,,0.6348205359761462,,,,,,,,50.0911,,,,,
231,K00868,,,0.6890000000000001,,,,,,,,3.125,,,,,
232,K00872,,,0.5770000000000001,,,,,,,,4.4772,,,,,
233,K00873,,0.513,0.6768240700299968,,,,,0.769,,9.5407,296.15759999999995,,,,,7.4504
234,K00878,,,0.6984968966840015,,,,,,,,34.8356,,,,,
235,K00883,,,0.6713890855745475,,,,,,,,7.6915,,,,,
236,K00886,,,0.6217399761225629,,,,,,,,42.274,,,,,
237,K00887,,,0.6729999999999999,,,,,,,,7.3813,,,,,
238,K00891,,,0.6590102503048739,,,,,,,,46.1685,,,,,
239,K00899,,,0.598,,,,,,,,3.7475,,,,,
240,K00912,,,0.6521277155856897,,,,,,,,17.3666,,,,,
241,K00919,,,0.6936958711260318,,,,,,,,55.8535,,,,,
242,K00925,,,0.6548211249258238,,,,,,,,167.107,,,,,
243,K00926,,,0.7089894436942543,,,,,0.721,,,117.5511,,,,,6.545
244,K00927,,,0.6557446971769354,,,,,,,,289.21840000000003,,,,,
245,K00930,,,0.630880067782299,,,,,,,,17.5599,,,,,
246,K00931,,,0.6654568705450429,,,,,,,,15.107299999999999,,,,,
247,K00936,,,0.6826314714343219,,,,,,,,83.5107,,,,,
248,K00937,,,0.6626120079715985,,,,,,,,144.69690000000003,,,,,
249,K00939,,0.7193587802641354,0.7047957305545957,,,,,,,27.9647,122.5627,,,,,
250,K00940,,,0.6722097469193634,,,,,,,,24.3825,,,,,
251,K00942,,,0.6715260153264033,0.698,,,,,,,20.7128,7.2651,,,,
252,K00943,,0.37700000000000006,0.6904325693890234,,,,,,,5.1193,103.81289999999998,,,,,
253,K00945,,,0.6699394308909442,,,,,,,,103.74489999999999,,,,,
254,K00946,,0.336,0.7022465779698251,,,,,,,3.7547,43.399100000000004,,,,,
255,K00948,,,0.661588824136285,,,,,,,,287.10350000000005,,,,,
256,K00950,,,0.7085376390870913,,,,,,,,74.33059999999999,,,,,
257,K00952,,0.339,,,,,,,,3.8035,,,,,,
258,K00954,,,0.6291975005816773,,,,,,,,178.87709999999998,,,,,
259,K00957,,,0.6659382595750456,,,,,,,,24.192200000000003,,,,,
260,K00958,,0.343,0.6762640186233088,0.715,,,,,,3.1554,63.2245,4.0466,,,,
261,K00962,,,0.6600899482973897,,,,,,,,59.710699999999996,,,,,
262,K00963,,,0.6706787059135147,,,,,,,,53.383399999999995,,,,,
263,K00969,,,0.5793988704037859,,,,,,,,37.56720000000001,,,,,
264,K00970,,,0.7020000000000001,,,,,,,,7.9951,,,,,
265,K00971,,,0.6033241875102365,,,,,,,,54.324299999999994,,,,,
266,K00973,,,0.698,,,,,,,,6.3445,,,,,
267,K00975,,,0.5940503244189316,,,,,,,,55.93730000000001,,,,,
268,K00978,,0.693,,,,,,,,4.6539,,,,,,
269,K00979,,,0.6455803912486345,,,,,,,,15.966099999999999,,,,,
270,K00981,,,0.6340748402557723,,,,,0.7004136558084911,,,157.63,,,,,17.352899999999998
271,K00982,,,0.6736720423987267,,,,,,,,82.6754,,,,,
272,K00986,0.652,0.5831918284827683,0.6221718521799474,,,,,,3.5649,8.9922,1585.9079000000008,,,,,
273,K00989,,,0.661135728200573,,,,,,,,53.7339,,,,,
274,K00990,,,0.6661122192013872,,,,,,,,106.60719999999999,,,,,
275,K00995,,,0.6682082948878171,,,,,,,,9.026299999999999,,,,,
276,K00997,,0.748,0.7043293923511021,,,,,,,6.8669,45.3311,,,,,
277,K01000,,,0.6670862757005502,,,,,,,,54.611599999999996,,,,,
278,K01004,,,0.649,,,,,,,,8.1134,,,,,
279,K01005,0.7070000000000001,,0.6965935522039527,,,,,0.6977521675225453,8.7654,,303.38160000000005,,,,,27.840200000000003
280,K01006,,,0.6799172482268,,,,,,,,76.2842,,,,,
281,K01008,,,0.676115643444926,,,,,,,,86.53110000000001,,,,,
282,K01011,,,0.6779137272738162,,,,,,,,54.343199999999996,,,,,
283,K01012,,,0.6598320463431983,,,,,,,,37.3896,,,,,
284,K01029,,,0.667,,,,,,,,3.8581,,,,,
285,K01039,,,0.69774794160419,,,,,,,,84.17569999999999,,,,,
286,K01040,,,0.699930406258035,,,,,,,,56.967600000000004,,,,,
287,K01042,,,0.710698799684955,,,,,,,,41.622299999999996,,,,,
288,K01046,,,0.6919823681849336,,,,,,,,18.5397,,,,,
289,K01048,,,0.6499475717961818,,,,,,,,11.3159,,,,,
290,K01051,,,0.581,,,,,,,,3.5922,,,,,
291,K01053,,,0.667,,,,,,,,7.1122,,,,,
292,K01055,,,0.6825854861963514,,,,,,,,43.7701,,,,,
293,K01056,,,0.6604792810598424,,,,,,,,140.7159,,,,,
294,K01057,,,0.68476727273218,,,,,,,,94.96770000000001,,,,,
295,K01060,,,0.623768132202835,,,,,,,,14.2714,,,,,
296,K01061,,,0.6392875433674351,,,,,0.504,,,182.30300000000003,,,,,2.1621
297,K01069,,0.349,0.6725505496921181,,,,,,,2.8776,92.14299999999999,,,,,
298,K01070,,,0.6244243715799562,,,,,,,,17.0143,,,,,
299,K01071,,,0.54,,,,,,,,3.546,,,,,
300,K01077,,,0.574400435550773,,,,,,,,32.5186,,,,,
301,K01079,,,0.6521442831869572,,,,,,,,26.5261,,,,,
302,K01082,,,0.7367669295739429,,,,,,,,13.9037,,,,,
303,K01083,,,0.5390165628351489,,,,,,,,8.082799999999999,,,,,
304,K01087,,,0.6488320777356171,,,,,,,,19.8105,,,,,
305,K01091,,,0.660507783753362,,,,,,,,41.70740000000001,,,,,
306,K01092,,,0.59575548170404,,,,,,,,12.792100000000001,,,,,
307,K01095,,,0.5957972941704786,,,,,,,,33.429899999999996,,,,,
308,K01104,,,0.7513328971342081,,,,,,,,24.305,,,,,
309,K01113,,,0.6715880755530521,,,,,,,,153.82250000000002,,,,,
310,K01114,,,0.6370076793287706,,,,,,,,6.5587,,,,,
311,K01126,,,0.6927085915373313,,,,,,,,41.285599999999995,,,,,
312,K01129,,,0.6836521891988072,,,,,,,,141.0396,,,,,
313,K01142,,,0.6363086724381807,,,,,,,,19.7999,,,,,
314,K01151,,,0.6767692600863018,0.7120000000000001,,,,,,,91.81429999999999,2.1449,,,,
315,K01155,,,0.625,,,,,,,,4.9565,,,,,
316,K01159,,,0.6774754933999554,,,,,,,,109.1396,,,,,
317,K01166,,,0.652,,,,,,,,4.102,,,,,
318,K01173,,,0.6036869808100144,,,,,0.537,,,10.8154,,,,,2.1116
319,K01174,,0.396,0.6574779738355168,,,,,0.6810658266603797,,3.5403,23.880799999999997,,,,,13.213000000000001
320,K01179,,,0.6534848905612199,,,,,,,,7.3955,,,,,
321,K01181,,,0.5092951681298766,,,,,,,,6.4350000000000005,,,,,
322,K01183,,,0.6330609027239699,,,,,,,,14.7365,,,,,
323,K01185,,,,0.64,,,,,,,,6.4592,,,,
324,K01194,,,0.5547717062680653,,,,,,,,6.4571000000000005,,,,,
325,K01198,,,0.5660000000000001,,,,,,,,3.2417,,,,,
326,K01202,,,0.493,,,,,,,,8.2918,,,,,
327,K01206,,,0.5675470574239596,,,,,,,,72.9679,,,,,
328,K01207,,,0.6877864537646575,,,,,,,,21.0051,,,,,
329,K01209,,,0.5708273229750739,,,,,,,,38.668,,,,,
330,K01222,,,0.713,,,,,,,,6.9369,,,,,
331,K01239,,,0.6881715148422296,,,,,,,,55.0129,,,,,
332,K01241,,,0.6614809364327544,,,,,,,,16.6596,,,,,
333,K01243,,,,,,,,0.621,,,,,,,,4.4027
334,K01246,,0.31077172739496467,0.6556971940019785,,,,,,,8.5653,146.06640000000002,,,,,
335,K01247,,,0.6581174607375856,,,,,,,,36.3297,,,,,
336,K01251,,0.45070961843531715,0.658051119870968,,,,,,,10.182500000000001,428.2523999999999,,,,,
337,K01255,,,0.626,,,,,,,,8.9158,,,,,
338,K01258,,,0.682,,,,,,,,10.8209,,,,,
339,K01259,,,0.6620109436014113,,,,,,,,14.5459,,,,,
340,K01265,,,0.6787317727506413,,,,,,,,116.07130000000001,,,,,
341,K01266,,,0.6375526108523141,,,,,,,,86.4,,,,,
342,K01271,,,0.691,,,,,,,,9.5067,,,,,
343,K01273,,,0.6197697327169677,,,,,,,,60.2328,,,,,
344,K01281,,,0.6700352898094591,,,,,,,,6.7798,,,,,
345,K01283,,,0.6322854485140328,,,,,,,,17.9234,,,,,
346,K01286,,,0.6578583805868388,,,,,,,,26.0873,,,,,
347,K01295,,,0.539,,,,,,,,2.3761,,,,,
348,K01297,,,0.6872043380111955,,,,,,,,49.2082,,,,,
349,K01299,,0.401,0.6651129857725478,,,,,,,4.6619,37.521300000000004,,,,,
350,K01303,,,0.593407541246351,,,,,,,,8.8285,,,,,
351,K01304,,0.6990000000000001,0.6933605721089819,,,,,0.598,,4.7043,6.789899999999999,,,,,3.4731
352,K01354,,,0.494,,,,,,,,3.8949,,,,,
353,K01356,,,0.6684012201552779,,,,,,,,82.1091,,,,,
354,K01358,,,0.6448263372246259,,,,,0.719349509402002,,,567.2282,,,,,13.2527
355,K01372,,,0.5704481200369552,,,,,,,,10.1998,,,,,
356,K01406,,,0.6741197148004765,,,,,,,,44.8225,,,,,
357,K01409,,0.365,0.6804884217305812,,,,,,,3.3966,105.00649999999999,,,,,
358,K01419,,,0.6437369365702995,,,,,,,,94.27390000000001,,,,,
359,K01423,,,0.5912456702656048,,,,,,,,13.2121,,,,,
360,K01424,,0.317,0.6127970515940493,,,,,,,3.0196,29.931400000000004,,,,,
361,K01425,,,0.5812340956841952,,,,,,,,16.4397,,,,,
362,K01426,,,0.6898636418436885,,,,,,,,101.31020000000001,,,,,
363,K01429,,,0.6521527548337507,,,,,,,,15.544699999999999,,,,,
364,K01430,,,0.6829999999999999,,,,,,,,6.7242,,,,,
365,K01432,,,0.6429195631708862,,,,,,,,31.657099999999996,,,,,
366,K01433,,,0.6849119630697629,,,,,,,,18.9533,,,,,
367,K01443,,,0.6822431646927274,,,,,,,,73.6772,,,,,
368,K01447,,,0.5715850929862115,,,,,,,,23.805500000000002,,,,,
369,K01448,,,0.6018873849962516,0.472,,,,0.600491001029547,,,145.9212,1.6072,,,,8.748999999999999
370,K01449,,,0.6764959113811586,,,,,,,,33.7783,,,,,
371,K01455,,0.609,0.6782873607641138,,,,,,,3.4228,87.6952,,,,,
372,K01458,,,0.6729603237572948,,,,,,,,35.245200000000004,,,,,
373,K01459,,,0.698,,,,,,,,13.5733,,,,,
374,K01462,,,0.6731571156358925,,,,,,,,183.64730000000006,,,,,
375,K01463,,,0.6679999999999999,,,,,,,,6.6868,,,,,
376,K01470,,,0.676663050931041,,,,,,,,125.70260000000002,,,,,
377,K01473,,,0.643,,,,,,,,8.8693,,,,,
378,K01476,,,0.6816464330515054,,,,,,,,23.502200000000002,,,,,
379,K01477,,,0.6925105661453932,,,,,,,,26.6019,,,,,
380,K01478,,,0.6942867602364441,,,,,,,,121.44850000000001,,,,,
381,K01480,,,0.7056403930807505,,,,,,,,20.7801,,,,,
382,K01482,,,0.48252368083584385,,,,,,,,7.3812,,,,,
383,K01483,,,0.7020000000000001,,,,,,,,3.0825,,,,,
384,K01485,,,0.676043194099621,,,,,,,,41.595000000000006,,,,,
