,KEGG,GC_adj Archaea,GC_adj Bacteria,GC_adjUnclassified,gene_counts Archaea,gene_counts Bacteria,gene_countsUnclassified
130,K03101,,0.544,,,3.157,
131,K03147,,0.5529999999999999,,,27.4375,
132,K03217,,0.608,,,13.9652,
133,K03236,0.392,,,1.7268,,
134,K03282,,0.507,,,3.0795,
135,K03320,,0.6829999999999999,,,9.6247,
136,K03455,,0.674,,,6.725,
137,K03474,,0.5950323472706381,,,7.2444,
138,K03522,0.447,,,1.9621,,
139,K03525,,0.551,,,2.1932,
140,K03526,,0.607,,,4.152,
141,K03531,,0.6900405362645907,,,19.3406,
142,K03536,,0.705,,,2.6164,
143,K03543,,0.583,,,3.1951,
144,K03544,,0.6641396251750478,,,107.8519,
145,K03550,,0.688,,,9.7613,
146,K03553,,0.6534881953074418,,,68.3345,
147,K03558,,0.7140000000000001,,,2.1593,
148,K03561,,0.6940000000000001,,,3.5799,
149,K03569,,0.6676791188707659,,,24.9732,
150,K03589,,0.693,,,2.0095,
151,K03593,,0.562,,,3.2845,
152,K03601,,0.638,,,3.5286,
153,K03621,,0.561,,,2.3995,
154,K03624,,0.61,,,2.6311,
155,K03628,,0.662,,,52.7143,
156,K03630,,,0.536,,,2.1349
157,K03635,,0.593,,,4.5124,
158,K03637,0.417,0.58,,2.7598,2.89,
159,K03639,,0.664,,,5.1293,
160,K03665,,0.6770300799592017,,,8.7714,
161,K03667,,0.636,,,7.8772,
162,K03671,,0.5825044618694053,,,5.1384,
163,K03704,,0.552,,,3.3794,
164,K03781,,0.606,,,5.222,
165,K03789,,0.508,,,3.0233,
166,K03885,,0.5927070070315665,,,7.7109000000000005,
167,K03886,,0.594,,,4.4504,
168,K03924,,0.596,,,10.4447,
169,K03975,,0.573,,,3.8516,
170,K04047,,0.6103677101250307,,,18.2887,
171,K04063,,0.7070000000000001,,,3.6396,
172,K04066,,0.718,,,4.4876,
173,K04077,,0.6576496916199897,,,119.493,
174,K04078,,0.6177854588917022,,,15.712800000000001,
175,K04564,,0.61,,,2.7463,
176,K04751,,0.586,,,10.0019,
177,K04754,,0.661,,,2.4781,
178,K04763,,0.632,,,12.6276,
179,K05337,0.342,,,2.6132,,
180,K05524,,0.5660000000000001,,,11.0638,
181,K05807,,0.609,,,4.2569,
182,K05838,,0.561,,,2.7173,
183,K05896,,0.535,,,4.2335,
184,K06076,,0.6519999999999999,,,3.3028,
185,K06137,,0.606,,,3.7194,
186,K06153,,0.647,,,2.6683,
187,K06164,,0.7,,,2.852,
188,K06200,,0.674,,,8.3397,
189,K06223,,0.645,,,2.5732,
190,K06287,,0.588,,,1.9927,
191,K06400,,0.6509999999999999,,,4.7892,
192,K06861,,0.573,,,4.5031,
193,K06867,,0.685,,,3.7128,
194,K06888,,0.6272350756650175,,,8.3039,
195,K06901,,0.6959999999999998,,,3.1384,
196,K06911,,0.5959012419666688,,,5.305899999999999,
197,K06915,,0.6579999999999999,,,21.4085,
198,K06929,0.329,,,2.6132,,
199,K06934,,0.561,,,4.6602,
200,K06949,,0.6779999999999999,,,1.8306,
201,K06960,,0.586,,,3.7946,
202,K06985,,0.669,,,1.4296,
203,K06988,,0.615,,,7.9465,
204,K06989,0.331,,,2.524,,
205,K06998,,0.657,,,2.0707,
206,K06999,,0.63,,,2.7584,
207,K07052,,0.516,,,2.6352,
208,K07058,,0.6890000000000001,,,6.0864,
209,K07068,,0.612,,,4.1636,
210,K07090,,0.653,,,4.527,
211,K07107,,0.7070000000000001,,,2.878,
212,K07112,,0.6829999999999999,,,4.2786,
213,K07152,,0.638,,,5.723,
214,K07154,,0.583,,,3.4728,
215,K07220,,0.612,,,3.197,
216,K07240,,0.628,,,4.5672,
217,K07264,,0.5465800403614055,,,7.6499,
218,K07302,,0.557,,,3.2445,
219,K07460,,0.545,,,3.9628,
220,K07480,,0.5623889382847111,,,19.2691,
221,K07481,,0.6092682686816343,,,62.5296,
222,K07482,,0.5835868395868982,,,35.4921,
223,K07483,,0.6045365862186121,0.627,,62.21489999999999,5.3074
224,K07484,,0.6219382030036231,,,45.3936,
225,K07485,0.546,0.5898895278786717,0.611,9.4021,41.3462,4.469
226,K07486,,0.61158579947407,0.621724562169893,,486.8233,17.8439
227,K07487,,0.5429999999999999,,,8.9537,
228,K07491,,0.5369182663447679,,,34.3731,
229,K07492,,0.5717363118823269,,,128.725,
230,K07493,,0.6093541045299092,,,64.74969999999999,
231,K07494,,0.5539517198026436,,,156.02899999999997,
232,K07495,,0.5661278410306597,,,58.8587,
233,K07497,,0.6015951969156215,,,236.25540000000004,
234,K07499,,0.5974782131664177,,,29.6,
235,K07646,,0.628,,,3.1477,
236,K07755,,0.6709999999999999,,,1.986,
237,K07793,,0.6435114324262052,,,30.371500000000005,
238,K08223,,0.655,,,4.1411,
239,K08296,,0.669,,,1.4926,
240,K08968,,0.6262669346804309,,,5.758,
241,K08973,,0.652,,,3.8954,
242,K08999,,0.648,,,3.3875,
243,K09005,,,0.5710000000000001,,,2.3443
244,K09013,,0.638,,,7.1976,
245,K09022,,0.5817414869005376,,,10.2705,
246,K09710,,0.613,,,4.265,
247,K09764,,0.655,,,3.9953,
248,K09826,,0.65,,,3.8777,
249,K09882,,0.628,,,19.0722,
250,K09919,,0.71,,,3.277,
251,K09927,,0.613,,,4.0471,
252,K09937,,0.626,,,5.8985,
253,K09946,0.519,,,5.816,,
254,K09990,,0.7066570574623409,,,9.810300000000002,
255,K10533,,0.6410747004458149,,,21.4107,
256,K10806,,0.56,,,4.0333,
257,K10979,,0.5709186121872702,,,6.4823,
258,K11477,,0.6179083287404501,,,42.5352,
259,K11749,,0.623,,,3.2434,
260,K11753,,0.721,,,3.8347,
261,K12574,,0.647,,,3.9387,
262,K13527,,0.639,,,25.6282,
263,K13640,,0.59,,,6.4053,
264,K14160,,0.62,,,3.7024,
265,K14742,,0.609,,,1.3186,
266,K15067,,0.565,,,6.5323,
267,K16147,,0.643,,,7.9292,
268,K16203,,0.662,,,1.4647,
269,K16841,,0.562,,,2.2995,
270,K17226,,0.65,,,6.3571,
271,K17763,,0.6729999999999999,,,7.8857,
272,K18013,,0.688,,,4.6141,
273,K18199,,0.6491133880080368,,,25.0258,
274,K18827,,0.569,,,1.3898,
275,K18979,,0.6509999999999999,,,3.2063,
276,K19169,,0.476,,,4.4537,
277,K19170,,0.522,,,1.3857,
278,K19804,,0.6449999999999999,,,4.0703,
279,K20074,,0.633,,,4.7642,
280,K21908,,0.6990000000000001,,,4.4586,
281,K22278,,0.5489999999999999,,,5.4038,
282,K22390,0.35100000000000003,,,2.8369,,
