,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Baculoviridae,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adj unclassified viruses,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Baculoviridae,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_counts unclassified viruses,gene_countsUnclassified
28,K00099,,,0.6515345911555365,,,,,,,,114.73790000000001,,,,,
29,K00108,,,0.664,,,,,,,,4.4737,,,,,
30,K00111,,,0.6785975578501601,,,,,,,,166.12989999999996,,,,,
31,K00112,,,0.7170000000000001,,,,,,,,3.1306,,,,,
32,K00113,,,0.615,,,,,,,,5.0539,,,,,
33,K00116,,,0.6804349706096744,,,,,,,,14.5431,,,,,
34,K00122,,,0.5687757581950728,,,,,,,,4.3246,,,,,
35,K00124,,,0.6538617119665788,,,,,,,,87.8413,,,,,
36,K00127,,,0.531,,,,,,,,3.2765,,,,,
37,K00133,,,0.6282250884517612,,,,,,,,30.7648,,,,,
38,K00134,,,0.6204214293855409,,,,,,,,60.168099999999995,,,,,
39,K00140,,,0.5631784172958721,,,,,,,,16.3634,,,,,
40,K00145,,,0.6409901562671502,,,,,,,,66.78320000000001,,,,,
41,K00147,,,0.531,,,,,,,,4.7944,,,,,
42,K00148,,,0.6859999999999999,,,,,,,,5.3881,,,,,
43,K00153,,,0.706,,,,,,,,6.9877,,,,,
44,K00163,,,0.6504524156691586,,,,,,,,556.2559000000001,,,,,
45,K00166,,,0.660717682482314,,,,,,,,10.8795,,,,,
46,K00174,,,0.6402140914120171,,,,,,,,54.077200000000005,,,,,
47,K00175,,,0.6266457843227408,,,,,,,,60.694,,,,,
48,K00176,,,0.591,,,,,,,,2.7409,,,,,
49,K00177,,,0.635,,,,,,,,3.6082,,,,,
50,K00200,,,0.629,,,,,,,,3.0,,,,,
51,K00208,,,0.612174697897211,,,,,,,,56.8387,,,,,
52,K00209,,,0.6970000000000001,,,,,,,,3.2962,,,,,
53,K00215,,,0.6567358106478962,,,,,,,,77.6564,,,,,
54,K00227,,,,,,0.6,,,,,,,,2.1552,,
55,K00228,,,0.6368527402686255,,,,,,,,70.4988,,,,,
56,K00231,,,0.6524694673260277,,,,,,,,37.85640000000001,,,,,
57,K00232,,,0.6574794786329603,,,,,,,,23.936,,,,,
58,K00240,,,0.6203580498440112,,,,,,,,145.03159999999997,,,,,
59,K00241,,,0.5753081953181718,,,,,,,,79.7167,,,,,
60,K00242,,,0.6140883202016935,,,,,,,,28.596199999999996,,,,,
61,K00247,,,0.556,,,,,,,,3.3598,,,,,
62,K00249,,,0.6848543944933614,,,,,,,,68.2894,,,,,
63,K00254,,,0.6617230267145211,,,,,,,,38.7473,,,,,
64,K00259,,,0.6334841457453626,,,,,,,,18.533,,,,,
65,K00275,,,0.6789710880974528,,,0.612,,0.6748034832149424,,,130.7914,,,3.1586,,4.395300000000001
66,K00278,,,0.578,,,,,,,,5.8056,,,,,
67,K00282,,,0.5856878535509787,,,,,,,,20.4226,,,,,
68,K00286,,,0.67957269172176,,,,,,,,114.18610000000001,,,,,
69,K00287,,,0.6154083755244069,,,,,,,,58.82690000000001,,,,,
70,K00290,,,0.6759999999999999,,,,,,,,3.9283,,,,,
71,K00297,,,0.6659045647693898,,,,,,,,58.3913,,,,,
72,K00299,,,0.7091842467712842,,,,,,,,34.9632,,,,,
73,K00304,,,0.647,,,,,,,,1.6241,,,,,
74,K00311,,,0.5843611936068676,,,,,,,,61.379900000000006,,,,,
75,K00318,,,0.464,,,,,,,,1.7179,,,,,
76,K00322,,,0.6509999999999999,,,,,,,,5.7222,,,,,
77,K00330,,,0.5896328612781836,,,,,,,,130.0008,,,,,
78,K00331,,,0.630509348548166,,,,,,,,25.0211,,,,,
79,K00332,,,0.6712805584696525,,,,,,,,65.3607,,,,,
80,K00334,,,0.655567742342134,,,,,0.603,,,133.404,,,,,5.6267
81,K00335,,,0.6134626318274121,,,,,,,,14.962900000000001,,,,,
82,K00337,,,0.589,,,,,,,,3.3047,,,,,
83,K00338,,,0.6363832366588054,,,,,,,,121.42389999999999,,,,,
84,K00339,,,0.6297236173706056,,,,,0.7142570368395529,,,74.9913,,,,,18.5018
85,K00340,,,0.5869462038698855,,,,,,,,94.86710000000001,,,,,
86,K00343,,,0.6584283325478715,,,0.242,,,,,25.286900000000003,,,12.7095,,
87,K00344,,,0.5922477291496914,,,,,,,,25.7227,,,,,
88,K00363,,,0.6918411902071309,,,,,,,,27.112700000000004,,,,,
89,K00365,,,0.69,,,,,,,,11.619,,,,,
90,K00368,,,0.5655311499225691,,,,,,,,4.2642,,,,,
91,K00371,,,0.6409999999999999,,,,,,,,15.802200000000001,,,,,
92,K00373,,,0.644,,,,,,,,4.7739,,,,,
93,K00375,,,0.722,,,,,,,,5.2413,,,,,
94,K00382,,,0.5749156600018243,,,,,,,,10.982099999999999,,,,,
95,K00383,,,0.649,,,,,,,,12.3325,,,,,
96,K00384,,,0.6562680258289344,,,,,,,,13.3979,,,,,
97,K00386,,,0.6042261823728411,,,,,,,,13.4192,,,,,
98,K00389,,,0.6672941535131479,,,,,0.6940000000000001,,,47.4058,,,,,4.0605
99,K00390,,,0.6528689447015743,,,,,,,,72.054,,,,,
100,K00395,,,0.606,,,,,,,,4.0246,,,,,
101,K00406,,,0.6117039082211302,,,,,,,,22.664299999999997,,,,,
102,K00411,,,0.6340412763893692,,,,,,,,78.0148,,,,,
103,K00412,,,0.43722122122876034,,,0.32380912880225166,,,,,43.957499999999996,,,11.1497,,
104,K00413,,,0.6395057314115336,,,,,,,,85.2147,,,,,
105,K00424,,,0.597,,,,,,,,4.2545,,,,,
106,K00425,,,0.6398288054792042,,,,,,,,184.848,,,,,
107,K00426,,,0.6429962739886579,,,,,0.7040000000000001,,,122.35719999999996,,,,,3.0474
108,K00428,,,0.609121541803913,,,,,,,,65.1495,,,,,
109,K00432,,,0.6010186366757098,,,,,,,,139.7645,,,,,
110,K00433,,,0.6195990601226569,,,,,,,,41.93299999999999,,,,,
111,K00435,,,0.5619463246604998,,,,,,,,7.9804,,,,,
112,K00446,,,0.693,,,,,,,,4.3674,,,,,
113,K00448,,,0.6860405476105906,,,,,,,,38.70400000000001,,,,,
114,K00449,,,0.6728570053196665,,,,,,,,18.1238,,,,,
115,K00450,,,0.689580316124667,,,,,,,,40.832499999999996,,,,,
116,K00451,,,0.6551569892468055,,,,,,,,211.8085,,,,,
117,K00452,,,0.6141827288695014,,,,,,,,5.465999999999999,,,,,
118,K00453,,,0.6427525611493413,,,,,,,,95.00290000000001,,,,,
119,K00455,,,0.617,,,,,,,,2.5815,,,,,
120,K00456,,,0.523,,,,,,,,7.0961,,,,,
121,K00457,,,0.6324489561137957,,,,,,,,202.7525,,,,,
122,K00459,,,0.6901135502512482,,,0.583,,,,,221.70099999999996,,,2.2152,,
123,K00468,,,0.696,,,,,,,,7.8415,,,,,
124,K00469,,,0.5282826361565274,,,,,,,,7.8723,,,,,
125,K00477,,,0.643,,,,,,,,6.0834,,,,,
126,K00480,,,0.64,,,,,,,,9.7537,,,,,
127,K00481,,,0.7083163187443314,,,,,,,,13.2302,,,,,
128,K00486,,,0.6459999999999999,,,,,,,,4.4103,,,,,
129,K00496,,,0.6682615346856907,,,,,,,,14.382100000000001,,,,,
130,K00500,,,0.6631633505291532,,,,,,,,5.7999,,,,,
131,K00507,,,0.6292944354245881,,,,,,,,148.36500000000004,,,,,
132,K00508,,,0.6579999999999999,,,,,,,,3.7927,,,,,
133,K00518,,,0.6414004076371155,,,,,,,,28.434900000000003,,,,,
134,K00523,,,0.6559999999999999,,,,,,,,5.6123,,,,,
135,K00525,,,0.6232787931294114,,,,,,,,173.5282,,,,,
136,K00526,,,0.6130373151572616,,,,,,,,54.6297,,,,,
137,K00528,,,0.6253860473615379,,,,,,,,46.7654,,,,,
138,K00529,,,0.6509999999999999,,,,,,,,5.6503,,,,,
139,K00537,,,0.6332704185650846,,,,,,,,35.090300000000006,,,,,
140,K00540,,,0.6522629515029693,,,,,0.6866833535660808,,,124.36970000000001,,,,,8.7858
141,K00545,,,0.687,,,,,,,,3.0321,,,,,
142,K00547,,,0.772,,,,,,,,6.4866,,,,,
143,K00548,,,0.6267228861935111,,,,,,,,149.094,,,,,
144,K00549,,,0.6646852246782738,,,,,0.6759999999999999,,,439.4320999999999,,,,,4.5228
145,K00554,,,0.6687636108591626,,,,,,,,111.48490000000001,,,,,
146,K00556,,,0.7390000000000001,,,,,,,,5.2572,,,,,
147,K00558,,,0.5983126817368348,,,,0.44599999999999995,,,,25.3301,,,,2.1675,
148,K00560,,,0.6219308638349897,,,,,,,,160.38590000000002,,,,,
149,K00563,,,,,,,,0.77,,,,,,,,3.4254
150,K00564,,,0.7740221688560132,,,,,,,,11.3394,,,,,
151,K00566,,,0.6558183353617262,,,,,,,,24.0049,,,,,
152,K00567,,,0.6314709191155367,,,,,,,,43.056200000000004,,,,,
153,K00568,,,0.61,,,,,,,,3.6509,,,,,
154,K00569,,,0.598,,,,,,,,4.5076,,,,,
155,K00570,,,0.6520521670876701,,,,,,,,42.956199999999995,,,,,
156,K00571,,,0.554915719706197,,,,,,,,9.4204,,,,,
157,K00573,,,0.6438803661780007,,,,,,,,158.57880000000003,,,,,
158,K00574,,,0.6345620694694856,,,,,,,,304.3065,,,,,
159,K00575,,,0.6275095423483066,,,,,,,,9.666699999999999,,,,,
160,K00588,,,0.6135096461620313,,,,,,,,36.982600000000005,,,,,
161,K00596,,,0.6784509467020476,,,,,,,,18.4761,,,,,
162,K00598,,,0.653758215866311,,,,,,,,76.39890000000001,,,,,
163,K00600,,,0.6512491660693818,,,,,,,,385.9360000000001,,,,,
164,K00602,,0.664,0.6488845664211034,,,,,,,1.7881,328.67490000000004,,,,,
165,K00603,,,0.557,,,,,,,,7.883,,,,,
166,K00604,,,0.7050468323873827,,,,,,,,16.0705,,,,,
167,K00605,,,0.6667950810751768,,,,,,,,23.529600000000002,,,,,
168,K00606,,,0.6423587687091245,,,,,,,,192.55879999999993,,,,,
169,K00609,,,0.655088002438814,,,,,,,,70.9687,,,,,
170,K00611,,,0.6224936248699439,,,,,,,,26.4176,,,,,
171,K00612,,,0.6985064463811533,,,,,,,,11.2821,,,,,
172,K00613,,,0.624,,,,,,,,3.173,,,,,
173,K00615,,,0.6429847301620868,,,,,,,,95.83120000000001,,,,,
174,K00616,,,0.5826797945745692,,,,,,,,46.68820000000001,,,,,
175,K00619,,,0.6529704944665651,,,,,,,,11.531699999999999,,,,,
176,K00620,,,0.676197494999664,,,,,,,,109.21640000000001,,,,,
177,K00626,,,0.6640311076594452,,,,,,,,276.44290000000007,,,,,
178,K00631,,,0.618,,,,,,,,5.0389,,,,,
179,K00632,,,0.638,,,,,,,,6.3939,,,,,
180,K00635,,,0.6715372281218491,,,,,0.7482357647554134,,,320.0884,,,,,12.749400000000001
181,K00640,,,0.6407516647286885,,,,,,,,72.44529999999999,,,,,
182,K00641,,,0.6230241364442469,,,,,,,,289.7754,,,,,
183,K00645,,,0.6376756235070543,,,,,,,,6.8625,,,,,
184,K00648,,,0.585917585742223,,,,,,,,26.5923,,,,,
185,K00655,,,0.6488476660613739,,,,,,,,114.3722,,,,,
186,K00657,,,0.6188719031897132,,,,,,,,77.09049999999999,,,,,
187,K00661,,,0.6637409711424644,,,,,,,,21.9938,,,,,
188,K00662,,,0.726,,,,,,,,3.7448,,,,,
189,K00663,,,0.6537862444850118,,,0.484,,,,,14.1375,,,2.0832,,
190,K00673,,,0.6390178728923229,,,,,,,,13.9283,,,,,
191,K00674,,,0.6529204682422874,,,,,,,,116.5239,,,,,
192,K00675,,,0.7290000000000001,,,,,,,,8.221,,,,,
193,K00677,,,0.6191334989738551,,,,,,,,52.891299999999994,,,,,
194,K00682,,,0.6678319758183855,,,,,,,,14.267600000000002,,,,,
195,K00683,,,0.5169204285158858,,,0.532,,,,,6.5638000000000005,,,3.0177,,
196,K00684,,,0.6583189160064835,,,,,,,,37.9051,,,,,
197,K00688,,,0.6367917066469098,,,,,,,,350.47630000000004,,,,,
198,K00694,,,0.6211631948322957,,,,,,,,8.854099999999999,,,,,
199,K00697,,,0.55,,,,,,,,6.1063,,,,,
200,K00700,,,0.6210214960503847,,,,,,,,116.46430000000001,,,,,
201,K00703,,,0.6210961051364235,,,,,,,,120.1518,,,,,
202,K00705,,,0.678062426300011,,,,,,,,39.376000000000005,,,,,
203,K00720,,,0.5768237213662795,,,0.621,,,,,49.266400000000004,,,4.4605,,
204,K00721,,,0.6615612702130603,,,,,,,,34.4041,,,,,
205,K00728,,,0.6995881564546773,,,,,,,,27.535800000000002,,,,,
206,K00729,,,0.6427527239182855,,,,,,,,9.9743,,,,,
207,K00748,,,0.6228939234271517,,,,,,,,51.37500000000001,,,,,
208,K00759,,,0.6239572665398262,,,,,,,,84.7471,,,,,
209,K00760,,,0.6043892424799916,,,,,,,,88.2165,,,,,
210,K00762,,,0.6222123660836011,,,,,,,,90.06009999999999,,,,,
211,K00763,,,0.6827865408575863,,,,,,,,34.889700000000005,,,,,
212,K00764,,,0.6477350339353383,,,,,,,,237.80299999999997,,,,,
213,K00765,,,0.6640064968766374,,,,,,,,86.05239999999999,,,,,
214,K00766,,,0.6708390535414542,,,,,,,,187.42690000000002,,,,,
215,K00767,,,0.6003943469585943,,,,,,,,23.4424,,,,,
216,K00768,,,0.7332437749773099,,,,,,,,53.44739999999999,,,,,
217,K00769,,,0.6406096827094828,,,,,,,,17.2415,,,,,
218,K00772,,,0.57319461754251,,,,,,,,14.587299999999999,,,,,
219,K00773,,,0.6566107166572711,,,,,,,,47.77570000000001,,,,,
220,K00782,,,0.610887253664864,,,,,,,,15.669,,,,,
221,K00783,,,0.640904225487785,,,,,0.7115148174728334,,,54.31870000000001,,,,,6.977600000000001
222,K00784,,,0.6620031791528515,,,,,,,,66.7894,,,,,
223,K00788,,,0.6241355563020052,,,,,,,,27.3243,,,,,
224,K00789,,,0.6412442944108606,,,0.573,,,,,614.4145,,,1.9707,,
225,K00790,,,0.6606599660428427,,,,,,,,212.89010000000005,,,,,
226,K00791,,,0.670948406745552,,,,,,,,47.1633,,,,,
227,K00793,,,0.6434289640011172,,,,,,,,127.6978,,,,,
228,K00794,,,0.643289231961221,,,,,,,,131.68480000000002,,,,,
229,K00795,,,0.6509999999999999,,,,,,,,4.0946,,,,,
230,K00796,,,0.6873583681620257,,,,,,,,28.070800000000002,,,,,
231,K00797,,,0.6185047998397046,,,,,,,,60.15539999999999,,,,,
232,K00798,,,0.6783777847278238,,,,,0.6559999999999999,,,147.97030000000004,,,,,2.25
233,K00799,,,0.6247174537726877,,,0.5783310361367249,,,,,437.1506999999999,,,6.8718,,
234,K00800,,,0.6722009449366237,,,,,,,,120.44679999999998,,,,,
235,K00801,,,0.6573506165468681,,,,,,,,17.2335,,,,,
236,K00806,,,0.6436968197851661,,,,,,,,15.6542,,,,,
237,K00808,,,0.629417615705719,,,,,,,,20.2939,,,,,
238,K00809,,,0.6212602449812374,,,,,,,,62.747800000000005,,,,,
239,K00817,,,0.5673328193061462,,,,,,,,9.3135,,,,,
240,K00820,,,0.634368984561557,,,,,,,,331.13279999999986,,,,,
241,K00821,,,0.527,,,,,,,,5.4818,,,,,
242,K00824,,,0.632,,,,,,,,4.0296,,,,,
243,K00826,,,0.6429619707431693,,,,,,,,58.17529999999999,,,,,
244,K00831,,,0.6597979320833519,,,,,,,,57.0236,,,,,
245,K00833,,,0.695,,,,,,,,5.9705,,,,,
246,K00849,,,0.513,,,,,,,,4.3115,,,,,
247,K00851,,,0.6723997194724789,,,0.71,,0.636,,,70.0813,,,2.7556,,1.7715
248,K00855,,,0.6191514573330906,,,,,,,,31.762699999999995,,,,,
249,K00857,,,0.614260654067438,,,,,,,,33.6145,,,,,
250,K00858,,,0.6566129538771085,,,,,,,,194.6785,,,,,
251,K00859,,,0.6581520426059675,,,0.604,,0.5626605169588922,,,121.40900000000002,,,2.6791,,16.7005
252,K00865,,,0.7330683995106294,,,,,,,,112.76050000000001,,,,,
253,K00867,,,0.6108871761421211,,,,,,,,69.7714,,,,,
254,K00868,,,0.667,,,,,,,,7.8219,,,,,
255,K00872,,,0.616,,,,,,,,5.1231,,,,,
256,K00873,,0.613,0.6516671861511031,,,,,,,5.1296,309.0662,,,,,
257,K00874,,,0.6836794493693115,,,,,,,,10.103,,,,,
258,K00876,,,0.6720577122198539,,,,,,,,13.3433,,,,,
259,K00878,,,0.705,,,,,,,,7.3404,,,,,
260,K00883,,,0.6839929465952413,,,,,0.6409999999999999,,,16.0052,,,,,3.4657
261,K00886,,,0.6534366037096422,,,,,,,,39.746199999999995,,,,,
262,K00891,,,0.676305347181337,,,,,,,,60.703300000000006,,,,,
263,K00897,,,0.743,,,,,,,,4.1492,,,,,
264,K00899,,,0.6459999999999999,,,,,,,,3.7058,,,,,
265,K00912,,,0.6287538081917161,,,,,,,,59.419000000000004,,,,,
266,K00919,,,0.6607711914706252,,,,,0.6729999999999999,,,70.30260000000001,,,,,3.3333
267,K00925,,,0.6283084132702429,,,,,,,,80.4431,,,,,
268,K00926,,,0.7255243523479095,,,,,,,,22.4867,,,,,
269,K00927,,,0.6266656926864205,,,,,,,,233.0124,,,,,
270,K00930,,,0.6622771127532839,,,,,,,,23.786299999999997,,,,,
271,K00936,,,0.6609007850166828,,,,,0.552,,,90.41879999999999,,,,,2.8528
272,K00937,,,0.6194215741895007,,,,,,,,94.56800000000001,,,,,
273,K00939,,,0.6426116541870376,,,,,,,,39.898399999999995,,,,,
274,K00940,,,0.6481312120875891,,,,,,,,93.5528,,,,,
275,K00941,,,0.7232719378067413,,,,,,,,13.3051,,,,,
276,K00942,,,0.6454576702886899,,,,,,,,56.3426,,,,,
277,K00943,,,0.6655252896941521,,,,,,,,84.3225,,,,,
278,K00945,,,0.6538279545672604,,,,,0.667,,,141.0777,,,,,2.5844
279,K00946,,,0.6521410566295167,,,,,,,,74.8925,,,,,
280,K00947,,,0.534,,,,,,,,5.7694,,,,,
281,K00948,,,0.6478634608127471,,,,,,,,442.5928,,,,,
282,K00950,,,0.5964925770937529,,,,,,,,72.6903,,,,,
283,K00954,,,0.6231307931058878,,,,,,,,205.88070000000002,,,,,
284,K00955,,,0.591,,,,,,,,11.7516,,,,,
285,K00956,,,0.591,,,,,,,,11.7516,,,,,
286,K00957,,,0.6586865967948224,,,,,,,,182.07469999999995,,,,,
287,K00958,,,0.652,,,,,,,,5.2902,,,,,
288,K00962,,,0.6155312297458541,,,,,,,,71.92979999999999,,,,,
289,K00963,,,0.6333773853646345,,,,,,,,55.74250000000001,,,,,
290,K00969,,,0.6267406789802425,,,,,,,,56.137800000000006,,,,,
291,K00971,,,0.6149599052730658,,,,,,,,124.76150000000003,,,,,
292,K00973,,,0.5800578507664269,,,,,,,,19.7067,,,,,
293,K00975,,,0.6320415167901645,,,,,,,,102.0973,,,,,
294,K00978,,,0.566315664312709,,,,,,,,15.401399999999999,,,,,
295,K00979,,,0.6296773839001825,,,,,,,,42.8523,,,,,
296,K00981,,,0.6226566705680926,,,,,,,,130.23280000000003,,,,,
297,K00982,,,0.6623605273179537,,,,,,,,91.4074,,,,,
298,K00986,,0.67,0.6199659997748702,,,0.304,,0.373021858826889,,3.8471,478.90220000000005,,,3.9852,,11.5901
299,K00989,,0.675,0.6898272138921282,,,,,,,3.7666,78.96209999999999,,,,,
300,K00990,,,0.6575393014703464,,,,,0.7040000000000001,,,167.24880000000002,,,,,10.0371
301,K00991,,,0.5400310124360467,,,,,,,,16.3355,,,,,
302,K00992,,,0.6369049441841961,,,,,,,,14.0159,,,,,
303,K00995,,,0.659,,,,,,,,7.2932,,,,,
304,K00997,,,0.6123122618292764,,,,,0.6779999999999999,,,61.4153,,,,,2.4932
305,K01000,,,0.6120691711578066,,,,,,,,82.6709,,,,,
306,K01003,,,0.6640000000000001,,,,,,,,11.4946,,,,,
307,K01005,,,0.6684635319275685,,,,,0.647,,,224.49089999999998,,,,,3.4569
308,K01006,,,0.5597531535563403,,,,,,,,42.244,,,,,
309,K01008,,,0.6529963739330779,,,,,,,,54.34589999999999,,,,,
310,K01009,,,0.562,,,,,,,,5.2698,,,,,
311,K01011,,,0.748,,,,,,,,3.3934,,,,,
312,K01012,,,0.6769202379898306,,,,,,,,128.0949,,,,,
313,K01023,,,0.6212583550273713,,,,,0.633,,,10.365300000000001,,,,,5.782
314,K01028,,,0.5635021788193599,,,,,,,,11.472,,,,,
315,K01032,,,0.69,,,,,,,,6.8366,,,,,
316,K01039,,,0.6781447967117331,,,,,,,,51.0737,,,,,
317,K01040,,,0.656320790332931,,,,,,,,60.256600000000006,,,,,
318,K01042,,,0.6787064021468407,,,,,,,,8.8704,,,,,
319,K01046,,,0.7056536190553083,,,,,,,,21.6398,,,,,
320,K01048,,,0.6635903140683798,,,,,,,,8.7304,,,,,
321,K01051,0.486,,0.63544670130186,,,,,,2.9454,,32.7641,,,,,
322,K01053,,,0.5978538881603987,,,,,,,,49.4473,,,,,
323,K01055,,,0.6213085353528904,,,,,,,,22.0028,,,,,
324,K01056,,,0.6396661174022409,,,,,,,,178.10539999999997,,,,,
325,K01057,,,0.6515288159851793,,,,,,,,66.88180000000001,,,,,
326,K01058,,,0.617,,,,,,,,4.2294,,,,,
327,K01060,,,0.6759033279655859,,,,,0.637,,,32.205,,,,,3.5668
328,K01061,,,0.6520093576312997,,,,,0.611,,,282.12690000000003,,,,,2.6885
329,K01066,,,0.681785406148364,,,,,,,,34.1935,,,,,
330,K01068,,,0.5670000000000001,,,,,,,,4.5957,,,,,
331,K01069,,,0.6396041150117812,,,,,,,,62.606300000000005,,,,,
332,K01070,,,0.6407074284736334,,,,,,,,20.120099999999997,,,,,
333,K01071,,,0.67,,,,,,,,3.5037,,,,,
334,K01075,,,0.5664401648975906,,,,,,,,11.775500000000001,,,,,
335,K01079,,,0.6509559271286223,,,,,,,,74.1007,,,,,
336,K01082,,,0.6169286853864838,,,,,,,,8.8332,,,,,
337,K01087,,,0.63185878794728,,,,,,,,13.6477,,,,,
338,K01091,,,0.6694753329616806,,,,,,,,58.1481,,,,,
339,K01092,,,0.6483242162846635,,,,,,,,62.6286,,,,,
340,K01095,,,0.5933760677997849,,,,,0.733,,,43.012299999999996,,,,,4.3127
341,K01104,,,0.6555188263125256,,,,,,,,38.7812,,,,,
342,K01113,,,0.652176128283439,,,,,,,,22.4746,,,,,
343,K01114,,,0.6321883711157588,,,0.551,,,,,132.0328,,,4.7827,,
344,K01118,,,0.6471843243429729,,,,,,,,15.5328,,,,,
345,K01126,,,0.6484679838748446,,,,,,,,28.343600000000002,,,,,
346,K01129,,,0.656923414973721,,,,,,,,108.231,,,,,
347,K01141,,,0.671468948148399,,,,,,,,7.2665,,,,,
348,K01142,,,0.6024117211241217,,,,,,,,12.7341,,,,,
349,K01151,,,0.6330216720320028,,,,,,,,112.8524,,,,,
350,K01153,,,0.540920376806887,,,,,,,,23.6456,,,,,
351,K01154,,,0.4844625992482625,,,,,,,,29.694699999999997,,,,,
352,K01156,,,0.61,,,,,,,,5.2502,,,,,
353,K01159,,,0.6496040659511051,,,,,0.6891586342912718,,,138.641,,,,,24.0715
354,K01160,,,0.6295247827238585,,,,,0.7025206011960308,,,21.947499999999998,,,,,12.488999999999999
355,K01166,,,0.6264939284650518,,,,,,,,27.2514,,,,,
356,K01167,,,0.6621638550234608,,,,,,,,6.4877,,,,,
357,K01173,,,0.6142992425540367,,,,,0.657,,,6.2016,,,,,2.5263
358,K01174,,,0.6487445723830269,,,,,,,,13.533199999999999,,,,,
359,K01178,,,0.604,,,,,,,,3.8925,,,,,
360,K01179,,,0.6318990268264748,,,,,0.657,,,52.068299999999994,,,,,9.5507
361,K01181,,,0.6397259799666617,,,0.64,,,,,119.01200000000001,,,2.0089,,
362,K01183,,,0.559395192836674,,,,,,,,25.253499999999995,,,,,
363,K01185,,,0.596687361686842,,,,,0.6933496581133418,,,20.206400000000002,,,,,6.884
364,K01190,,,0.5539999999999999,,,,,,,,4.0309,,,,,
365,K01191,,,0.703,,,,,,,,9.9295,,,,,
366,K01194,,,0.616042148810444,,,,,,,,12.446200000000001,,,,,
367,K01198,,,0.7490000000000001,,,,,,,,5.6199,,,,,
368,K01206,,,0.589200171587187,,,,,,,,217.95239999999998,,,,,
369,K01207,,,0.6289042309546353,,,,,,,,47.575900000000004,,,,,
370,K01209,,,0.6149012280141544,,,0.728,,,,,182.4861,,,10.7016,,
371,K01218,,,0.6230899066626334,,,,,,,,29.6353,,,,,
372,K01222,,,0.7200000000000001,,,,,,,,11.1394,,,,,
373,K01224,,,0.6323817040146202,,,,,,,,25.2305,,,,,
374,K01236,,,0.5638511517608931,,,,,,,,17.8869,,,,,
375,K01239,,,0.644696870728137,,,,,,,,62.003699999999995,,,,,
376,K01241,,,0.6698140704547364,,,,,,,,51.44500000000001,,,,,
377,K01246,,,0.6332955683302023,,,,,,,,184.64110000000008,,,,,
378,K01247,,,0.6310538878547856,,,0.535,,,,,38.864999999999995,,,5.7454,,
379,K01251,,0.73,0.6229496657566642,,,,,,,10.3408,656.6697,,,,,
380,K01255,,,0.5980914979397697,,,,,,,,12.1467,,,,,
381,K01258,,,0.589303180810067,,,,,,,,14.0463,,,,,
382,K01259,,,0.657144593152393,,,,,,,,68.3632,,,,,
383,K01262,,,0.6287147842076499,,,,,,,,16.1463,,,,,
384,K01265,,,0.6505571852975334,,,,,,,,167.43429999999998,,,,,
